,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Nautilus,5,2,3,40%,0.8,2.4,7.4,3.42,35.6,1.01,7.7,219,70.7%,6.9%,12.8%
Bard,4,0,4,0%,0,4.25,5.25,1.24,34.25,0.99,6.6,191,65.6%,0%,11.8%
Morgana,3,1,2,33.3%,0,3,8.67,2.89,35,0.9,8.2,211,76.5%,0%,12.2%
Lulu,1,1,0,100%,2,1,8,10,31,0.78,8.7,220,76.9%,15.4%,12.8%
Rakan,1,1,0,100%,0,3,15,5,34,0.97,8.4,240,83.3%,0%,12.4%
Alistar,1,0,1,0%,0,4,3,0.75,32,1.19,5.1,188,75%,0%,12.5%
Braum,1,0,1,0%,1,3,5,2,34,0.96,7.6,213,75%,12.5%,12.8%
Karma,1,0,1,0%,0,1,5,5,24,0.63,7.1,188,100%,0%,11.4%
Thresh,1,0,1,0%,1,3,5,2,32,0.98,6.6,203,54.5%,9.1%,11.6%
Yuumi,1,0,1,0%,0,1,0,0,21,0.87,4.5,185,-nan%,-nan%,12.6%
