,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Viktor,3,2,1,66.7%,4.33,2.67,3.67,3,268.33,8.21,13.1,401,58.5%,31.7%,23%
Zoe,3,2,1,66.7%,1.67,3.33,7,2.6,256.33,7.84,11.4,350,65%,12.5%,20.4%
Azir,2,1,1,50%,4,2.5,5,3.6,283.5,8.62,12.7,386,90%,40%,24%
Cassiopeia,2,1,1,50%,3,2.5,4,2.8,272.5,8.49,12.4,385,77.8%,33.3%,23.2%
Syndra,2,0,2,0%,1,3,1.5,0.83,344.5,8.83,13.9,355,45.5%,18.2%,22.6%
Karma,1,1,0,100%,0,5,14,2.8,187,5.83,9.4,293,87.5%,0%,16.4%
Ryze,1,1,0,100%,5,2,9,7,259,8.42,13.5,439,87.5%,31.3%,23.4%
Mordekaiser,1,0,1,0%,2,2,6,4,311,6.6,15.8,336,80%,20%,20.8%
Orianna,1,0,1,0%,3,7,6,1.29,349,8.56,15,367,100%,33.3%,24.2%
Ornn,1,0,1,0%,0,2,9,4.5,354,6.57,17.4,322,64.3%,0%,18.9%
Qiyana,1,0,1,0%,3,5,5,1.6,320,7.71,14.8,357,80%,30%,21.4%
