,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Bard,4,4,0,100%,1.5,1.5,10.25,7.83,47,1.48,8.6,272,83.9%,10.7%,14.5%
Braum,3,2,1,66.7%,1.33,0.33,8,28,35,0.97,8.6,236,80%,11.4%,13.1%
Thresh,3,2,1,66.7%,1.67,1.67,8,5.8,42,1.18,8.9,248,69%,11.9%,13.3%
Nautilus,2,1,1,50%,0,3.5,7,2,40.5,1.32,6.8,220,63.6%,0%,12.7%
Leona,1,1,0,100%,0,0,8,8,33,1.11,7.6,257,57.1%,0%,13.2%
Morgana,1,1,0,100%,1,1,13,14,17,0.65,7,269,87.5%,6.3%,14.3%
Rakan,1,1,0,100%,1,0,4,5,45,1.63,7.3,264,62.5%,12.5%,14.8%
Tahm Kench,1,1,0,100%,0,0,7,7,41,1.08,8.6,227,53.8%,0%,12.1%
Yuumi,1,1,0,100%,2,0,7,9,16,0.53,8,266,64.3%,14.3%,14.5%
Alistar,1,0,1,0%,0,3,2,0.67,28,1.03,5.2,193,50%,0%,12.8%
