,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Leona,8,5,3,62.5%,0.5,3.63,9.75,2.83,33.25,1.02,7.6,232,66.7%,3.3%,13%
Tahm Kench,6,2,4,33.3%,0.67,3.17,7.83,2.68,33.5,0.94,7.7,218,63.7%,5%,13.1%
Braum,5,4,1,80%,0.4,1.6,13.6,8.75,30.6,0.96,7.5,234,84.3%,2.4%,12.9%
Thresh,5,3,2,60%,1.2,2.8,11.2,4.43,34,0.99,8.3,241,81.6%,7.9%,13.3%
Nautilus,5,2,3,40%,0,3.6,7.8,2.17,33.2,0.98,7.2,213,69.6%,0%,12.2%
Rakan,4,2,2,50%,0.5,5.25,10.75,2.14,33.5,1.08,7.1,227,64.3%,2.9%,12.9%
Taric,4,1,3,25%,0.5,2.5,8,3.4,33.25,1.04,7.1,221,69.4%,4.1%,13.1%
Blitzcrank,2,0,2,0%,0.5,4.5,2.5,0.67,28.5,1.23,4.8,209,60%,10%,14.1%
Alistar,1,0,1,0%,0,3,3,1,27,0.8,6.7,199,100%,0%,13%
Yuumi,1,0,1,0%,2,4,11,3.25,23,0.48,9.9,209,86.7%,13.3%,12.9%
