,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Rakan,5,4,1,80%,0.2,0.8,7.6,9.75,40.4,1.29,7.2,228,76.5%,2%,13%
Alistar,2,1,1,50%,0,2.5,8,3.2,34,1.13,6.4,212,69.6%,0%,12.6%
Blitzcrank,2,1,1,50%,0.5,1.5,5,3.67,34,0.92,7.4,201,40.7%,3.7%,11.8%
Nautilus,2,1,1,50%,2,3,5,2.33,127,3.7,9.8,285,60.9%,17.4%,16.9%
Thresh,2,1,1,50%,0.5,2,4.5,2.5,34.5,1.08,6.8,214,76.9%,7.7%,12.9%
Yuumi,2,1,1,50%,0.5,2.5,10.5,4.4,6.5,0.17,8.2,212,91.7%,4.2%,13.3%
Leona,1,1,0,100%,1,0,14,15,36,1.14,8,255,78.9%,5.3%,13.8%
Braum,1,0,1,0%,1,3,8,3,38,1.08,7.5,213,56.3%,6.3%,13.1%
Shen,1,0,1,0%,0,5,2,0.4,38,1.23,6,194,66.7%,0%,13.1%
Tahm Kench,1,0,1,0%,1,4,0,0.25,29,0.96,6.1,201,50%,50%,14.1%
