,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Gangplank,4,2,2,50%,0.5,1.75,3,2,319.25,9.39,14.3,421,45.2%,6.5%,25.1%
Mordekaiser,4,2,2,50%,1.5,3.75,3.75,1.4,286.75,7.38,13.3,341,55.3%,15.8%,20.5%
Aatrox,2,1,1,50%,2,3,8,3.33,270.5,7.39,13.5,370,66.7%,13.3%,21.1%
Fiora,2,1,1,50%,1.5,3,6,2.5,246,8.19,11.5,382,51.7%,10.3%,22.2%
Renekton,2,1,1,50%,2.5,2.5,5.5,3.2,293,6.83,14.6,341,57.1%,17.9%,20.7%
Ornn,1,1,0,100%,2,0,5,7,233,7.56,11.2,364,70%,20%,20.1%
Soraka,1,1,0,100%,0,2,7,3.5,170,5.76,8.9,302,53.8%,0%,17%
Kennen,1,0,1,0%,1,2,2,1.5,332,9.89,13,389,50%,16.7%,24.8%
Lucian,1,0,1,0%,0,3,1,0.33,254,8.19,10.4,336,100%,0%,22%
Pantheon,1,0,1,0%,3,5,0,0.6,136,4.32,9.2,292,75%,75%,19.4%
Sett,1,0,1,0%,1,4,0,0.25,257,7.78,11.7,353,25%,25%,22.7%
