,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
LeBlanc,5,3,2,60%,3.8,2.4,2.4,2.58,307.2,8.48,14.6,404,62%,38%,23.2%
Malzahar,2,2,0,100%,3,0.5,6.5,19,287,9.64,14,470,65.5%,20.7%,24.8%
Ryze,2,2,0,100%,6.5,0,5,23,354,11.72,16.6,551,65.7%,37.1%,28.3%
Zoe,2,1,1,50%,3.5,3,5,2.83,260.5,7.42,12.5,356,81%,33.3%,21.8%
Orianna,2,0,2,0%,2.5,3.5,4,1.86,328.5,8.7,14.2,376,54.2%,20.8%,23.4%
Ekko,1,1,0,100%,3,0,8,11,298,10.3,13.2,458,84.6%,23.1%,23.8%
Syndra,1,1,0,100%,4,2,8,6,407,9.31,17.9,410,60%,20%,22.3%
Taliyah,1,1,0,100%,5,1,6,11,276,8.95,12.6,409,61.1%,27.8%,23.2%
Azir,1,0,1,0%,0,2,1,0.5,269,9.57,9.9,352,50%,0%,23.7%
Kayle,1,0,1,0%,2,4,4,1.5,288,9.32,12.2,393,66.7%,22.2%,25%
Rumble,1,0,1,0%,2,6,3,0.83,204,6.79,9.6,319,100%,40%,22.1%
