,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Zoe,4,3,1,75%,3.25,0.75,4.75,10.67,237.25,7.05,12.1,360,59.3%,24.1%,20.7%
Ornn,2,1,1,50%,2,4,8,2.5,213,6.13,10.9,314,87%,17.4%,18.2%
Karma,2,0,2,0%,0,3,2,0.67,209,7.69,8.5,312,40%,0%,20.2%
Kled,1,1,0,100%,8,2,6,7,178,6.28,11.6,409,77.8%,44.4%,22.1%
Nautilus,1,1,0,100%,1,3,12,4.33,193,6.17,10.4,333,72.2%,5.6%,18%
Syndra,1,1,0,100%,6,3,11,5.67,295,7.24,15.6,383,68%,24%,21.1%
Diana,1,0,1,0%,1,5,2,0.6,239,7.84,9.9,326,75%,25%,22.1%
Mordekaiser,1,0,1,0%,3,4,0,0.75,283,8.49,13.4,403,50%,50%,24.5%
Morgana,1,0,1,0%,1,4,10,2.75,262,6.06,13,301,68.8%,6.3%,18.3%
Rumble,1,0,1,0%,9,5,5,2.8,314,6.34,18.3,369,100%,64.3%,24.5%
Sett,1,0,1,0%,0,5,2,0.4,228,7.33,9.7,312,66.7%,0%,19.3%
Viktor,1,0,1,0%,2,1,2,4,256,8.45,10.3,340,80%,40%,23.3%
Ziggs,1,0,1,0%,1,2,0,0.5,273,9.04,11.1,368,50%,50%,22%
