,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Akali,3,3,0,100%,6.67,2,4.67,5.67,283.67,8.7,14.4,440,59.6%,35.1%,23.7%
Qiyana,2,2,0,100%,6,1.5,5.5,7.67,202,7.17,11.2,397,46.9%,24.5%,20.2%
Zoe,2,2,0,100%,3,0,13,32,239.5,8.42,11.7,411,76.2%,14.3%,21.3%
Ryze,2,1,1,50%,3,4,6,2.25,396,10.75,17.3,471,54.5%,18.2%,25.5%
Corki,1,1,0,100%,6,0,9,15,392,10.99,17,478,68.2%,27.3%,24.9%
Ekko,1,1,0,100%,3,4,4,1.75,299,9.07,14.5,440,41.2%,17.6%,23.6%
LeBlanc,1,1,0,100%,9,2,9,9,319,8.96,16.9,475,85.7%,42.9%,26.9%
Lucian,1,1,0,100%,7,0,7,14,229,9.95,11.6,502,93.3%,46.7%,26.9%
Ornn,1,1,0,100%,1,2,17,9,188,6.34,10.7,362,78.3%,4.3%,18.5%
Sett,1,1,0,100%,9,2,6,7.5,312,8.05,16.9,435,75%,45%,25.3%
Zed,1,1,0,100%,9,5,1,2,149,5.9,9.4,372,27%,24.3%,18.1%
Sylas,1,0,1,0%,2,5,2,0.8,227,7.18,10.6,334,57.1%,28.6%,20.4%
Yasuo,1,0,1,0%,4,5,4,1.6,274,9.27,13.8,468,72.7%,36.4%,28.3%
