,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Camille,4,3,1,75%,5,1.75,6,6.29,265.75,8.32,13.7,429,57.9%,26.3%,22.6%
Wukong,3,3,0,100%,6,1,5,11,251,8.62,13.2,454,63.5%,34.6%,23%
Gangplank,3,2,1,66.7%,3.67,1.67,7.33,6.6,307.33,8.59,16.5,460,73.3%,24.4%,25.1%
Ornn,2,2,0,100%,3,1,7,10,224,7.85,11.1,388,60.6%,18.2%,20.9%
Irelia,1,1,0,100%,9,3,2,3.67,346,9.37,19.2,521,73.3%,60%,28.6%
Malphite,1,1,0,100%,3,1,14,17,242,6.91,12.7,362,81%,14.3%,19.7%
Sylas,1,1,0,100%,4,1,10,14,233,7.06,12.9,391,63.6%,18.2%,20.8%
Aatrox,1,0,1,0%,3,2,5,4,279,8.29,12.7,378,80%,30%,23%
Jayce,1,0,1,0%,1,5,2,0.6,262,7.73,10.8,320,60%,20%,20.6%
Sett,1,0,1,0%,5,3,5,3.33,286,7.97,14.5,404,71.4%,35.7%,24.2%
