,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,4,4,0,100%,5.75,1.5,6.75,8.33,275,9.66,13.5,474,60.2%,27.7%,24%
Cassiopeia,2,2,0,100%,5,2,5.5,5.25,247.5,9.57,11.9,460,65.6%,31.3%,24.2%
Rumble,2,1,1,50%,5,4,8,3.25,247,6.74,13.4,367,63.4%,24.4%,20.4%
Akali,1,1,0,100%,6,4,7,3.25,255,7.8,13.8,421,65%,30%,22.5%
Corki,1,1,0,100%,4,1,8,12,331,9.9,14.8,442,57.1%,19%,22.6%
LeBlanc,1,1,0,100%,7,2,10,8.5,195,5.92,12.9,393,81%,33.3%,21.2%
Zilean,1,1,0,100%,5,5,12,3.4,263,6.38,14.8,358,73.9%,21.7%,19.5%
Lucian,1,0,1,0%,8,6,5,2.17,316,8.81,16.3,456,76.5%,47.1%,25.6%
Sylas,1,0,1,0%,2,2,8,5,311,7.59,16,390,66.7%,13.3%,21.8%
Yasuo,1,0,1,0%,0,3,3,1,292,9.93,11,374,25%,0%,23%
Zoe,1,0,1,0%,2,4,4,1.5,302,7.52,13.2,330,54.5%,18.2%,21.2%
