,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Gangplank,3,1,2,33.3%,4,1.33,3.67,5.75,332.67,8.42,16.8,425,85.2%,44.4%,24.8%
Aatrox,3,0,3,0%,1.67,2.33,1.67,1.43,304.33,8.59,12.9,363,52.6%,26.3%,23.3%
Malphite,2,2,0,100%,3,2,6,4.5,231,6.9,11.8,352,64.3%,21.4%,19.9%
Kennen,2,1,1,50%,2,2.5,4,2.4,329,8.78,14.8,396,54.5%,18.2%,22.9%
Ornn,2,1,1,50%,0.5,3,8.5,3,294,7.52,13.5,346,75%,4.2%,20.1%
Renekton,2,1,1,50%,2,1.5,7,6,252,8.28,11.9,391,81.8%,18.2%,23.2%
Camille,1,0,1,0%,1,5,1,0.4,231,7.65,11,366,25%,12.5%,22%
Karma,1,0,1,0%,0,4,4,1,215,6.83,9.8,312,57.1%,0%,21.1%
Kayle,1,0,1,0%,1,1,1,2,340,9.95,14.5,423,40%,20%,25.1%
Quinn,1,0,1,0%,3,4,0,0.75,240,8.72,11.5,419,33.3%,33.3%,24.2%
