,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Thresh,4,2,2,50%,0.25,1.25,7,5.8,31.5,0.94,7.2,216,67.4%,2.3%,12.4%
Bard,3,1,2,33.3%,0.33,1.67,8,5,33,0.94,7.5,213,96.2%,3.8%,12.9%
Karma,3,1,2,33.3%,0.67,3.67,7.33,2.18,35.33,0.88,8.7,215,77.4%,6.5%,12.9%
Lulu,2,0,2,0%,0,1.5,0.5,0.33,23.5,0.87,5,184,50%,0%,12.5%
Blitzcrank,1,1,0,100%,1,3,21,7.33,29,0.85,8.6,253,84.6%,3.8%,12.9%
Soraka,1,1,0,100%,2,1,11,13,10,0.31,9.1,277,76.5%,11.8%,14.3%
Braum,1,0,1,0%,0,3,3,1,35,1.03,7,207,42.9%,0%,12.1%
Leona,1,0,1,0%,1,5,4,1,39,1.01,7.7,200,71.4%,14.3%,12.4%
Lux,1,0,1,0%,1,2,7,4,47,1.09,9.1,212,61.5%,7.7%,12.6%
Rakan,1,0,1,0%,0,2,0,0,31,1.16,5,189,0%,0%,13.2%
Tahm Kench,1,0,1,0%,0,0,0,0,28,1.1,5,197,0%,0%,12.8%
