,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Braum,4,1,3,25%,0.5,3.5,6,1.86,35.25,1.04,7.4,219,68.4%,5.3%,13.5%
Thresh,4,1,3,25%,0.5,4.25,6.5,1.65,34.5,0.97,7.6,214,57.1%,4.1%,12.7%
Nautilus,1,1,0,100%,3,4,14,4.25,32,0.84,9.6,253,73.9%,13%,13.9%
Rakan,1,1,0,100%,0,3,13,4.33,54,1.4,8.7,225,72.2%,0%,12.6%
Bard,1,0,1,0%,2,5,18,4,72,1.54,11.1,238,74.1%,7.4%,13.7%
Leona,1,0,1,0%,0,9,6,0.67,27,1.07,5.4,215,54.5%,0%,12.7%
Lulu,1,0,1,0%,0,5,6,1.2,18,0.6,6.3,209,85.7%,0%,13.5%
Pyke,1,0,1,0%,2,7,11,1.86,49,1.21,10.4,257,72.2%,11.1%,14.5%
Sett,1,0,1,0%,0,3,3,1,34,1.4,5.2,213,75%,0%,13.5%
Tahm Kench,1,0,1,0%,2,4,0,0.5,149,5.54,8,299,40%,40%,20.5%
Taric,1,0,1,0%,0,5,2,0.4,30,0.86,6.6,188,20%,0%,11.8%
Zilean,1,0,1,0%,2,1,6,8,23,0.67,7.4,218,66.7%,16.7%,13.8%
