,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Wukong,3,3,0,100%,3,0.67,5.33,12.5,234,7.38,11.8,372,61%,22%,20.4%
Pantheon,2,2,0,100%,3,4,8.5,2.88,42.5,1.34,8.7,274,56.1%,14.6%,14.2%
Yuumi,2,2,0,100%,1,0,18,38,29.5,0.93,8.3,260,92.7%,4.9%,13.7%
Bard,2,1,1,50%,0.5,1.5,10.5,7.33,37.5,1.17,7.2,225,62.9%,2.9%,12.6%
Nautilus,2,0,2,0%,0.5,4.5,5.5,1.33,39,1.16,7.2,215,70.6%,5.9%,12.9%
Alistar,1,1,0,100%,0,0,10,10,26,0.76,7.7,226,76.9%,0%,12.5%
Leona,1,1,0,100%,1,0,11,12,30,1,7.8,258,75%,6.3%,13.5%
Lux,1,1,0,100%,2,2,8,5,101,3.67,8.3,300,58.8%,11.8%,16%
Thresh,1,1,0,100%,1,0,8,9,27,0.88,7.7,252,60%,6.7%,13.6%
Blitzcrank,1,0,1,0%,0,4,3,0.75,30,1.09,5.5,201,60%,0%,13.1%
Rakan,1,0,1,0%,1,4,7,2,30,0.85,7.5,211,88.9%,11.1%,13.1%
Tahm Kench,1,0,1,0%,0,4,4,1,31,1.15,5.6,208,80%,0%,13.1%
