,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Zoe,5,4,1,80%,3.2,1.4,6.4,6.86,236.8,7.53,11.8,375,71.6%,23.9%,20.6%
Cassiopeia,2,2,0,100%,4.5,0.5,6,21,275.5,9.02,13.2,432,65.6%,28.1%,22.2%
Qiyana,2,2,0,100%,5,2.5,6,4.4,189,6.6,10.8,376,62.9%,28.6%,19.6%
Rumble,2,2,0,100%,4,2.5,10.5,5.8,227,6.3,13.1,364,90.6%,25%,19.7%
Yasuo,2,2,0,100%,3,3.5,8,3.14,247.5,7.65,12.4,384,68.8%,18.8%,20.6%
Morgana,1,1,0,100%,5,0,9,14,244,7.5,13.1,404,73.7%,26.3%,21.5%
Ornn,1,1,0,100%,2,2,12,7,194,6.27,11.3,366,53.8%,7.7%,17.6%
Pantheon,1,1,0,100%,1,2,9,5,239,8.02,11.1,371,66.7%,6.7%,18.7%
Taliyah,1,1,0,100%,2,1,12,14,242,8.11,12,402,66.7%,9.5%,18.7%
Veigar,1,1,0,100%,4,0,2,6,203,8.26,10.5,427,66.7%,44.4%,23.4%
