,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Aatrox,5,4,1,80%,4.4,2.2,4.4,4,313.4,8.89,15,425,55.7%,27.8%,23.5%
Gangplank,2,2,0,100%,3,2,4,3.5,297,9.2,15.4,478,58.3%,25%,25.5%
Lucian,2,2,0,100%,4,2.5,4,3.2,262.5,8.7,12.8,424,72.7%,36.4%,23.1%
Akali,1,1,0,100%,4,4,7,2.75,257,8.14,13,412,64.7%,23.5%,21.8%
Renekton,1,1,0,100%,4,1,9,13,236,8.03,12.4,423,61.9%,19%,21.5%
Ryze,1,1,0,100%,2,2,6,4,264,8.48,13.1,420,72.7%,18.2%,22.6%
Sett,1,1,0,100%,7,2,6,6.5,231,7.04,13.2,401,50%,26.9%,20.1%
Vladimir,1,1,0,100%,6,1,8,14,334,10.27,16.5,509,73.7%,31.6%,26%
Kalista,1,0,1,0%,3,5,2,1,222,8.19,10.9,403,71.4%,42.9%,24.8%
Mordekaiser,1,0,1,0%,5,5,0,1,234,7.67,11.5,376,83.3%,83.3%,25.1%
