,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Jayce,4,2,2,50%,3.5,4,5.75,2.31,303.5,7.72,15.1,385,62.7%,23.7%,22.2%
Shen,4,2,2,50%,2.5,2,6.75,4.63,242.75,7.58,11.7,365,78.7%,21.3%,20.9%
Camille,3,3,0,100%,4,2,7,5.5,261.67,8.27,13.7,434,70.2%,25.5%,21.7%
Renekton,3,3,0,100%,3,2.33,8.67,5,246.67,7.67,13,404,68.6%,17.6%,21.3%
Jax,2,2,0,100%,6,0.5,4,20,309.5,8.36,16.5,446,55.6%,33.3%,22.1%
Lucian,2,2,0,100%,4.5,3.5,6.5,3.14,298,8.35,15.1,424,71%,29%,22.4%
Ornn,2,0,2,0%,1,1.5,6,4.67,293.5,7.61,13.3,344,82.4%,11.8%,20.5%
Irelia,1,1,0,100%,3,4,5,2,370,8.81,17.7,421,47.1%,17.6%,21.6%
Gangplank,1,0,1,0%,4,1,4,8,240,8.78,12.1,443,100%,50%,26.2%
Sett,1,0,1,0%,1,6,4,0.83,270,7.49,11.8,327,62.5%,12.5%,20.3%
Vladimir,1,0,1,0%,0,3,1,0.33,264,8.75,11.1,367,25%,0%,22.6%
Volibear,1,0,1,0%,0,1,0,0,230,6.65,10.3,299,0%,0%,19.7%
