,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Thresh,5,2,3,40%,0.4,2.4,7.8,3.42,29.8,0.91,7.1,218,75.9%,3.7%,12.8%
Bard,4,2,2,50%,0.75,2,7.75,4.25,54.75,1.53,8.4,235,85%,7.5%,13.6%
Yuumi,2,1,1,50%,0.5,2,7.5,4,32.5,0.87,8.3,222,88.9%,5.6%,12.9%
Lulu,1,1,0,100%,0,0,12,12,26,0.74,8.4,241,92.3%,0%,13%
Morgana,1,1,0,100%,0,2,8,4,41,0.99,9.1,218,80%,0%,11.9%
Braum,1,0,1,0%,0,7,13,1.86,28,0.84,7.6,227,76.5%,0%,12.6%
Leona,1,0,1,0%,0,2,7,3.5,37,1,7.5,202,70%,0%,12.4%
Nautilus,1,0,1,0%,1,5,14,3,42,0.97,9.7,224,88.2%,5.9%,13.5%
Tahm Kench,1,0,1,0%,0,3,5,1.67,22,0.66,7,210,62.5%,0%,12.6%
Taric,1,0,1,0%,0,4,4,1,25,0.8,6,192,66.7%,0%,12.3%
