,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Zoe,4,2,2,50%,2.75,1.25,4,5.4,338.5,9.1,14.5,389,58.7%,23.9%,22.8%
Orianna,3,1,2,33.3%,1.67,2,3.33,2.5,317.33,9.93,12.6,396,71.4%,23.8%,24.1%
Azir,2,2,0,100%,9.5,1.5,9.5,12.67,324.5,9.76,17.2,516,67.9%,33.9%,25.9%
Corki,2,1,1,50%,7,2,3.5,5.25,349,10.64,15.6,476,77.8%,51.9%,27.4%
Galio,2,1,1,50%,2,2.5,4.5,2.6,282,8.48,12.2,366,68.4%,21.1%,21.6%
Akali,1,1,0,100%,7,1,6,13,341,9.75,15.6,447,76.5%,41.2%,23.8%
LeBlanc,1,0,1,0%,2,2,3,2.5,276,9.24,10.5,351,71.4%,28.6%,22.4%
Syndra,1,0,1,0%,0,5,3,0.6,434,9.57,16.5,365,75%,0%,23%
Twisted Fate,1,0,1,0%,0,6,3,0.5,261,7.99,11.8,363,75%,0%,22.9%
Viktor,1,0,1,0%,1,1,1,2,349,10.43,13.6,406,66.7%,33.3%,25.9%
