,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Aatrox,7,2,5,28.6%,2.57,1.29,3.71,4.89,302,7.79,14.4,372,52.4%,21.4%,22%
Jayce,2,1,1,50%,5,3,8,4.33,299,8.08,15.1,408,68.4%,26.3%,22.5%
Mordekaiser,2,0,2,0%,0.5,3.5,2.5,0.86,236,7.73,10,328,60%,10%,20.7%
Jax,1,1,0,100%,8,1,7,15,241,8.73,14.8,536,71.4%,38.1%,26.9%
Maokai,1,1,0,100%,0,2,8,4,208,6.47,10.8,337,61.5%,0%,18.1%
Vladimir,1,1,0,100%,2,2,6,4,363,9.95,15.7,430,44.4%,11.1%,22.8%
Ornn,1,0,1,0%,3,3,8,3.67,250,6.27,12.9,324,61.1%,16.7%,18.6%
Poppy,1,0,1,0%,2,2,2,2,368,8.01,16.1,351,36.4%,18.2%,21%
Renekton,1,0,1,0%,1,4,1,0.5,308,8.13,13,342,50%,25%,21.6%
Sett,1,0,1,0%,0,2,1,0.5,288,8.79,11.3,345,25%,0%,21.9%
