,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Thresh,4,4,0,100%,2,1.75,12.75,8.43,37.75,1.25,7.7,255,76.6%,10.4%,13.8%
Nautilus,4,2,2,50%,0.25,5,9.5,1.95,41.75,1.14,8.1,220,69.6%,1.8%,12.7%
Braum,3,2,1,66.7%,1.33,1.67,11,7.4,38,1.21,7.7,246,69.8%,7.5%,13.4%
Bard,1,1,0,100%,2,3,16,6,39,1.77,7.2,325,64.3%,7.1%,14.7%
Galio,1,1,0,100%,4,5,7,2.2,198,5.47,12,333,44%,16%,17.2%
Leona,1,1,0,100%,3,1,12,15,35,1.18,8.3,281,65.2%,13%,14.3%
Rakan,1,1,0,100%,3,2,19,11,37,1.2,9,292,95.7%,13%,14.8%
Swain,1,1,0,100%,4,2,18,11,33,1.31,8.7,344,59.5%,10.8%,16.7%
Taric,1,1,0,100%,1,3,16,5.67,113,4.18,8.3,309,81%,4.8%,16.1%
Yuumi,1,1,0,100%,0,1,11,11,27,0.78,7.7,222,100%,0%,13%
