,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ornn,3,2,1,66.7%,1.67,3.33,7.67,2.8,269,7.02,12.9,338,73.7%,13.2%,19.5%
Shen,2,2,0,100%,1.5,1,11,12.5,290,8.18,13.5,380,73.5%,8.8%,20.2%
Aatrox,2,1,1,50%,0.5,1,2,2.5,186.5,7.36,8.2,325,33.3%,6.7%,18.8%
Gangplank,2,1,1,50%,2.5,1.5,5.5,5.33,321.5,7.64,17.2,409,66.7%,20.8%,23.5%
Wukong,2,1,1,50%,1.5,3.5,3,1.29,267,8.34,12.9,401,52.9%,17.6%,22.3%
Irelia,1,1,0,100%,6,3,5,3.67,263,8.18,14,436,64.7%,35.3%,22.3%
Jayce,1,1,0,100%,2,2,4,3,305,7.32,15.4,370,75%,25%,20.5%
Malphite,1,1,0,100%,3,3,8,3.67,265,6.76,13.5,345,78.6%,21.4%,20%
Renekton,1,1,0,100%,0,1,2,2,304,8.53,14.2,399,18.2%,0%,21.6%
Sett,1,1,0,100%,2,0,8,10,236,7.75,12.3,402,43.5%,8.7%,20%
Mordekaiser,1,0,1,0%,1,3,0,0.33,213,7.24,9.3,316,25%,25%,20.2%
Volibear,1,0,1,0%,3,3,4,2.33,259,7.75,12.1,363,77.8%,33.3%,23.6%
