,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,5,2,3,40%,3.8,2.6,4.2,3.08,351.6,9.85,15.4,431,55.6%,26.4%,24.4%
Cassiopeia,2,1,1,50%,6.5,4,7,3.38,396,9.67,18.7,456,60%,28.9%,24.7%
Viktor,2,1,1,50%,5.5,1.5,5,7,411.5,10.42,17.9,454,84%,44%,25.6%
LeBlanc,2,0,2,0%,3.5,2.5,3.5,2.8,265,7.95,12.2,367,87.5%,43.8%,24.2%
Zoe,2,0,2,0%,1.5,3.5,0,0.43,265,8.49,10.9,350,75%,75%,23.3%
Corki,1,1,0,100%,6,1,8,14,394,10.41,18.6,492,70%,30%,25.8%
Sett,1,1,0,100%,8,2,5,6.5,297,8.14,16.3,445,72.2%,44.4%,23.6%
Rumble,1,0,1,0%,2,5,2,0.8,262,8.05,11.6,356,66.7%,33.3%,22.3%
Ryze,1,0,1,0%,0,5,2,0.4,357,9.43,13.8,364,50%,0%,22.9%
Syndra,1,0,1,0%,6,2,4,5,422,9.19,19.8,432,90.9%,54.5%,25.9%
