,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Sett,4,3,1,75%,3,2,7.25,5.13,227.5,7.02,11.7,360,71.9%,21.1%,20.6%
Aatrox,3,1,2,33.3%,3.67,2.33,7,4.57,283.67,7.01,14.8,366,62.7%,21.6%,21.4%
Ornn,2,2,0,100%,1.5,0.5,5.5,14,210,6.73,10.8,346,70%,15%,19.5%
Gangplank,2,0,2,0%,2,0.5,2,8,332,7.79,16.6,389,66.7%,33.3%,25.3%
Irelia,1,1,0,100%,3,2,8,5.5,270,8.04,13.3,397,84.6%,23.1%,21.8%
Kennen,1,1,0,100%,4,3,3,2.33,259,7.27,14.7,413,43.8%,25%,23%
Qiyana,1,1,0,100%,9,3,7,5.33,237,6.79,14.2,408,80%,45%,23.1%
Akali,1,0,1,0%,0,0,3,3,185,6.86,8.1,301,50%,0%,20.2%
Kayle,1,0,1,0%,0,4,1,0.25,233,7.75,9.8,327,100%,0%,22.9%
Mordekaiser,1,0,1,0%,2,6,1,0.5,256,6.82,11.6,310,75%,50%,20.7%
Rumble,1,0,1,0%,3,2,2,2.5,385,6.28,18.8,306,55.6%,33.3%,20.8%
