,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Wukong,3,3,0,100%,5.33,3,7,4.11,248.33,7.56,13.7,417,60.7%,26.2%,22.3%
Gangplank,2,1,1,50%,2.5,0.5,4.5,14,236,9.57,11.6,471,56%,20%,24.9%
Aatrox,1,1,0,100%,2,0,7,9,197,8.23,9.6,401,64.3%,14.3%,19.2%
Camille,1,1,0,100%,6,1,6,12,246,8.04,13.5,441,52.2%,26.1%,22.3%
Gnar,1,1,0,100%,5,0,6,11,312,9.56,15.6,478,35.5%,16.1%,23.1%
Kayle,1,1,0,100%,4,1,5,9,202,9.11,9.7,438,50%,22.2%,20.8%
Malphite,1,1,0,100%,8,0,5,13,214,6.88,12.7,410,72.2%,44.4%,21.5%
Mordekaiser,1,1,0,100%,2,1,6,8,271,9.25,12.6,430,42.1%,10.5%,21.5%
Ornn,1,1,0,100%,0,0,7,7,234,7.66,11.3,369,29.2%,0%,17.6%
Volibear,1,1,0,100%,5,0,9,14,212,7.45,11.4,402,66.7%,23.8%,20%
Jayce,1,0,1,0%,1,3,3,1.33,305,8.71,13.2,376,30.8%,7.7%,22.8%
