,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ornn,4,3,1,75%,1.25,2.25,7,3.67,218.25,6.4,11.4,333,61.1%,9.3%,18.4%
Corki,2,2,0,100%,4.5,1,4,8.5,324,9.6,15.2,449,70.8%,37.5%,24.4%
LeBlanc,2,2,0,100%,3,0,7.5,21,320,7.96,15,374,70%,20%,21.2%
Sylas,2,1,1,50%,2.5,3,3,1.83,215.5,6.47,11.3,338,44%,20%,19.8%
Maokai,1,1,0,100%,2,1,8,10,164,5.54,9.5,321,83.3%,16.7%,17%
Nautilus,1,1,0,100%,1,4,6,1.75,259,5.64,13.7,299,63.6%,9.1%,17.6%
Soraka,1,1,0,100%,0,0,15,15,201,5.63,10.9,306,83.3%,0%,16.8%
Syndra,1,1,0,100%,2,2,6,4,360,9.33,15.7,407,47.1%,11.8%,22%
Tristana,1,1,0,100%,6,0,3,9,315,8.83,15.6,437,69.2%,46.2%,24.9%
Orianna,1,0,1,0%,1,3,5,2,239,7.25,10.7,325,50%,8.3%,19.8%
Qiyana,1,0,1,0%,2,4,2,1,286,8.14,13.8,392,66.7%,33.3%,23.8%
Ryze,1,0,1,0%,2,4,1,0.75,281,9.37,12.2,406,30%,20%,26%
