,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Sion,4,1,3,25%,3.25,2.5,5.75,3.6,292,8.17,12.9,361,63.2%,22.8%,21.4%
Ornn,3,2,1,66.7%,1.33,3,2.67,1.33,218,6.35,11.1,322,60%,20%,18.5%
Kennen,2,1,1,50%,4,3,4,2.67,297.5,7.72,14.8,383,55.2%,27.6%,21.3%
Renekton,2,1,1,50%,1.5,3,2.5,1.33,232,7.52,10.6,344,33.3%,12.5%,19.3%
Aatrox,1,1,0,100%,3,0,6,9,253,8.48,12.4,416,81.8%,27.3%,22%
Sylas,1,1,0,100%,3,0,9,12,288,7.91,13.7,377,66.7%,16.7%,20%
Vladimir,1,1,0,100%,3,2,7,5,199,6.59,10.9,360,58.8%,17.6%,19.2%
Volibear,1,1,0,100%,9,1,6,15,218,7.76,13.1,465,78.9%,47.4%,23.6%
Gangplank,1,0,1,0%,0,4,5,1.25,317,8.95,14.4,405,45.5%,0%,23.2%
Karma,1,0,1,0%,0,5,1,0.2,204,7.47,8,294,20%,0%,18.9%
Malphite,1,0,1,0%,1,4,2,0.75,205,6.79,9.6,316,50%,16.7%,20.8%
