,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Galio,4,4,0,100%,2.5,0.25,10.75,53,241.25,8.55,11.6,411,84.1%,15.9%,20.6%
Zoe,3,2,1,66.7%,3.33,2,6,4.67,236,7.56,11.7,374,73.7%,26.3%,20.5%
Twisted Fate,2,2,0,100%,1.5,1,11,12.5,250.5,8.54,12.6,430,64.1%,7.7%,20.5%
Azir,2,1,1,50%,1,2.5,6.5,3,249.5,8.1,11.1,361,75%,10%,21%
Karma,1,1,0,100%,2,1,11,13,197,7.73,11,430,81.3%,12.5%,20.9%
LeBlanc,1,1,0,100%,2,2,11,6.5,232,7.48,12.5,402,76.5%,11.8%,19%
Orianna,1,1,0,100%,2,2,8,5,394,9.58,16.5,401,83.3%,16.7%,22.4%
Rumble,1,1,0,100%,6,0,7,13,229,8.42,11.7,429,72.2%,33.3%,21.3%
Cassiopeia,1,0,1,0%,2,4,3,1.25,245,8.97,10.1,369,62.5%,25%,23.9%
Sett,1,0,1,0%,1,1,7,8,227,7.75,10.8,370,57.1%,7.1%,21.9%
Syndra,1,0,1,0%,4,2,5,4.5,248,7.64,11.9,366,81.8%,36.4%,22.1%
