,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Aatrox,5,4,1,80%,4.2,2.6,6,3.92,253,8,12.9,409,51.5%,21.2%,21.9%
Soraka,3,3,0,100%,0.67,2.67,13,5.13,173.67,5.35,9.8,300,73.2%,3.6%,17%
Sett,2,2,0,100%,3,4,8,2.75,273,7.95,14.2,413,56.4%,15.4%,21.9%
Bard,1,1,0,100%,4,1,12,16,144,5.7,8.9,354,43.2%,10.8%,17.2%
Gnar,1,1,0,100%,5,2,8,6.5,215,8.26,11.4,439,68.4%,26.3%,23.4%
Janna,1,1,0,100%,0,1,9,9,98,2.83,9.5,273,81.8%,0%,16%
Kalista,1,1,0,100%,4,4,12,4,353,9.76,17.7,488,64%,16%,25.2%
Neeko,1,1,0,100%,4,4,11,3.75,173,7.85,10.8,491,53.6%,14.3%,22.2%
Vladimir,1,1,0,100%,4,1,9,13,237,8.77,11.7,435,61.9%,19%,22.7%
Ornn,1,0,1,0%,1,4,4,1.25,291,6.93,13.8,328,62.5%,12.5%,18.7%
Sona,1,0,1,0%,2,4,3,1.25,91,3.08,8.6,292,45.5%,18.2%,17.7%
