,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Mordekaiser,3,3,0,100%,4,1.67,7.67,7,233.67,7.76,12.2,404,58.3%,20%,21.1%
Akali,2,1,1,50%,1,3,3,1.33,233,7.56,10.9,354,47.1%,11.8%,20.1%
Camille,2,1,1,50%,2.5,2.5,5.5,3.2,278.5,8.61,12.9,400,50%,15.6%,22.1%
Wukong,2,1,1,50%,1,3.5,5,1.71,209.5,7.11,10.1,345,46.2%,7.7%,19.5%
Cho'Gath,1,1,0,100%,4,3,6,3.33,337,9.42,15.4,429,52.6%,21.1%,22.1%
Dr. Mundo,1,1,0,100%,5,3,5,3.33,338,9.04,16.6,444,40%,20%,22.7%
Gnar,1,1,0,100%,0,0,11,11,251,8.93,11.7,417,78.6%,0%,21.1%
Jax,1,1,0,100%,4,3,6,3.33,192,6.88,11.2,402,58.8%,23.5%,20.3%
Kayle,1,1,0,100%,6,2,5,5.5,294,9.79,14.9,496,68.8%,37.5%,24.5%
Karma,1,0,1,0%,1,6,5,1,192,5.3,9.7,267,66.7%,11.1%,16.4%
Kennen,1,0,1,0%,1,3,1,0.67,298,8.36,12.6,355,66.7%,33.3%,22.5%
Ornn,1,0,1,0%,2,2,1,1.5,223,7.7,9.6,333,75%,50%,21.5%
Sett,1,0,1,0%,2,4,1,0.75,256,7.19,11.6,327,25%,16.7%,20.6%
