,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Orianna,5,3,2,60%,3,1.6,6.2,5.75,333,9.01,14.7,399,73%,23.8%,23.3%
Corki,3,1,2,33.3%,1.33,2.33,4.33,2.43,358.67,9.08,15.5,391,63%,14.8%,22.6%
Lucian,2,1,1,50%,0.5,3,6.5,2.33,336.5,8.97,14.2,378,63.6%,4.5%,21.6%
Syndra,2,1,1,50%,4,3,5,3,224,7.8,11.1,387,72%,32%,21.7%
Azir,1,0,1,0%,1,3,1,0.67,302,9.53,11.7,370,66.7%,33.3%,24.5%
Ekko,1,0,1,0%,2,1,1,3,243,7.83,10.4,335,50%,33.3%,21.7%
LeBlanc,1,0,1,0%,2,0,2,4,244,7,11.3,324,80%,40%,22.2%
Ornn,1,0,1,0%,1,2,4,2.5,222,7.35,9.2,306,62.5%,12.5%,18.4%
Sylas,1,0,1,0%,2,6,2,0.67,213,6.76,10,317,57.1%,28.6%,21.3%
Twisted Fate,1,0,1,0%,1,3,3,1.33,263,7.7,12.4,364,80%,20%,21.6%
