,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Thresh,3,3,0,100%,0.67,2.33,11.67,5.29,40.67,1.23,8.2,247,58.7%,3.2%,12.7%
Senna,3,2,1,66.7%,1.67,3.67,10.67,3.36,43,1.28,9.1,272,82.2%,11.1%,14.8%
Bard,2,2,0,100%,2,2.5,10,4.8,49.5,1.51,8.4,256,82.8%,13.8%,14.1%
Lulu,2,2,0,100%,2.5,0.5,9,23,17.5,0.76,7,303,69.7%,15.2%,15.1%
Leona,2,1,1,50%,0.5,3,5,1.83,39,1.15,7.3,215,61.1%,5.6%,11.9%
Braum,2,0,2,0%,0,4,6.5,1.63,38.5,1.15,6.9,207,81.3%,0%,12.9%
Morgana,1,1,0,100%,2,2,10,6,17,0.49,9.3,265,66.7%,11.1%,14.2%
Rakan,1,1,0,100%,0,1,13,13,52,1.38,9.6,255,72.2%,0%,13.6%
Taric,1,1,0,100%,0,2,10,5,43,1.13,9,236,71.4%,0%,12.7%
Galio,1,0,1,0%,1,1,2,3,33,1.19,6.1,221,75%,25%,13.7%
