,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Gnar,2,1,1,50%,0.5,3.5,3.5,1.14,267,8.05,12.3,371,44.4%,5.6%,21.4%
Gragas,2,1,1,50%,2.5,2,8.5,5.5,196.5,6.33,10.7,346,59.5%,13.5%,19.1%
Camille,2,0,2,0%,1.5,3,4.5,2,319.5,9.09,14.1,401,75%,18.8%,23%
Kennen,1,1,0,100%,2,4,9,2.75,300,7.44,15.6,386,57.9%,10.5%,20.1%
Mordekaiser,1,1,0,100%,4,1,5,9,258,8.26,12.4,398,45%,20%,20.3%
Ornn,1,1,0,100%,2,0,13,15,237,7.91,10.9,365,78.9%,10.5%,18.9%
Renekton,1,1,0,100%,2,1,8,10,320,9.01,14.3,402,66.7%,13.3%,21.5%
Sylas,1,1,0,100%,3,1,7,10,342,8.74,16.3,417,83.3%,25%,24.1%
Aatrox,1,0,1,0%,1,3,1,0.67,320,8.19,13.3,340,50%,25%,21.6%
Gangplank,1,0,1,0%,0,3,6,2,307,8.31,13.8,375,75%,0%,22.7%
