,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Gnar,4,3,1,75%,3.25,1.75,5,4.71,313.75,8.84,15.1,426,76.7%,30.2%,23%
Gragas,3,3,0,100%,1,0,7.67,26,254.33,7.67,12.3,371,63.4%,7.3%,19.5%
Irelia,2,2,0,100%,4.5,1.5,7.5,8,353.5,9.23,17.2,450,66.7%,25%,23%
Sylas,2,1,1,50%,3,4,7,2.5,222.5,6.83,11.7,358,74.1%,22.2%,20.6%
Aatrox,1,0,1,0%,0,2,0,0,268,9.18,10.8,369,-nan%,-nan%,23.5%
Gangplank,1,0,1,0%,2,4,4,1.5,220,6.65,13.4,406,60%,20%,24.3%
Jayce,1,0,1,0%,1,3,3,1.33,253,8.41,11.9,397,57.1%,14.3%,22.6%
Lulu,1,0,1,0%,0,2,1,0.5,180,6.01,7.8,261,50%,0%,17.9%
Mordekaiser,1,0,1,0%,1,7,1,0.29,160,5.79,7.8,284,40%,20%,18.1%
Rumble,1,0,1,0%,1,5,3,0.8,220,6.36,10.8,314,44.4%,11.1%,19.4%
