,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Camille,5,4,1,80%,3,0.8,3.6,8.25,224.6,7.65,11.3,384,42.9%,19.5%,19.9%
Aatrox,2,1,1,50%,0.5,2.5,5.5,2.4,247,7.5,11.4,346,38.7%,3.2%,18.9%
Irelia,2,1,1,50%,3,3.5,7,2.86,243.5,8.22,11.8,399,74.1%,22.2%,21.5%
Lulu,2,1,1,50%,1,3,9,3.33,190,5.85,10,307,83.3%,8.3%,17.7%
Gragas,1,1,0,100%,3,1,7,10,209,7.58,10.9,395,50%,15%,19.7%
Jayce,1,1,0,100%,2,1,7,9,322,8.81,14.9,407,56.3%,12.5%,21.2%
Malphite,1,1,0,100%,2,1,7,9,146,5.21,9.2,329,60%,13.3%,17.3%
Graves,1,0,1,0%,2,2,1,1.5,202,6.51,9.3,300,50%,33.3%,19.4%
Karma,1,0,1,0%,1,2,5,3,199,6.93,8.8,305,66.7%,11.1%,19.2%
Ornn,1,0,1,0%,1,2,5,3,296,6.59,13.8,306,60%,10%,19.2%
