,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
10,TRLH3/33,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,Spring,0,2014-01-14 17:52:02,1,3.15,100,Blue,team,,Fnatic,,Riven,Kha'Zix,Yasuo,,,1924,1,21,5,58,21,5,6,2,0,0,1,,,,0.6549,0.8108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,2,0,73848,2302.9522,,2496.4553,0.0,81,2.526,6,0.1871,4,0,0.0,59431,39633,1235.9563,,40100,0.0827112,,741,152,137,15,27.8482,13851,17193,245,13970,17656,249,-119,-463,-4,4,6,3,3,3,4,22618,30237,435,21346,30174,458,1272,63,-23,5,7,3,3,3,5
35,TRLH3/76,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec&amp;tab=overview,EU LCS,2014,Spring,0,2014-01-14 21:28:45,1,3.15,200,Red,team,,Fnatic,,Yasuo,Elise,LeBlanc,,,2629,1,15,8,30,15,8,1,0,0,0,1,,,,0.3423,0.5249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,3,0,93558,2135.2149,,2529.4941,0.0,126,2.8756,30,0.6847,4,0,0.0,72523,46028,1050.4679,,50060,0.138174,,1094,221,203,18,30.0114,13076,17543,269,13923,18814,291,-847,-1271,-22,1,1,0,0,0,1,19680,28522,434,22057,30901,489,-2377,-2379,-55,2,4,2,2,3,2
82,TRLH3/10096,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10096?gameHash=c7f078d7cc348080&amp;tab=overview,EU LCS,2014,Spring,0,2014-01-15 19:15:40,1,3.15,100,Blue,team,,Fnatic,,Riven,Evelynn,Dr. Mundo,,,1785,1,23,2,50,23,2,3,0,0,0,0,,,,0.7731,0.8403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,2,0,80045,2690.5882,,2630.7227,0.0,76,2.5546,4,0.1345,5,0,0.0,58241,39764,1336.605,,36425,0.219514,,761,152,118,34,30.6891,12892,18043,278,13346,17782,279,-454,261,-1,1,1,1,1,1,1,20809,31236,490,20655,30984,482,154,252,8,1,1,1,1,1,1
418,TRLH3/30050,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/30050?gameHash=f1fd698656e230b3,EU LCS,2014,Spring,0,2014-01-24 20:29:50,1,,100,Blue,team,,Fnatic,,Vi,Lucian,Kayle,,,2292,1,15,4,36,15,4,1,1,0,0,1,,,,0.3927,0.4974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,1.0,11.0,2.0,1.0,1.0,4,0,84222,2204.7644,,2872.0942,0.0,95,2.4869,35,0.9162,16,0,0.0,70392,47098,1232.9319,,48495,0.217928,,924,216,161,55,29.8429,14902,17683,262,12438,16451,237,2464,1232,25,2,3,0,0,0,2,22995,29786,443,18784,27186,413,4211,2600,30,3,4,0,0,0,3
587,TRLH3/20100,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/20100?gameHash=6a9531069ae390d6,EU LCS,2014,Spring,0,2014-01-30 19:10:55,1,,200,Red,team,,Fnatic,,Elise,Kayle,Kassadin,,,3062,1,15,11,34,15,11,0,0,0,0,1,,,,0.2939,0.5095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,2.0,1.0,0.0,9.0,8.0,0.0,1.0,1,1,118908,2330.0065,,2548.2169,0.0,142,2.7825,24,0.4703,9,0,0.0,88027,57418,1125.1078,,60730,0.00176345,,1295,236,210,26,30.0,14307,16793,266,12030,15739,217,2277,1054,49,1,2,0,0,0,1,21631,26896,432,20539,26773,378,1092,123,54,2,4,2,2,3,2
611,TRLH3/20115,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/20115?gameHash=12f1243d60924e3e,EU LCS,2014,Spring,0,2014-01-30 22:00:11,1,,200,Red,team,,Fnatic,,,,Kassadin,,,3159,1,26,15,54,26,15,2,0,0,0,1,,,,0.4938,0.7787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,1.0,0.0,11.0,6.0,1.0,1.0,5,0,142863,2713.4473,,3006.4387,0.0,133,2.5261,21,0.3989,15,0,0.0,86082,54552,1036.1254,,53330,-0.131231,,1110,210,161,49,25.0712,13255,17333,265,13549,15685,234,-294,1648,31,2,3,1,1,3,2,21707,28541,436,20987,24980,382,720,3561,54,4,8,1,1,3,4
659,TRLH3/20147,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/20147?gameHash=3e23efc41e9156a8,EU LCS,2014,Spring,0,2014-01-31 21:16:12,1,,200,Red,team,,Fnatic,,Kayle,Kha'Zix,Kassadin,,,3034,0,18,23,38,18,23,1,0,0,0,1,,,,0.356,0.8108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,1.0,3.0,11.0,0.0,0.0,0,4,126854,2508.6486,,3200.2109,0.0,131,2.5906,21,0.4153,15,0,0.0,72257,41914,828.886,,54643,-0.0333279,,1105,179,162,17,25.3922,12308,16092,211,14530,18696,283,-2222,-2604,-72,2,4,3,3,3,2,20343,27251,375,22164,31681,467,-1821,-4430,-92,4,6,5,5,5,4
826,TRLH3/30128,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/30128?gameHash=2d7c763e5938e4f2,EU LCS,2014,Spring,0,2014-02-06 17:34:10,1,,100,Blue,team,,Fnatic,,Kayle,Wukong,Yasuo,,,2590,0,8,17,23,8,17,1,0,0,0,0,,,,0.1853,0.5792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0,5,91913,2129.2587,,2488.1236,0.0,95,2.2008,25,0.5792,8,0,0.0,59583,33458,775.0888,,45270,-0.144292,,994,204,192,12,27.7529,12888,17737,289,13430,18207,261,-542,-470,28,0,0,1,1,1,0,19662,29186,482,20787,30619,465,-1125,-1433,17,0,0,2,2,1,0
898,TRLH3/20211,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/20211?gameHash=2c0fc08c6b1a30d5,EU LCS,2014,Spring,0,2014-02-07 20:11:46,1,,100,Blue,team,,Fnatic,,Pantheon,Kayle,Gragas,,,1927,0,6,13,13,6,13,0,0,0,0,0,,,,0.1868,0.5916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,0,2,60315,1877.9969,,2334.8002,0.0,85,2.6466,10,0.3114,5,0,0.0,43281,23455,730.3062,,33830,-0.139548,,827,117,115,2,29.3928,13096,17813,282,14098,18154,272,-1002,-341,10,1,1,2,2,1,1,19727,29230,465,21798,30061,458,-2071,-831,7,1,1,2,2,1,1
1067,TRLH3/1000040020,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000040020?gameHash=6144db71b2b34df8,EU LCS,2014,Spring,0,2014-02-13 17:10:54,1,,200,Red,team,,Fnatic,,Elise,Kassadin,Kayle,,,2573,0,13,13,25,13,13,2,0,0,0,1,,,,0.3031,0.6063,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,1.0,3.0,11.0,0.0,0.0,0,5,96940,2260.5519,,2445.9619,0.0,111,2.5884,23,0.5363,12,0,0.0,64455,38492,897.5981,,50983,-0.0405473,,1078,180,163,17,29.3354,12715,18045,290,12506,18745,278,209,-700,12,0,0,0,0,0,0,22020,29478,449,21122,30900,460,898,-1422,-11,4,5,2,2,2,4
