,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1102,TRLH1/1001520083,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520083?gameHash=86d4c628a9babfbb&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-16 21:13:21,1,6.01,100,Blue,team,,Cloud9,,Alistar,Fiora,Lissandra,,,1626,0,7,17,16,7,17,1.0,0.0,0.0,0.0,0.0,,,,0.2583,0.8856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,0.0,0.0,0.0,2.0,46616.0,1720.1476,,2848.893,0.0,81.0,2.9889,13.0,0.4797,16.0,0.0,0.0,38845,20984.0,774.3173,,35710.0,-0.304268,,549.0,81.0,75.0,6.0,23.2472,14574.0,14125.0,216.0,15908.0,15803.0,247.0,-1334.0,-1678.0,-31.0,1.0,2.0,1.0,1.0,4.0,1.0,21950.0,24073.0,379.0,23891.0,25754.0,410.0,-1941.0,-1681.0,-31.0,2.0,3.0,2.0,2.0,7.0,2.0
1499,TRLH1/1001510141,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001510141?gameHash=dfdec88962988af1&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-17 23:10:30,1,6.01,200,Red,team,,Cloud9,,Lulu,Ryze,Lucian,,,1732,1,17,4,42,17,4,3.0,0.0,0.0,0.0,1.0,,,,0.5889,0.7275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,2.0,0.0,65306.0,2262.3326,,2593.6836,0.0,87.0,3.0139,36.0,1.2471,17.0,0.0,0.0,60910,41968.0,1453.8568,,53750.0,0.233766,,778.0,130.0,91.0,39.0,31.455,17219.0,18367.0,282.0,14389.0,17756.0,292.0,2830.0,611.0,-10.0,4.0,10.0,0.0,0.0,0.0,4.0,28078.0,29006.0,457.0,24077.0,27641.0,437.0,4001.0,1365.0,20.0,5.0,12.0,3.0,3.0,7.0,5.0
3035,TRLH1/1001520253,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520253?gameHash=8acbe7f157834876&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-23 19:59:03,1,6.01,200,Red,team,,Cloud9,,Graves,Gangplank,Ryze,,,2112,0,5,15,6,5,15,1.0,1.0,0.0,0.0,1.0,,,,0.142,0.5682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,43339.0,1231.2216,,3041.6477,0.0,129.0,3.6648,51.0,1.4489,22.0,0.0,0.0,57101,34283.0,973.9489,,53500.0,-0.141958,,922.0,170.0,148.0,22.0,31.0227,15514.0,19303.0,318.0,14323.0,18374.0,290.0,1191.0,929.0,28.0,1.0,1.0,0.0,0.0,0.0,1.0,23644.0,29933.0,500.0,22525.0,28986.0,463.0,1119.0,947.0,37.0,2.0,3.0,2.0,2.0,5.0,2.0
3323,TRLH1/1001510234,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001510234?gameHash=8108b30126177b06&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-24 21:43:03,1,6.01,200,Red,team,,Cloud9,,Lissandra,Corki,Bard,,,1965,1,14,8,23,14,8,2.0,0.0,0.0,0.0,1.0,,,,0.4275,0.6718,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,1.0,0.0,66635.0,2034.6565,,2981.9847,0.0,99.0,3.0229,43.0,1.313,14.0,0.0,0.0,62913,41594.0,1270.0458,,53525.0,0.162954,,834.0,153.0,109.0,44.0,30.1374,15522.0,18098.0,250.0,13100.0,16333.0,235.0,2422.0,1765.0,15.0,5.0,4.0,0.0,0.0,0.0,5.0,23800.0,27544.0,415.0,20294.0,25990.0,371.0,3506.0,1554.0,44.0,6.0,5.0,1.0,1.0,2.0,6.0
4882,TRLH1/1001540022,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001540022?gameHash=bbb72a5bd29a262c&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-30 20:45:40,1,6.01,100,Blue,team,,Cloud9,,Poppy,Lulu,Elise,,,1698,0,5,13,8,5,13,0.0,0.0,0.0,0.0,0.0,,,,0.1767,0.636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,10.0,0.0,1.0,2.0,2.0,49683.0,1755.583,,3064.523,0.0,89.0,3.1449,22.0,0.7774,18.0,0.0,0.0,49436,30840.0,1089.7527,,44620.0,-0.00123187,,660.0,134.0,92.0,42.0,28.0565,15939.0,16609.0,277.0,15280.0,15825.0,249.0,659.0,784.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,24840.0,27342.0,460.0,22426.0,25567.0,408.0,2414.0,1775.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
5171,TRLH1/1001540082,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001540082?gameHash=ac7de0d2e6ac1216&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-31 21:50:08,1,6.01,200,Red,team,,Cloud9,,Lulu,Elise,Bard,,,1829,1,9,9,27,9,9,1.0,1.0,0.0,0.0,0.0,,,,0.2952,0.5905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,3.0,1.0,1.0,1.0,0.0,62251.0,2042.1323,,2439.1033,0.0,91.0,2.9852,42.0,1.3778,16.0,0.0,0.0,57750,37818.0,1240.6124,,49400.0,0.0701938,,801.0,159.0,129.0,30.0,31.4926,14962.0,18990.0,286.0,14780.0,18795.0,276.0,182.0,195.0,10.0,0.0,0.0,2.0,2.0,1.0,0.0,24009.0,29577.0,463.0,23305.0,28979.0,437.0,704.0,598.0,26.0,1.0,4.0,3.0,3.0,4.0,1.0
6622,TRLH1/1001560025,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001560025?gameHash=229b7f6920b359b2&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-06 20:54:06,1,6.02,100,Blue,team,,Cloud9,,Kalista,Elise,Corki,,,1182,1,13,1,34,13,1,3.0,0.0,0.0,0.0,0.0,,,,0.6599,0.7107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,1.0,1.0,1.0,0.0,36861.0,1871.1168,,1778.1726,0.0,49.0,2.4873,11.0,0.5584,12.0,0.0,0.0,41612,28280.0,1435.533,,35850.0,0.376139,,507.0,104.0,75.0,29.0,31.0152,15254.0,17655.0,283.0,14717.0,16513.0,263.0,537.0,1142.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,27361.0,30128.0,456.0,21734.0,25197.0,400.0,5627.0,4931.0,56.0,4.0,9.0,1.0,1.0,2.0,4.0
6778,TRLH1/1001550084,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550084?gameHash=005a9b7b25ee9ac5&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-07 20:52:37,1,6.02,100,Blue,team,,Cloud9,,Corki,Elise,Graves,,,1781,1,14,3,43,14,3,1.0,1.0,0.0,0.0,1.0,,,,0.4716,0.5727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,11.0,3.0,0.0,0.0,3.0,0.0,59750.0,2012.9141,,2355.4632,0.0,85.0,2.8636,38.0,1.2802,17.0,0.0,0.0,59146,39704.0,1337.5856,,53125.0,0.22292,,725.0,134.0,97.0,37.0,28.9388,15387.0,15234.0,245.0,15215.0,15746.0,243.0,172.0,-512.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23822.0,26078.0,409.0,22309.0,24778.0,400.0,1513.0,1300.0,9.0,2.0,6.0,0.0,0.0,0.0,2.0
7798,TRLH1/1001550174,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550174?gameHash=27174ae09a391837&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-13 21:58:41,1,6.02,100,Blue,team,,Cloud9,,Elise,Lulu,Poppy,,,1742,1,15,6,45,15,6,1.0,0.0,0.0,0.0,1.0,,,,0.5166,0.7233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,3.0,1.0,1.0,1.0,0.0,67267.0,2316.8886,,2526.992,0.0,83.0,2.8588,38.0,1.3088,15.0,0.0,0.0,56096,37052.0,1276.1883,,46445.0,0.0718189,,652.0,140.0,113.0,27.0,27.279,15487.0,16986.0,265.0,15084.0,16193.0,271.0,403.0,793.0,-6.0,1.0,1.0,0.0,0.0,0.0,1.0,23560.0,26259.0,423.0,23904.0,25862.0,427.0,-344.0,397.0,-4.0,1.0,1.0,1.0,1.0,2.0,1.0
7979,TRLH1/1001550227,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550227?gameHash=e8cdc75bbd7de4f8&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-14 21:54:26,1,6.02,200,Red,team,,Cloud9,,Soraka,Lulu,Janna,,,1782,0,16,28,31,16,28,1.0,0.0,0.0,0.0,0.0,,,,0.5387,1.4815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,3.0,65288.0,2198.2492,,3769.8316,0.0,94.0,3.165,28.0,0.9428,14.0,0.0,0.0,47634,28182.0,948.8889,,45380.0,-0.276,,677.0,94.0,94.0,0.0,25.9596,15036.0,17206.0,226.0,17020.0,17868.0,263.0,-1984.0,-662.0,-37.0,5.0,4.0,6.0,6.0,7.0,5.0,22790.0,26843.0,385.0,26511.0,28945.0,441.0,-3721.0,-2102.0,-56.0,7.0,6.0,8.0,8.0,11.0,7.0
