,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1114,TRLH1/1001520097,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520097?gameHash=bc715e5ce8216066&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-16 22:11:31,1,6.01,100,Blue,team,,Dignitas,,Tahm Kench,Lulu,Rek'Sai,,,2435,0,16,17,44,16,17,0.0,0.0,0.0,0.0,1.0,,,,0.3943,0.7885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,11.0,1.0,1.0,0.0,5.0,72342.0,1782.5544,,3162.4559,0.0,115.0,2.8337,56.0,1.3799,22.0,0.0,0.0,67307,41194.0,1015.0472,,63775.0,-0.116718,,947.0,141.0,110.0,31.0,26.809,14930.0,15492.0,212.0,14982.0,14769.0,231.0,-52.0,723.0,-19.0,1.0,2.0,1.0,1.0,2.0,1.0,23612.0,25966.0,366.0,22291.0,24611.0,416.0,1321.0,1355.0,-50.0,3.0,5.0,1.0,1.0,2.0,3.0
1474,TRLH1/1001510120,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001510120?gameHash=94f4e7ae4539dfea&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-17 21:01:32,1,6.01,100,Blue,team,,Dignitas,,Lulu,Ryze,Rek'Sai,,,1897,1,21,6,45,21,6,2.0,1.0,0.0,0.0,1.0,,,,0.6642,0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,5.0,1.0,1.0,1.0,0.0,56479.0,1786.3679,,2027.5698,0.0,106.0,3.3527,38.0,1.2019,15.0,0.0,0.0,62513,41888.0,1324.8708,,54925.0,0.130424,,776.0,130.0,113.0,17.0,28.6558,15064.0,15881.0,241.0,15363.0,14579.0,241.0,-299.0,1302.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,27050.0,27056.0,395.0,23627.0,24553.0,397.0,3423.0,2503.0,-2.0,6.0,15.0,3.0,3.0,8.0,6.0
3070,TRLH1/1001520279,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520279?gameHash=15bfc7c42815e1a9&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-23 23:01:41,1,6.01,100,Blue,team,,Dignitas,,Kalista,Dr. Mundo,Ryze,,,2877,1,14,5,39,14,5,1.0,0.0,0.0,0.0,1.0,,,,0.292,0.3962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0,6.0,0.0,0.0,1.0,0.0,72832.0,1518.9155,,2512.4922,0.0,177.0,3.6913,78.0,1.6267,22.0,0.0,0.0,87138,56517.0,1178.6653,,79225.0,0.0242734,,1309.0,189.0,166.0,23.0,31.2409,14482.0,17545.0,260.0,14468.0,18464.0,315.0,14.0,-919.0,-55.0,2.0,2.0,0.0,0.0,0.0,2.0,22765.0,29166.0,457.0,23647.0,28501.0,493.0,-882.0,665.0,-36.0,3.0,4.0,0.0,0.0,0.0,3.0
3299,TRLH1/1001510200,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001510200?gameHash=4d4871d0e68e336e,NA LCS,2016,Spring,0,2016-01-24 19:21:09,1,6.01,200,Red,team,,Dignitas,,Ryze,Gangplank,Fiora,,,1712,0,2,15,3,2,15,0.0,0.0,0.0,0.0,0.0,,,,0.0701,0.5958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,32554.0,1140.9112,,2592.4065,0.0,89.0,3.1192,24.0,0.8411,17.0,0.0,0.0,41270,22532.0,789.6729,,36480.0,-0.315595,,716.0,77.0,70.0,7.0,27.7921,14423.0,15784.0,236.0,15965.0,16666.0,275.0,-1542.0,-882.0,-39.0,1.0,3.0,2.0,2.0,5.0,1.0,22025.0,26209.0,416.0,24311.0,27397.0,468.0,-2286.0,-1188.0,-52.0,1.0,3.0,3.0,3.0,7.0,1.0
4871,TRLH1/1001540011,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001540011?gameHash=1e99c74be46f5d70&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-30 19:05:48,1,6.01,200,Red,team,,Dignitas,,Ryze,Gangplank,Graves,,,1619,0,7,12,16,7,12,0.0,0.0,0.0,0.0,1.0,,,,0.2594,0.7041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,1.0,1.0,1.0,49292.0,1826.7573,,2255.5034,0.0,74.0,2.7424,27.0,1.0006,16.0,0.0,0.0,49250,31460.0,1165.9049,,43175.0,-0.00462161,,704.0,109.0,98.0,11.0,30.1297,14673.0,18515.0,295.0,14447.0,19676.0,293.0,226.0,-1161.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22200.0,28375.0,447.0,23293.0,31588.0,460.0,-1093.0,-3213.0,-13.0,1.0,3.0,3.0,3.0,11.0,1.0
5170,TRLH1/1001540082,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001540082?gameHash=ac7de0d2e6ac1216&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-31 21:50:08,1,6.01,100,Blue,team,,Dignitas,,Ryze,Tahm Kench,Alistar,,,1829,0,9,9,15,9,9,1.0,0.0,0.0,0.0,1.0,,,,0.2952,0.5905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,50251.0,1648.4746,,2585.708,0.0,98.0,3.2149,39.0,1.2794,13.0,0.0,0.0,49739,29807.0,977.813,,46050.0,-0.0701938,,745.0,109.0,100.0,9.0,28.0153,14780.0,18795.0,276.0,14962.0,18990.0,286.0,-182.0,-195.0,-10.0,2.0,1.0,0.0,0.0,0.0,2.0,23305.0,28979.0,437.0,24009.0,29577.0,463.0,-704.0,-598.0,-26.0,3.0,4.0,1.0,1.0,4.0,3.0
6611,TRLH1/1001560015,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001560015?gameHash=314d26a7b9fb3223&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-06 19:53:24,1,6.02,200,Red,team,,Dignitas,,Ryze,Gangplank,Corki,,,1828,0,1,18,0,1,18,0.0,0.0,0.0,0.0,1.0,,,,0.0328,0.6236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,2.0,30465.0,999.9453,,2316.8271,0.0,83.0,2.7243,37.0,1.2144,19.0,0.0,0.0,43641,23719.0,778.523,,41185.0,-0.32172,,759.0,86.0,78.0,8.0,27.7352,15338.0,15773.0,248.0,17691.0,16362.0,227.0,-2353.0,-589.0,21.0,1.0,0.0,4.0,4.0,10.0,1.0,22348.0,24604.0,400.0,28534.0,28654.0,387.0,-6186.0,-4050.0,13.0,1.0,0.0,9.0,9.0,26.0,1.0
6814,TRLH1/1001550120,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550120?gameHash=1f605182d4770594&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-07 23:43:57,1,6.02,100,Blue,team,,Dignitas,,Gangplank,Alistar,Fiora,,,2601,1,18,10,53,18,10,2.0,0.0,0.0,0.0,0.0,,,,0.4152,0.6459,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,8.0,6.0,1.0,1.0,1.0,2.0,96428.0,2224.406,,2603.391,0.0,157.0,3.6217,62.0,1.4302,26.0,0.0,0.0,77871,50065.0,1154.902,,69200.0,-0.0722892,,1080.0,178.0,149.0,29.0,29.0196,15171.0,18541.0,291.0,15271.0,18487.0,296.0,-100.0,54.0,-5.0,2.0,3.0,2.0,2.0,2.0,2.0,24129.0,29962.0,460.0,23502.0,29340.0,470.0,627.0,622.0,-10.0,3.0,6.0,2.0,2.0,2.0,3.0
7823,TRLH1/1001550189,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550189?gameHash=62285d98f8bc13cf&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-13 23:48:20,1,6.02,200,Red,team,,Dignitas,,Nidalee,Lulu,Fiora,,,1591,0,7,15,11,7,15,0.0,0.0,0.0,0.0,0.0,,,,0.264,0.8297,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,10.0,0.0,0.0,0.0,2.0,39672.0,1496.1157,,2148.1207,0.0,85.0,3.2055,49.0,1.8479,19.0,0.0,0.0,40902,23398.0,882.3884,,37575.0,-0.271122,,681.0,75.0,63.0,12.0,28.5104,14313.0,18037.0,276.0,15218.0,18246.0,258.0,-905.0,-209.0,18.0,1.0,1.0,2.0,2.0,4.0,1.0,22232.0,28407.0,429.0,24317.0,29573.0,424.0,-2085.0,-1166.0,5.0,4.0,4.0,5.0,5.0,9.0,4.0
8002,TRLH1/1001550248,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550248?gameHash=a09a1bcc888ff2f7&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-14 23:51:17,1,6.02,100,Blue,team,,Dignitas,,Alistar,Gangplank,Lulu,,,2732,0,7,16,17,7,16,0.0,0.0,0.0,0.0,1.0,,,,0.1537,0.5051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,9.0,0.0,0.0,0.0,1.0,76578.0,1681.8009,,2118.6457,0.0,167.0,3.6676,82.0,1.8009,30.0,0.0,0.0,73778,44636.0,980.2928,,71010.0,-0.0731294,,1186.0,218.0,179.0,39.0,30.8346,15070.0,16454.0,267.0,15108.0,14862.0,211.0,-38.0,1592.0,56.0,1.0,2.0,2.0,2.0,4.0,1.0,23590.0,26518.0,412.0,22248.0,24811.0,346.0,1342.0,1707.0,66.0,3.0,7.0,3.0,3.0,6.0,3.0
