,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1103,TRLH1/1001520083,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520083?gameHash=86d4c628a9babfbb&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-16 21:13:21,1,6.01,200,Red,team,,Immortals,,Tahm Kench,Lulu,Gangplank,,,1626,1,17,7,47,17,7,4.0,1.0,1.0,0.0,1.0,,,,0.6273,0.8856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,2.0,1.0,1.0,2.0,0.0,59096.0,2180.6642,,2692.9151,0.0,76.0,2.8044,27.0,0.9963,10.0,0.0,0.0,55844,37983.0,1401.5867,,48525.0,0.304268,,611.0,133.0,93.0,40.0,27.4539,15908.0,15803.0,247.0,14574.0,14125.0,216.0,1334.0,1678.0,31.0,1.0,4.0,1.0,1.0,2.0,1.0,23891.0,25754.0,410.0,21950.0,24073.0,379.0,1941.0,1681.0,31.0,2.0,7.0,2.0,2.0,3.0,2.0
1510,TRLH1/1001510148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001510148?gameHash=80b3cb5ba753c483&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-18 00:10:21,1,6.01,100,Blue,team,,Immortals,,Graves,Poppy,Tahm Kench,,,1100,1,16,0,21,16,0,1.0,1.0,0.0,0.0,1.0,,,,0.8727,0.8727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,1.0,3.0,0.0,35836.0,1954.6909,,1892.6182,0.0,59.0,3.2182,13.0,0.7091,13.0,0.0,0.0,40264,27768.0,1514.6182,,34485.0,0.40586,,445.0,60.0,42.0,18.0,27.5455,17613.0,19699.0,280.0,13597.0,16663.0,250.0,4016.0,3036.0,30.0,6.0,7.0,0.0,0.0,0.0,6.0,30776.0,31556.0,447.0,20106.0,24380.0,382.0,10670.0,7176.0,65.0,12.0,16.0,0.0,0.0,0.0,12.0
3047,TRLH1/1001520261,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520261?gameHash=97fcbbf11e0f4627&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-23 20:53:57,1,6.01,200,Red,team,,Immortals,,Tahm Kench,Graves,Gangplank,,,2335,1,18,13,49,18,13,1.0,0.0,0.0,0.0,1.0,,,,0.4625,0.7966,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,10.0,6.0,1.0,1.0,3.0,0.0,70172.0,1803.1349,,2621.6274,0.0,135.0,3.469,60.0,1.5418,16.0,0.0,0.0,75114,50021.0,1285.3362,,68125.0,0.0474097,,1018.0,155.0,126.0,29.0,30.1413,15096.0,15989.0,268.0,13708.0,15717.0,255.0,1388.0,272.0,13.0,1.0,3.0,0.0,0.0,0.0,1.0,22483.0,26651.0,440.0,23412.0,28114.0,430.0,-929.0,-1463.0,10.0,1.0,3.0,3.0,3.0,3.0,1.0
3311,TRLH1/1001510217,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001510217?gameHash=2ff30f937b0fc345&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-24 20:47:05,1,6.01,200,Red,team,,Immortals,,Tahm Kench,Graves,Gangplank,,,2022,1,16,5,42,16,5,5.0,0.0,0.0,0.0,1.0,,,,0.4748,0.6231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,9.0,4.0,0.0,0.0,2.0,0.0,69896.0,2074.0653,,2467.2997,0.0,125.0,3.7092,36.0,1.0682,23.0,0.0,0.0,65051,43151.0,1280.4451,,57950.0,0.174484,,812.0,151.0,116.0,35.0,28.5757,15608.0,17326.0,258.0,15180.0,16853.0,268.0,428.0,473.0,-10.0,2.0,5.0,1.0,1.0,3.0,2.0,23033.0,26605.0,401.0,23649.0,26646.0,428.0,-616.0,-41.0,-27.0,4.0,11.0,2.0,2.0,6.0,4.0
4918,TRLH1/1001540061,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001540061?gameHash=f545358375f002eb&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-30 23:49:02,1,6.01,100,Blue,team,,Immortals,,Kalista,Tahm Kench,Lulu,,,1746,1,16,5,33,16,5,3.0,1.0,0.0,0.0,1.0,,,,0.5498,0.7216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,1.0,1.0,2.0,0.0,69777.0,2397.8351,,2399.6564,0.0,99.0,3.4021,30.0,1.0309,13.0,0.0,0.0,57996,38911.0,1337.1478,,47360.0,0.104772,,718.0,161.0,123.0,38.0,30.2062,16641.0,16070.0,245.0,15017.0,15281.0,249.0,1624.0,789.0,-4.0,3.0,6.0,0.0,0.0,0.0,3.0,25428.0,26201.0,412.0,22999.0,25982.0,391.0,2429.0,219.0,21.0,4.0,7.0,3.0,3.0,8.0,4.0
5183,TRLH1/1001540091,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001540091?gameHash=5611a9eaf7dc6b76&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-31 22:48:46,1,6.01,200,Red,team,,Immortals,,Tahm Kench,Lulu,Graves,,,1178,1,13,1,21,13,1,2.0,0.0,0.0,0.0,1.0,,,,0.6621,0.7131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,45179.0,2301.1375,,1556.893,0.0,57.0,2.9032,15.0,0.764,10.0,0.0,0.0,42487,29195.0,1487.0119,,34560.0,0.337702,,538.0,95.0,62.0,33.0,32.2411,16527.0,19028.0,290.0,13327.0,17027.0,239.0,3200.0,2001.0,51.0,4.0,3.0,0.0,0.0,0.0,4.0,27872.0,31177.0,490.0,20994.0,25983.0,383.0,6878.0,5194.0,107.0,4.0,3.0,0.0,0.0,0.0,4.0
6635,TRLH1/1001560037,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001560037?gameHash=d4d1fd94568047ab&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-06 21:36:53,1,6.02,200,Red,team,,Immortals,,Corki,Poppy,Lulu,,,1944,1,18,8,49,18,8,5.0,0.0,0.0,0.0,1.0,,,,0.5556,0.8025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,4.0,1.0,0.0,2.0,0.0,77817.0,2401.7593,,2968.2716,0.0,117.0,3.6111,51.0,1.5741,17.0,0.0,0.0,68110,47005.0,1450.7716,,54410.0,0.0920888,,786.0,182.0,118.0,64.0,29.8765,17167.0,18426.0,275.0,15723.0,17348.0,260.0,1444.0,1078.0,15.0,2.0,6.0,1.0,1.0,2.0,2.0,26258.0,29561.0,423.0,25957.0,28657.0,406.0,301.0,904.0,17.0,6.0,11.0,6.0,6.0,18.0,6.0
6766,TRLH1/1001550076,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550076?gameHash=cf9db9879048478a&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-07 19:52:27,1,6.02,100,Blue,team,,Immortals,,Poppy,Nidalee,Graves,,,1700,1,14,5,41,14,5,1.0,0.0,0.0,0.0,1.0,,,,0.4941,0.6706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,9.0,3.0,1.0,1.0,1.0,0.0,70649.0,2493.4941,,2884.4471,0.0,95.0,3.3529,53.0,1.8706,13.0,0.0,0.0,57191,38575.0,1361.4706,,53485.0,0.276926,,672.0,147.0,93.0,54.0,28.9059,14147.0,18419.0,265.0,13668.0,17345.0,273.0,479.0,1074.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,24115.0,30799.0,445.0,21741.0,26523.0,429.0,2374.0,4276.0,16.0,2.0,2.0,1.0,1.0,1.0,2.0
7822,TRLH1/1001550189,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550189?gameHash=62285d98f8bc13cf&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-13 23:48:20,1,6.02,100,Blue,team,,Immortals,,Poppy,Corki,Graves,,,1591,1,15,7,32,15,7,0.0,0.0,0.0,0.0,1.0,,,,0.5657,0.8297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,2.0,1.0,1.0,2.0,0.0,43367.0,1635.462,,2566.6122,0.0,101.0,3.8089,34.0,1.2822,18.0,0.0,0.0,57413,39909.0,1505.0534,,49360.0,0.271122,,690.0,125.0,89.0,36.0,30.7354,15218.0,18246.0,258.0,14313.0,18037.0,276.0,905.0,209.0,-18.0,2.0,4.0,1.0,1.0,1.0,2.0,24317.0,29573.0,424.0,22232.0,28407.0,429.0,2085.0,1166.0,-5.0,5.0,9.0,4.0,4.0,4.0,5.0
7978,TRLH1/1001550227,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550227?gameHash=e8cdc75bbd7de4f8&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-14 21:54:26,1,6.02,100,Blue,team,,Immortals,,Poppy,Corki,Gangplank,,,1782,1,28,16,58,28,16,3.0,1.0,0.0,0.0,1.0,,,,0.9428,1.4815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,1.0,1.0,1.0,3.0,0.0,95785.0,3225.0842,,3070.9428,0.0,96.0,3.2323,40.0,1.3468,14.0,0.0,0.0,65078,45626.0,1536.229,,59910.0,0.276,,705.0,152.0,101.0,51.0,28.8552,17020.0,17868.0,263.0,15036.0,17206.0,226.0,1984.0,662.0,37.0,6.0,7.0,5.0,5.0,4.0,6.0,26511.0,28945.0,441.0,22790.0,26843.0,385.0,3721.0,2102.0,56.0,8.0,11.0,7.0,7.0,6.0,8.0
