,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1127,TRLH1/1001520109,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520109?gameHash=0ce3cff3ee930c35&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-16 23:23:26,1,6.01,200,Red,team,,Team Liquid,,Ryze,Lulu,Thresh,,,3679,0,12,18,35,12,18,3.0,2.0,0.0,0.0,0.0,,,,0.1957,0.4893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,6.0,10.0,0.0,0.0,1.0,5.0,159669.0,2604.0065,,2399.0378,0.0,214.0,3.4901,93.0,1.5167,33.0,0.0,0.0,99406,60604.0,988.3773,,95000.0,-0.0467746,,1469.0,236.0,212.0,24.0,27.8065,14907.0,15694.0,249.0,15971.0,15892.0,258.0,-1064.0,-198.0,-9.0,0.0,0.0,1.0,1.0,3.0,0.0,21968.0,25516.0,416.0,23200.0,25598.0,425.0,-1232.0,-82.0,-9.0,0.0,0.0,1.0,1.0,3.0,0.0
1487,TRLH1/1001510125,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001510125?gameHash=f7059f7939cf2287&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-17 21:58:19,1,6.01,200,Red,team,,Team Liquid,,Ryze,Lulu,Gangplank,,,2609,0,17,12,53,17,12,1.0,0.0,0.0,0.0,1.0,,,,0.391,0.6669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,106632.0,2452.2499,,3390.7934,0.0,164.0,3.7716,56.0,1.2878,27.0,0.0,0.0,77284,49396.0,1135.9755,,77800.0,0.159536,,1033.0,199.0,168.0,31.0,28.3327,16036.0,18851.0,274.0,15285.0,18145.0,290.0,751.0,706.0,-16.0,3.0,6.0,0.0,0.0,0.0,3.0,24371.0,28507.0,453.0,25399.0,29271.0,464.0,-1028.0,-764.0,-11.0,3.0,6.0,3.0,3.0,8.0,3.0
3058,TRLH1/1001520271,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520271?gameHash=33bf9fbb8b079c41&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-23 21:59:36,1,6.01,100,Blue,team,,Team Liquid,,Poppy,Lissandra,Gangplank,,,1910,0,7,15,17,7,15,1.0,0.0,0.0,0.0,1.0,,,,0.2199,0.6911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,3.0,44404.0,1394.8901,,2578.2723,0.0,99.0,3.1099,41.0,1.288,22.0,0.0,0.0,49548,28790.0,904.3979,,47275.0,-0.104736,,749.0,131.0,117.0,14.0,27.644,14163.0,16248.0,245.0,14482.0,14980.0,262.0,-319.0,1268.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,23759.0,27277.0,387.0,24164.0,25403.0,435.0,-405.0,1874.0,-48.0,5.0,13.0,2.0,2.0,5.0,5.0
3335,TRLH1/1001510247,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001510247?gameHash=b7c411103db1e3c2&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-24 22:44:35,1,6.01,200,Red,team,,Team Liquid,,Poppy,Gangplank,Ryze,,,2900,1,10,14,30,10,14,1.0,0.0,0.0,0.0,0.0,,,,0.2069,0.4966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,8.0,9.0,0.0,0.0,1.0,5.0,107972.0,2233.9034,,2452.1793,0.0,175.0,3.6207,74.0,1.531,27.0,0.0,0.0,83296,52440.0,1084.9655,,77700.0,0.0144538,,1253.0,153.0,141.0,12.0,29.0897,14841.0,14536.0,248.0,16719.0,13972.0,209.0,-1878.0,564.0,39.0,0.0,0.0,3.0,3.0,9.0,0.0,22016.0,24172.0,407.0,26015.0,24783.0,365.0,-3999.0,-611.0,42.0,0.0,0.0,6.0,6.0,15.0,0.0
4894,TRLH1/1001540028,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001540028?gameHash=e18e291a97e20b8d&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-30 21:34:41,1,6.01,100,Blue,team,,Team Liquid,,Fiora,Gangplank,Nidalee,,,2074,1,20,7,65,20,7,4.0,0.0,0.0,0.0,1.0,,,,0.5786,0.7811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,1.0,0.0,100448.0,2905.9209,,2860.0675,0.0,102.0,2.9508,49.0,1.4176,15.0,0.0,0.0,70047,47616.0,1377.5121,,64150.0,0.271802,,862.0,173.0,131.0,42.0,29.9421,16078.0,19372.0,294.0,14679.0,17998.0,270.0,1399.0,1374.0,24.0,3.0,4.0,2.0,2.0,4.0,3.0,24147.0,30497.0,469.0,21634.0,27561.0,430.0,2513.0,2936.0,39.0,3.0,4.0,2.0,2.0,4.0,3.0
5146,TRLH1/1001540069,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001540069?gameHash=10f003b98fed519c&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-31 19:40:26,1,6.01,100,Blue,team,,Team Liquid,,Gangplank,Fiora,Nidalee,,,1821,1,13,15,37,13,15,0.0,0.0,0.0,0.0,1.0,,,,0.4283,0.9226,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,5.0,0.0,0.0,1.0,0.0,64428.0,2122.8336,,2525.0412,0.0,98.0,3.229,50.0,1.6474,17.0,0.0,0.0,59052,39202.0,1291.6639,,51245.0,0.0245938,,782.0,138.0,124.0,14.0,30.313,14540.0,18344.0,278.0,14615.0,18685.0,268.0,-75.0,-341.0,10.0,1.0,0.0,2.0,2.0,4.0,1.0,22505.0,30522.0,463.0,22865.0,31074.0,458.0,-360.0,-552.0,5.0,1.0,0.0,3.0,3.0,5.0,1.0
6610,TRLH1/1001560015,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001560015?gameHash=314d26a7b9fb3223&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-06 19:53:24,1,6.02,100,Blue,team,,Team Liquid,,Elise,Kindred,Fiora,,,1828,1,18,1,50,18,1,4.0,1.0,0.0,0.0,0.0,,,,0.5908,0.6236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,2.0,1.0,1.0,2.0,0.0,54447.0,1787.1007,,2027.4289,0.0,91.0,2.9869,41.0,1.3457,20.0,0.0,0.0,62769,42847.0,1406.3567,,56975.0,0.32172,,677.0,196.0,119.0,77.0,28.6543,17691.0,16362.0,227.0,15338.0,15773.0,248.0,2353.0,589.0,-21.0,4.0,10.0,1.0,1.0,0.0,4.0,28534.0,28654.0,387.0,22348.0,24604.0,400.0,6186.0,4050.0,-13.0,9.0,26.0,1.0,1.0,0.0,9.0
6767,TRLH1/1001550076,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550076?gameHash=cf9db9879048478a&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-07 19:52:27,1,6.02,200,Red,team,,Team Liquid,,Quinn,Gangplank,Fiora,,,1700,0,5,14,14,5,14,0.0,0.0,0.0,0.0,0.0,,,,0.1765,0.6706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,48850.0,1724.1176,,3159.8118,0.0,92.0,3.2471,21.0,0.7412,17.0,0.0,0.0,42775,24159.0,852.6706,,40475.0,-0.276926,,659.0,89.0,82.0,7.0,26.4,13668.0,17345.0,273.0,14147.0,18419.0,265.0,-479.0,-1074.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,21741.0,26523.0,429.0,24115.0,30799.0,445.0,-2374.0,-4276.0,-16.0,1.0,1.0,2.0,2.0,2.0,1.0
7799,TRLH1/1001550174,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550174?gameHash=27174ae09a391837&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-13 21:58:41,1,6.02,200,Red,team,,Team Liquid,,Nidalee,Gangplank,Jhin,,,1742,0,6,15,13,6,15,0.0,0.0,0.0,0.0,0.0,,,,0.2067,0.7233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,50577.0,1742.0321,,3158.473,0.0,96.0,3.3065,30.0,1.0333,18.0,0.0,0.0,45715,26671.0,918.6338,,43225.0,-0.0718189,,658.0,128.0,117.0,11.0,27.0723,15084.0,16193.0,271.0,15487.0,16986.0,265.0,-403.0,-793.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,23904.0,25862.0,427.0,23560.0,26259.0,423.0,344.0,-397.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0
7990,TRLH1/1001550240,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550240?gameHash=c10922412bc3ffeb&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-14 22:51:42,1,6.02,100,Blue,team,,Team Liquid,,Ryze,Braum,Draven,,,1954,1,18,2,45,18,2,3.0,0.0,0.0,0.0,1.0,,,,0.5527,0.6141,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,1.0,0.0,72082.0,2213.3675,,1713.9304,0.0,122.0,3.7462,50.0,1.5353,18.0,0.0,0.0,65367,44160.0,1355.9877,,60625.0,0.244851,,898.0,195.0,118.0,77.0,33.5619,16201.0,18684.0,284.0,14192.0,17519.0,282.0,2009.0,1165.0,2.0,3.0,5.0,0.0,0.0,0.0,3.0,26001.0,29656.0,457.0,21856.0,26489.0,437.0,4145.0,3167.0,20.0,4.0,7.0,0.0,0.0,0.0,4.0
