,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
24994,TRLH3/1001660095,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001660095?gameHash=0eda4e2407d59837&amp;tab=overview,EU LCS,2016,Summer,0,2016-06-02 17:36:19,1,6.1,100,Blue,team,,FC Schalke 04 Esports,,Braum,Swain,Ryze,,,2329,1,16,4,48,16,4,2.0,1.0,0.0,0.0,1.0,,,,0.4122,0.5152,1.0,5.0,0.0,5.0,0.0,2.0,1.0,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,9.0,3.0,0.0,0.0,1.0,0.0,70037.0,1804.3023,,2550.8115,0.0,124.0,3.1945,63.0,1.623,34.0,0.0,0.0,74879,49847.0,1284.1649,,66125.0,0.171593,,1069.0,200.0,148.0,52.0,32.6921,15723.0,16422.0,281.0,14933.0,15720.0,260.0,790.0,702.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,24089.0,28103.0,482.0,22524.0,27069.0,431.0,1565.0,1034.0,51.0,1.0,0.0,1.0,1.0,2.0,1.0
25019,TRLH3/1001660113,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001660113?gameHash=c2f3e183a42920a4&amp;tab=overview,EU LCS,2016,Summer,0,2016-06-02 18:48:22,2,6.1,200,Red,team,,FC Schalke 04 Esports,,Nidalee,Ryze,,,,1529,1,25,2,43,25,2,4.0,0.0,0.0,0.0,1.0,,,,0.981,1.0595,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,11.0,3.0,1.0,1.0,2.0,0.0,66373.0,2604.5651,,2471.4585,0.0,82.0,3.2178,23.0,0.9026,17.0,0.0,0.0,54534,37662.0,1477.9071,,46650.0,0.240096,,680.0,86.0,66.0,20.0,30.0589,15901.0,18444.0,273.0,13805.0,16544.0,288.0,2096.0,1900.0,-15.0,5.0,6.0,0.0,0.0,0.0,5.0,27506.0,30655.0,462.0,20589.0,25724.0,445.0,6917.0,4931.0,17.0,9.0,16.0,0.0,0.0,0.0,9.0
25307,TRLH3/1001660181,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001660181?gameHash=a836c953faa3bc4b&amp;tab=overview,EU LCS,2016,Summer,0,2016-06-03 18:56:59,1,6.1,200,Red,team,,FC Schalke 04 Esports,,Nidalee,Ryze,Lucian,,,1793,0,6,16,14,6,16,0.0,0.0,0.0,0.0,1.0,,,,0.2008,0.7362,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,9.0,1.0,1.0,0.0,1.0,54662.0,1829.1801,,2684.0045,0.0,83.0,2.7775,25.0,0.8366,17.0,0.0,0.0,46702,27137.0,908.0982,,45190.0,-0.133609,,708.0,109.0,92.0,17.0,27.3397,15583.0,14697.0,242.0,15655.0,15341.0,246.0,-72.0,-644.0,-4.0,2.0,3.0,2.0,2.0,3.0,2.0,25027.0,25087.0,406.0,24393.0,25686.0,410.0,634.0,-599.0,-4.0,5.0,11.0,5.0,5.0,12.0,5.0
25318,TRLH3/1001660191,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001660191?gameHash=5d4a270c9ec54f2c&amp;tab=overview,EU LCS,2016,Summer,0,2016-06-03 19:50:42,2,6.1,100,Blue,team,,FC Schalke 04 Esports,,Kindred,Lucian,Braum,,,1994,1,8,2,25,8,2,1.0,0.0,0.0,0.0,1.0,,,,0.2407,0.3009,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,2.0,1.0,1.0,1.0,0.0,61460.0,1849.348,,2172.7282,0.0,112.0,3.3701,55.0,1.655,25.0,0.0,0.0,62198,40583.0,1221.1535,,52345.0,0.0513373,,1001.0,153.0,130.0,23.0,34.7242,16491.0,16460.0,272.0,15211.0,15507.0,265.0,1280.0,953.0,7.0,2.0,4.0,0.0,0.0,0.0,2.0,24649.0,27651.0,481.0,22965.0,25281.0,438.0,1684.0,2370.0,43.0,2.0,4.0,0.0,0.0,0.0,2.0
26999,TRLH3/1001670074,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001670074?gameHash=11df9e8fe3eaeb24&amp;tab=overview,EU LCS,2016,Summer,0,2016-06-09 19:09:57,1,6.11,200,Red,team,,FC Schalke 04 Esports,,Ryze,Vladimir,Nidalee,,,2133,0,10,16,30,10,16,1.0,1.0,0.0,0.0,1.0,,,,0.2813,0.7314,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,0.0,0.0,0.0,1.0,64030.0,1801.1252,,2697.0745,0.0,114.0,3.2068,37.0,1.0408,25.0,0.0,0.0,58671,35638.0,1002.4754,,54335.0,-0.142552,,915.0,143.0,124.0,19.0,29.7609,14180.0,17295.0,268.0,15423.0,20095.0,318.0,-1243.0,-2800.0,-50.0,1.0,3.0,1.0,1.0,1.0,1.0,23228.0,28884.0,460.0,23100.0,31174.0,496.0,128.0,-2290.0,-36.0,2.0,5.0,1.0,1.0,1.0,2.0
27010,TRLH3/1001670080,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001670080?gameHash=9f75e09209febaa5&amp;tab=overview,EU LCS,2016,Summer,0,2016-06-09 20:13:13,2,6.11,100,Blue,team,,FC Schalke 04 Esports,,Braum,Bard,Rek'Sai,,,1873,0,8,20,17,8,20,1.0,0.0,0.0,0.0,0.0,,,,0.2563,0.897,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,10.0,0.0,0.0,0.0,2.0,50650.0,1622.5307,,3195.6647,0.0,102.0,3.2675,25.0,0.8009,21.0,0.0,0.0,50119,29738.0,952.6321,,47633.0,-0.13127,,796.0,125.0,116.0,9.0,29.5035,15240.0,15260.0,277.0,15515.0,15730.0,258.0,-275.0,-470.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,22773.0,25207.0,454.0,25724.0,25919.0,392.0,-2951.0,-712.0,62.0,0.0,0.0,4.0,4.0,11.0,0.0
27322,TRLH3/1001670139,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001670139?gameHash=43a1ccb5ef23b8dd&amp;tab=overview,EU LCS,2016,Summer,0,2016-06-10 18:49:38,1,6.11,100,Blue,team,,FC Schalke 04 Esports,,Bard,Braum,Rek'Sai,,,2143,1,15,2,35,15,2,1.0,1.0,0.0,0.0,1.0,,,,0.42,0.476,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,10.0,3.0,1.0,1.0,2.0,0.0,88069.0,2465.7676,,2043.7797,0.0,118.0,3.3038,46.0,1.2879,22.0,0.0,0.0,66630,43495.0,1217.7788,,59725.0,0.150315,,902.0,135.0,100.0,35.0,29.0341,14819.0,18065.0,284.0,13581.0,17129.0,262.0,1238.0,936.0,22.0,1.0,1.0,0.0,0.0,0.0,1.0,24463.0,29568.0,478.0,21800.0,27263.0,426.0,2663.0,2305.0,52.0,1.0,1.0,0.0,0.0,0.0,1.0
27335,TRLH3/1001670144,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001670144?gameHash=2e09be4467b027c7&amp;tab=overview,EU LCS,2016,Summer,0,2016-06-10 19:53:25,2,6.11,200,Red,team,,FC Schalke 04 Esports,,Bard,Vladimir,Nidalee,,,2739,0,10,13,24,10,13,0.0,0.0,0.0,0.0,1.0,,,,0.2191,0.5038,1.0,2.0,4.0,2.0,3.0,1.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,11.0,1.0,1.0,0.0,4.0,82912.0,1816.2541,,2454.8521,0.0,153.0,3.3516,46.0,1.0077,30.0,0.0,0.0,75243,46029.0,1008.3023,,72910.0,-0.119216,,1262.0,141.0,115.0,26.0,30.7338,14843.0,14678.0,240.0,15754.0,16242.0,284.0,-911.0,-1564.0,-44.0,0.0,0.0,0.0,0.0,0.0,0.0,23800.0,25891.0,421.0,23553.0,26065.0,440.0,247.0,-174.0,-19.0,3.0,7.0,2.0,2.0,2.0,3.0
29159,TRLH3/1001670153,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001670153?gameHash=6a3bbe6107c70a23&amp;tab=overview,EU LCS,2016,Summer,0,2016-06-16 14:52:40,1,6.11,200,Red,team,,FC Schalke 04 Esports,,Karma,Azir,Vladimir,,,2385,0,9,10,29,9,10,1.0,0.0,0.0,0.0,0.0,,,,0.2264,0.478,0.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,10.0,0.0,0.0,0.0,2.0,70161.0,1765.0566,,2794.0377,0.0,128.0,3.2201,49.0,1.2327,26.0,0.0,0.0,62826,37223.0,936.4277,,60025.0,-0.129989,,990.0,149.0,130.0,19.0,28.6541,14938.0,16901.0,278.0,15322.0,17490.0,297.0,-384.0,-589.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,23343.0,25382.0,432.0,24735.0,27163.0,462.0,-1392.0,-1781.0,-30.0,1.0,3.0,1.0,1.0,1.0,1.0
29170,TRLH3/1001670163,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001670163?gameHash=54ba421cc486f845&amp;tab=overview,EU LCS,2016,Summer,0,2016-06-16 16:05:34,2,6.11,100,Blue,team,,FC Schalke 04 Esports,,Karma,Caitlyn,Ryze,,,3197,0,15,18,32,15,18,0.0,0.0,0.0,0.0,0.0,,,,0.2815,0.6193,1.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,6.0,9.0,0.0,1.0,0.0,1.0,137683.0,2583.9787,,3810.3472,0.0,175.0,3.2843,83.0,1.5577,29.0,0.0,0.0,91103,57218.0,1073.8442,,81750.0,-0.110591,,1359.0,184.0,156.0,28.0,28.9584,14945.0,14981.0,250.0,15363.0,16472.0,270.0,-418.0,-1491.0,-20.0,0.0,0.0,1.0,1.0,1.0,0.0,22381.0,25618.0,425.0,24368.0,28269.0,477.0,-1987.0,-2651.0,-52.0,0.0,0.0,2.0,2.0,3.0,0.0
