,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
22390,FRA1TMNT1/1010051,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/FRA1TMNT1/1010051?gameHash=bf4d5f978742a9e4&amp;tab=overview,EU CS,2016,Summer,0,2016-05-20 14:23:45,1,6.1,100,Blue,team,,Misfits Gaming,,Azir,Maokai,Kindred,,,2019,1,16,7,36,16,7,2.0,0.0,0.0,0.0,1.0,,,,0.4755,0.6835,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,3.0,0.0,0.0,1.0,0.0,85286.0,2534.5022,,3127.9941,0.0,114.0,3.3878,45.0,1.3373,23.0,0.0,0.0,65344,43474.0,1291.9465,,55250.0,0.113922,,955.0,157.0,118.0,39.0,33.0461,15000.0,18752.0,320.0,14446.0,18309.0,293.0,554.0,443.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,24321.0,29398.0,502.0,22932.0,29306.0,470.0,1389.0,92.0,32.0,2.0,4.0,0.0,0.0,0.0,2.0
22558,FRA1TMNT1/1020102,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/FRA1TMNT1/1020102?gameHash=6f6915c7bdae5dd0&amp;tab=overview,EU CS,2016,Summer,0,2016-05-21 14:19:14,1,6.1,100,Blue,team,,Misfits Gaming,,Jax,Viktor,Azir,,,1856,1,18,5,40,18,5,4.0,0.0,0.0,0.0,0.0,,,,0.5819,0.7435,1.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,10.0,3.0,1.0,1.0,2.0,0.0,79081.0,2556.4978,,2923.8362,0.0,103.0,3.3297,38.0,1.2284,20.0,0.0,0.0,63567,43360.0,1401.7241,,59225.0,0.242628,,845.0,162.0,120.0,42.0,32.5539,15367.0,17800.0,301.0,14251.0,16297.0,243.0,1116.0,1503.0,58.0,2.0,3.0,2.0,2.0,4.0,2.0,24502.0,29855.0,492.0,21641.0,26685.0,417.0,2861.0,3170.0,75.0,5.0,7.0,2.0,2.0,4.0,5.0
22726,TRNA1/1001150239,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001150239?gameHash=6e66714d650988df&amp;tab=overview,EU CS,2016,Summer,0,2016-05-22 16:16:02,1,6.1,100,Blue,team,,Misfits Gaming,,Viktor,Azir,Kindred,,,2621,0,3,10,5,3,10,0.0,0.0,0.0,0.0,1.0,,,,0.0687,0.2976,0.0,3.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,81937.0,1875.7039,,2542.892,0.0,153.0,3.5025,62.0,1.4193,28.0,0.0,0.0,67379,39369.0,901.2362,,67355.0,-0.0395838,,1024.0,226.0,183.0,43.0,28.615,16192.0,16338.0,241.0,14767.0,15221.0,248.0,1425.0,1117.0,-7.0,2.0,5.0,0.0,0.0,0.0,2.0,23042.0,24761.0,387.0,21980.0,23928.0,388.0,1062.0,833.0,-1.0,2.0,5.0,1.0,1.0,3.0,2.0
23087,TRNA1/1001140343,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001140343?gameHash=fa9215195a0bef1b&amp;tab=overview,EU CS,2016,Summer,0,2016-05-24 15:12:51,1,6.1,200,Red,team,,Misfits Gaming,,Ryze,Gnar,Taric,,,2679,1,12,11,33,12,11,2.0,0.0,0.0,0.0,0.0,,,,0.2688,0.5151,0.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,11.0,5.0,0.0,0.0,3.0,0.0,119845.0,2684.0985,,3777.5812,0.0,138.0,3.0907,57.0,1.2766,20.0,0.0,0.0,86745,58143.0,1302.1948,,79020.0,0.150204,,1154.0,241.0,175.0,66.0,31.243,14720.0,18345.0,311.0,13866.0,18517.0,273.0,854.0,-172.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,23184.0,29763.0,484.0,22172.0,29027.0,414.0,1012.0,736.0,70.0,2.0,4.0,3.0,3.0,7.0,2.0
23327,TRNA1/1001140409,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001140409?gameHash=b7651f3b8921b92f&amp;tab=overview,EU CS,2016,Summer,0,2016-05-25 16:57:42,1,6.1,200,Red,team,,Misfits Gaming,,Ryze,Veigar,Nidalee,,,1973,1,16,5,40,16,5,0.0,0.0,0.0,0.0,1.0,,,,0.4866,0.6386,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,4.0,1.0,0.0,1.0,0.0,60192.0,1830.4714,,2215.9858,0.0,129.0,3.923,40.0,1.2164,30.0,0.0,0.0,63456,42055.0,1278.9154,,57875.0,0.173199,,855.0,156.0,105.0,51.0,30.7451,14640.0,17071.0,276.0,13665.0,17007.0,268.0,975.0,64.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,24282.0,28618.0,453.0,21825.0,27070.0,422.0,2457.0,1548.0,31.0,3.0,3.0,1.0,1.0,2.0,3.0
23710,TRNA1/1001150625,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRNA1/1001150625?gameHash=6515aecf9fce3fb8&amp;tab=overview,EU CS,2016,Summer,0,2016-05-27 11:10:16,1,6.1,100,Blue,team,,Misfits Gaming,,Viktor,Trundle,Nidalee,,,1690,1,19,3,43,19,3,3.0,0.0,0.0,0.0,1.0,,,,0.6746,0.7811,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,1.0,1.0,1.0,0.0,81416.0,2890.5089,,3382.4734,0.0,86.0,3.0533,25.0,0.8876,16.0,0.0,0.0,60230,41716.0,1481.0414,,52365.0,0.292563,,781.0,170.0,98.0,72.0,33.7633,15506.0,19205.0,294.0,14081.0,17933.0,270.0,1425.0,1272.0,24.0,2.0,2.0,1.0,1.0,2.0,2.0,25579.0,31754.0,487.0,21132.0,26979.0,418.0,4447.0,4775.0,69.0,5.0,6.0,2.0,2.0,5.0,5.0
23747,TRNA1/1001150626,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRNA1/1001150626?gameHash=75998b7f46820d01&amp;tab=overview,EU CS,2016,Summer,0,2016-05-27 12:04:51,2,6.1,200,Red,team,,Misfits Gaming,,Ryze,Kindred,Karma,,,1833,0,6,19,15,6,19,0.0,0.0,0.0,0.0,0.0,,,,0.1964,0.8183,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,62337.0,2040.491,,3216.3339,0.0,94.0,3.0769,35.0,1.1457,16.0,0.0,0.0,49069,29096.0,952.4059,,47205.0,-0.156145,,820.0,124.0,113.0,11.0,30.9002,14178.0,18527.0,284.0,15230.0,19338.0,333.0,-1052.0,-811.0,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,21527.0,28062.0,467.0,24900.0,30449.0,506.0,-3373.0,-2387.0,-39.0,0.0,0.0,3.0,3.0,5.0,0.0
23770,TRNA1/1001150627,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRNA1/1001150627?gameHash=795089fb86d91fc7&amp;tab=overview,EU CS,2016,Summer,0,2016-05-27 13:06:53,3,6.1,100,Blue,team,,Misfits Gaming,,Viktor,Nidalee,Kindred,,,1866,1,10,5,20,10,5,0.0,0.0,0.0,0.0,0.0,,,,0.3215,0.4823,1.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,2.0,1.0,1.0,1.0,0.0,52283.0,1681.1254,,2391.254,0.0,110.0,3.537,32.0,1.0289,23.0,0.0,0.0,59764,39455.0,1268.6495,,51000.0,0.110272,,884.0,175.0,125.0,50.0,34.0514,14966.0,16030.0,269.0,14298.0,15934.0,227.0,668.0,96.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,22641.0,25968.0,428.0,22427.0,26584.0,390.0,214.0,-616.0,38.0,2.0,4.0,3.0,3.0,1.0,2.0
23795,TRNA1/1001150630,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRNA1/1001150630?gameHash=c5ca9b6f32c525e9&amp;tab=overview,EU CS,2016,Summer,0,2016-05-27 14:34:46,4,6.1,200,Red,team,,Misfits Gaming,,Ryze,Lucian,Rek'Sai,,,2151,1,11,11,31,11,11,1.0,0.0,0.0,0.0,0.0,,,,0.3068,0.6137,1.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,9.0,5.0,0.0,1.0,1.0,0.0,75418.0,2103.7099,,3106.2204,0.0,130.0,3.6262,37.0,1.0321,31.0,0.0,0.0,68830,45614.0,1272.357,,62535.0,0.102547,,953.0,179.0,142.0,37.0,31.576,15411.0,19100.0,314.0,14989.0,18338.0,276.0,422.0,762.0,38.0,1.0,1.0,2.0,2.0,3.0,1.0,25236.0,29893.0,506.0,23702.0,28831.0,443.0,1534.0,1062.0,63.0,2.0,3.0,3.0,3.0,5.0,2.0
26410,TRNA1/1001141039,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001141039?gameHash=13d7efb817826258&amp;tab=overview,EU CS,2016,Summer,0,2016-06-07 17:34:11,1,6.1,100,Blue,team,,Misfits Gaming,,Ryze,Swain,Lucian,,,1707,1,22,11,38,22,11,4.0,0.0,0.0,0.0,0.0,,,,0.7733,1.1599,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,2.0,0.0,92428.0,3248.7873,,2862.0738,0.0,87.0,3.058,23.0,0.8084,12.0,0.0,0.0,59809,41122.0,1445.413,,51425.0,0.215401,,751.0,136.0,97.0,39.0,31.1775,14604.0,18494.0,304.0,13987.0,17502.0,258.0,617.0,992.0,46.0,0.0,0.0,1.0,1.0,1.0,0.0,25082.0,31590.0,480.0,23111.0,27157.0,395.0,1971.0,4433.0,85.0,7.0,12.0,5.0,5.0,8.0,7.0
