,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
958,ESPORTSTMNT06/30432,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30432?gameHash=032ec6732c142a08&amp;tab=overview,LCK,2017,Spring,0,2017-01-19 07:29:37,1,7.01,100,Blue,team,,Afreeca Freecs,,Kha'Zix,Zyra,Jayce,Karma,Lee Sin,1827,1,13,4,24,13,4,2.0,0.0,0.0,0.0,1.0,,,,0.4269,0.5583,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,10.0,1.0,1.0,1.0,2.0,0.0,54928,1803.8752,,2361.2479,0.0,108,3.5468,38,1.2479,32,0.0,0.0,63266,43355,1423.8095,,55960.0,0.219094,,855,177,94,83,33.8916,15486.0,19611.0,322.0,13649.0,16801.0,275.0,1837.0,2810.0,47.0,1.0,1.0,0.0,0.0,0.0,1.0,25320.0,31107.0,528.0,20997.0,27555.0,455.0,4323.0,3552.0,73.0,2.0,3.0,0.0,0.0,0.0,2.0
983,ESPORTSTMNT06/30435,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30435?gameHash=4b0041ec6b0729f6&amp;tab=overview,LCK,2017,Spring,0,2017-01-19 08:41:22,2,7.01,200,Red,team,,Afreeca Freecs,,Camille,Rengar,LeBlanc,Kha'Zix,Lee Sin,2532,0,4,14,4,4,14,0.0,0.0,0.0,0.0,0.0,,,,0.0948,0.4265,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,11.0,1.0,0.0,0.0,3.0,91371,2165.1896,,2980.9242,0.0,190,4.5024,60,1.4218,51,0.0,0.0,70371,43269,1025.3318,,69950.0,-0.105299,,1267,236,132,104,35.6161,14498.0,17990.0,295.0,15680.0,19425.0,298.0,-1182.0,-1435.0,-3.0,0.0,0.0,3.0,3.0,2.0,0.0,22562.0,29007.0,488.0,23829.0,31255.0,512.0,-1267.0,-2248.0,-24.0,0.0,0.0,3.0,3.0,2.0,0.0
1018,ESPORTSTMNT06/30437,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30437?gameHash=fd3d3d96fcc139f5&amp;tab=overview,LCK,2017,Spring,0,2017-01-19 09:49:10,3,7.01,100,Blue,team,,Afreeca Freecs,,Kha'Zix,Zyra,Jayce,Elise,Karma,2116,1,16,7,39,16,7,3.0,0.0,0.0,0.0,0.0,,,,0.4537,0.6522,1.0,4.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,2.0,1.0,1.0,2.0,0.0,61906,1755.3686,,2059.7921,0.0,143,4.0548,60,1.7013,39,0.0,0.0,69071,46212,1310.3592,,61405.0,0.0510208,,1013,169,103,66,33.5161,15399.0,18951.0,283.0,15609.0,18802.0,308.0,-210.0,149.0,-25.0,3.0,3.0,2.0,2.0,3.0,3.0,23089.0,29713.0,466.0,24894.0,30867.0,515.0,-1805.0,-1154.0,-49.0,4.0,4.0,4.0,4.0,6.0,4.0
2279,ESPORTSTMNT06/20747,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20747?gameHash=f23ff88287133b62&amp;tab=overview,LCK,2017,Spring,0,2017-01-22 07:45:19,1,7.01,200,Red,team,,Afreeca Freecs,,LeBlanc,Rengar,Camille,Jhin,Ashe,2108,0,14,17,33,14,17,0.0,0.0,0.0,0.0,0.0,,,,0.3985,0.8824,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,81728,2326.2239,,3077.1347,0.0,144,4.0987,42,1.1954,37,0.0,0.0,58767,35989,1024.3548,,55700.0,-0.113591,,922,164,105,59,30.9108,14944.0,19074.0,318.0,15347.0,19667.0,319.0,-403.0,-593.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,23159.0,30504.0,516.0,24406.0,32460.0,523.0,-1247.0,-1956.0,-7.0,1.0,3.0,3.0,3.0,4.0,1.0
2314,ESPORTSTMNT06/20750,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20750?gameHash=cfe2b5d3cff7ea80&amp;tab=overview,LCK,2017,Spring,0,2017-01-22 08:44:05,2,7.01,100,Blue,team,,Afreeca Freecs,,Rek'Sai,Kha'Zix,Zyra,Sion,Corki,2325,1,14,2,40,14,2,2.0,0.0,0.0,0.0,1.0,,,,0.3613,0.4129,1.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,2.0,0.0,75532,1949.2129,,2944.2065,0.0,156,4.0258,72,1.8581,43,0.0,0.0,74120,49129,1267.8452,,67900.0,0.145848,,1101,219,124,95,34.0645,14544.0,17985.0,314.0,14380.0,18613.0,298.0,164.0,-628.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,23497.0,31294.0,518.0,22241.0,29297.0,478.0,1256.0,1997.0,40.0,2.0,3.0,1.0,1.0,2.0,2.0
2327,ESPORTSTMNT06/20754,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20754?gameHash=72f6a6aab69bf89a&amp;tab=overview,LCK,2017,Spring,0,2017-01-22 09:43:09,3,7.01,200,Red,team,,Afreeca Freecs,,LeBlanc,Rengar,Rek'Sai,Corki,Miss Fortune,1983,0,6,13,11,6,13,2.0,0.0,0.0,0.0,0.0,,,,0.1815,0.5749,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,10.0,0.0,0.0,0.0,2.0,44702,1352.5567,,2643.9032,0.0,153,4.6293,34,1.0287,44,0.0,0.0,52516,31013,938.3661,,50053.0,-0.15432,,812,195,114,81,30.469,13936.0,18164.0,286.0,15574.0,18813.0,290.0,-1638.0,-649.0,-4.0,0.0,0.0,2.0,2.0,2.0,0.0,22674.0,29767.0,470.0,24769.0,28786.0,460.0,-2095.0,981.0,10.0,1.0,1.0,2.0,2.0,2.0,1.0
4679,ESPORTSTMNT06/31046,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/31046?gameHash=4539714bbb1d9508&amp;tab=overview,LCK,2017,Spring,0,2017-02-02 10:39:40,1,7.01,200,Red,team,,Afreeca Freecs,,LeBlanc,Rengar,Camille,Syndra,Elise,2082,0,4,8,6,4,8,0.0,0.0,0.0,0.0,1.0,,,,0.1153,0.3458,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,54474,1569.8559,,2568.5303,0.0,129,3.7176,48,1.3833,31,0.0,0.0,52639,30127,868.2133,,51035.0,-0.184373,,990,140,72,68,32.5648,14537.0,17965.0,271.0,15367.0,19145.0,301.0,-830.0,-1180.0,-30.0,2.0,2.0,2.0,2.0,3.0,2.0,22050.0,28606.0,458.0,25680.0,30571.0,480.0,-3630.0,-1965.0,-22.0,2.0,2.0,4.0,4.0,7.0,2.0
4690,ESPORTSTMNT06/31051,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/31051?gameHash=925dd8a52e4e07f6&amp;tab=overview,LCK,2017,Spring,0,2017-02-02 11:46:19,2,7.01,100,Blue,team,,Afreeca Freecs,,Kha'Zix,Miss Fortune,Zyra,Syndra,Elise,2450,1,18,6,48,18,6,1.0,0.0,0.0,0.0,0.0,,,,0.4408,0.5878,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,3.0,1.0,1.0,1.0,0.0,66400,1626.1224,,2911.7143,0.0,161,3.9429,70,1.7143,39,0.0,0.0,79349,53083,1299.9918,,70035.0,0.0867816,,1199,220,125,95,34.751,14958.0,19120.0,302.0,14813.0,17601.0,295.0,145.0,1519.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,24138.0,31410.0,506.0,22972.0,29171.0,491.0,1166.0,2239.0,15.0,4.0,6.0,2.0,2.0,3.0,4.0
4703,ESPORTSTMNT06/31053,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/31053?gameHash=ec6844ddbbc39592&amp;tab=overview,LCK,2017,Spring,0,2017-02-02 12:52:15,3,7.01,200,Red,team,,Afreeca Freecs,,LeBlanc,Rengar,Camille,Syndra,Jayce,1932,0,7,18,14,7,18,0.0,0.0,0.0,0.0,0.0,,,,0.2174,0.7764,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,3.0,52113,1618.4161,,3278.0124,0.0,113,3.5093,43,1.3354,32,0.0,0.0,49316,28334,879.9379,,47545.0,-0.17219,,847,102,73,29,29.472,15259.0,17503.0,272.0,15983.0,17286.0,272.0,-724.0,217.0,0.0,3.0,5.0,2.0,2.0,3.0,3.0,22987.0,28261.0,465.0,23657.0,28067.0,466.0,-670.0,194.0,-1.0,3.0,5.0,2.0,2.0,3.0,3.0
5242,ESPORTSTMNT06/21351,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21351?gameHash=4dcf6597f797a001&amp;tab=overview,LCK,2017,Spring,0,2017-02-04 10:52:43,1,7.01,100,Blue,team,,Afreeca Freecs,,Kha'Zix,Jhin,Malzahar,Maokai,Syndra,3788,0,18,20,40,18,20,2.0,1.0,0.0,0.0,0.0,,,,0.2851,0.6019,0.0,5.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,9.0,1.0,1.0,3.0,1.0,117960,1868.4266,,2548.4002,0.0,228,3.6114,99,1.5681,52,0.0,0.0,113271,73357,1161.9377,,105545.0,-0.0374675,,1611,341,185,156,30.9187,14913.0,19634.0,339.0,15292.0,18612.0,311.0,-379.0,1022.0,28.0,0.0,0.0,1.0,1.0,2.0,0.0,22343.0,29750.0,510.0,26153.0,31138.0,511.0,-3810.0,-1388.0,-1.0,1.0,2.0,5.0,5.0,8.0,1.0
