,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
563,ESPORTSTMNT06/30267,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30267?gameHash=5cf0893182b9e113&amp;tab=overview,LCK,2017,Spring,0,2017-01-17 07:10:23,1,7.01,200,Red,team,,KT Rolster,,LeBlanc,Camille,Zyra,Rek'Sai,Kha'Zix,2788,1,12,13,28,12,13,2.0,2.0,0.0,0.0,0.0,,,,0.2582,0.538,1.0,4.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,11.0,4.0,1.0,1.0,3.0,0.0,112397,2418.8737,,2866.4849,0.0,187,4.0244,62,1.3343,40,0.0,0.0,88307,58593,1260.9684,,88668.0,0.148642,,1228,233,122,111,31.4419,14759.0,18332.0,301.0,14330.0,17904.0,305.0,429.0,428.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,22497.0,29103.0,492.0,22533.0,29445.0,497.0,-36.0,-342.0,-5.0,0.0,0.0,1.0,1.0,1.0,0.0
598,ESPORTSTMNT06/30279,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30279?gameHash=2cbf09c183061635&amp;tab=overview,LCK,2017,Spring,0,2017-01-17 09:01:25,2,7.01,100,Blue,team,,KT Rolster,,Maokai,Malzahar,Elise,Zyra,Karma,2641,1,16,12,37,16,12,1.0,0.0,0.0,0.0,0.0,,,,0.3635,0.6361,1.0,3.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,10.0,2.0,0.0,1.0,3.0,0.0,92954,2111.791,,2820.6134,0.0,187,4.2484,70,1.5903,48,0.0,0.0,86916,58702,1333.6312,,80245.0,0.0949646,,1272,285,139,146,35.373,15474.0,18636.0,306.0,14919.0,18522.0,294.0,555.0,114.0,12.0,3.0,5.0,1.0,1.0,1.0,3.0,24805.0,29722.0,505.0,23666.0,29052.0,452.0,1139.0,670.0,53.0,4.0,6.0,3.0,3.0,5.0,4.0
1715,ESPORTSTMNT06/30585,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30585?gameHash=a5da4fb99bd6ac7d&amp;tab=overview,LCK,2017,Spring,0,2017-01-21 07:45:43,1,7.01,200,Red,team,,KT Rolster,,LeBlanc,Taliyah,Camille,Ashe,Ziggs,1877,1,9,2,19,9,2,1.0,0.0,0.0,0.0,1.0,,,,0.2877,0.3516,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,1.0,1.0,2.0,0.0,55761,1782.4507,,2140.4049,0.0,108,3.4523,56,1.7901,34,0.0,0.0,60509,40088,1281.4491,,51325.0,0.115078,,980,156,103,53,36.3133,15319.0,19369.0,333.0,15161.0,19036.0,338.0,158.0,333.0,-5.0,1.0,0.0,0.0,0.0,0.0,1.0,23475.0,31133.0,530.0,23432.0,31055.0,551.0,43.0,78.0,-21.0,2.0,1.0,0.0,0.0,0.0,2.0
1750,ESPORTSTMNT06/30592,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30592?gameHash=8e8c7ba375751744&amp;tab=overview,LCK,2017,Spring,0,2017-01-21 08:44:45,2,7.01,100,Blue,team,,KT Rolster,,Taliyah,Cassiopeia,Zyra,Maokai,Elise,1762,1,5,1,10,5,1,0.0,0.0,0.0,0.0,1.0,,,,0.1703,0.2043,1.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0,1.0,0.0,47502,1617.5482,,1848.1498,0.0,101,3.4393,47,1.6005,28,0.0,0.0,54253,35005,1191.9977,,45275.0,0.100684,,871,203,98,105,36.5721,15086.0,19640.0,320.0,14056.0,17356.0,299.0,1030.0,2284.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,24027.0,30814.0,518.0,21946.0,28859.0,499.0,2081.0,1955.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2963,ESPORTSTMNT06/30826,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30826?gameHash=d88465e4e29896da&amp;tab=overview,LCK,2017,Spring,0,2017-01-25 07:19:46,1,7.01,200,Red,team,,KT Rolster,,LeBlanc,Rengar,Camille,Taliyah,Maokai,2236,1,16,9,37,16,9,1.0,0.0,0.0,0.0,0.0,,,,0.4293,0.6708,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,7.0,0.0,0.0,2.0,1.0,66621,1787.6834,,2239.9106,0.0,142,3.8104,52,1.3953,34,0.0,0.0,69063,44980,1206.9767,,62295.0,-0.00620909,,983,172,104,68,30.9928,14916.0,17792.0,272.0,15042.0,17535.0,253.0,-126.0,257.0,19.0,2.0,3.0,3.0,3.0,3.0,2.0,23116.0,27565.0,438.0,25498.0,29987.0,459.0,-2382.0,-2422.0,-21.0,3.0,4.0,5.0,5.0,5.0,3.0
2974,ESPORTSTMNT06/30837,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30837?gameHash=f758db5b80a284eb&amp;tab=overview,LCK,2017,Spring,0,2017-01-25 08:49:45,2,7.01,100,Blue,team,,KT Rolster,,Taliyah,Miss Fortune,Zyra,Ashe,Jhin,2174,1,26,9,39,26,9,2.0,0.0,0.0,0.0,1.0,,,,0.7176,0.9384,0.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,8.0,4.0,1.0,1.0,1.0,0.0,89803,2478.4637,,2984.3238,0.0,125,3.4499,56,1.5455,33,0.0,0.0,72529,49078,1354.4986,,67900.0,0.159412,,987,153,70,83,31.4627,15787.0,19738.0,324.0,14386.0,18449.0,293.0,1401.0,1289.0,31.0,2.0,1.0,0.0,0.0,0.0,2.0,26584.0,31843.0,484.0,21905.0,28282.0,471.0,4679.0,3561.0,13.0,6.0,6.0,0.0,0.0,0.0,6.0
4678,ESPORTSTMNT06/31046,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/31046?gameHash=4539714bbb1d9508&amp;tab=overview,LCK,2017,Spring,0,2017-02-02 10:39:40,1,7.01,100,Blue,team,,KT Rolster,,Maokai,Varus,Kennen,Cassiopeia,Nautilus,2082,1,8,4,13,8,4,0.0,0.0,0.0,0.0,0.0,,,,0.2305,0.3458,0.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,3.0,0.0,65899,1899.1066,,2090.8646,0.0,141,4.0634,47,1.3545,36,0.0,0.0,66715,44203,1273.8617,,61400.0,0.184373,,1005,182,78,104,34.2075,15367.0,19145.0,301.0,14537.0,17965.0,271.0,830.0,1180.0,30.0,2.0,3.0,2.0,2.0,2.0,2.0,25680.0,30571.0,480.0,22050.0,28606.0,458.0,3630.0,1965.0,22.0,4.0,7.0,2.0,2.0,2.0,4.0
4691,ESPORTSTMNT06/31051,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/31051?gameHash=925dd8a52e4e07f6&amp;tab=overview,LCK,2017,Spring,0,2017-02-02 11:46:19,2,7.01,200,Red,team,,KT Rolster,,LeBlanc,Rengar,Camille,Maokai,Rumble,2450,0,6,18,8,6,18,0.0,0.0,0.0,0.0,1.0,,,,0.1469,0.5878,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,85677,2098.2122,,2224.0408,0.0,173,4.2367,63,1.5429,42,0.0,0.0,66467,40201,984.5143,,64210.0,-0.0867816,,1157,210,132,78,33.4776,14813.0,17601.0,295.0,14958.0,19120.0,302.0,-145.0,-1519.0,-7.0,1.0,1.0,1.0,1.0,1.0,1.0,22972.0,29171.0,491.0,24138.0,31410.0,506.0,-1166.0,-2239.0,-15.0,2.0,3.0,4.0,4.0,6.0,2.0
4702,ESPORTSTMNT06/31053,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/31053?gameHash=ec6844ddbbc39592&amp;tab=overview,LCK,2017,Spring,0,2017-02-02 12:52:15,3,7.01,100,Blue,team,,KT Rolster,,Olaf,Kennen,Orianna,Cassiopeia,Taliyah,1932,1,18,7,42,18,7,1.0,0.0,0.0,0.0,1.0,,,,0.559,0.7764,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,11.0,1.0,1.0,1.0,3.0,0.0,86619,2690.0311,,2635.0311,0.0,109,3.3851,41,1.2733,28,0.0,0.0,62279,41297,1282.5155,,56503.0,0.17219,,773,123,70,53,27.8261,15983.0,17286.0,272.0,15259.0,17503.0,272.0,724.0,-217.0,0.0,2.0,3.0,3.0,3.0,5.0,2.0,23657.0,28067.0,466.0,22987.0,28261.0,465.0,670.0,-194.0,1.0,2.0,3.0,3.0,3.0,5.0,2.0
6670,ESPORTSTMNT06/40126,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40126?gameHash=fff9913c8be5e3fd&amp;tab=overview,LCK,2017,Spring,0,2017-02-08 10:46:44,1,7.02,100,Blue,team,,KT Rolster,,Malzahar,Lee Sin,Varus,Cassiopeia,Taliyah,2656,1,16,8,32,16,8,2.0,1.0,0.0,0.0,1.0,,,,0.3614,0.5422,1.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,11.0,3.0,1.0,1.0,5.0,0.0,102191,2308.5316,,2757.9669,0.0,165,3.7274,77,1.7395,43,0.0,0.0,86316,57949,1309.0889,,80720.0,0.136467,,1247,217,105,112,33.0723,14993.0,17792.0,300.0,14854.0,18208.0,296.0,139.0,-416.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,25003.0,29236.0,493.0,22854.0,27829.0,474.0,2149.0,1407.0,19.0,3.0,2.0,1.0,1.0,1.0,3.0
