,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
514,ESPORTSTMNT06/550331,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550331?gameHash=e3e9539ecaa3c32c&amp;tab=overview,LCK,2018,Spring,0,2018-01-17 07:24:00,1,8.01,100,Blue,team,,Afreeca Freecs,,Shen,Sejuani,Ryze,Zoe,Varus,2783,1,11,4,26,11,4,1.0,0.0,0.0,0.0,0.0,,,,0.2372,0.3234,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,9.0,3.0,1.0,1.0,1.0,0.0,75662,1631.2325,,2885.4114,3665.6486,308,6.6403,132,2.8458,92,569.0,12.2673,95879,66114,1425.3827,,89600.0,0.108136,,1627.0,307,211,19,41.696,15891.0,20075.0,373.0,15576.0,19464.0,335.0,315.0,611.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,24396.0,31690.0,606.0,24724.0,31737.0,559.0,-328.0,-47.0,47.0,0.0,0.0,1.0,1.0,1.0,0.0
539,ESPORTSTMNT06/550351,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550351?gameHash=dd9a8dfd6091a220&amp;tab=overview,LCK,2018,Spring,0,2018-01-17 09:45:35,2,8.01,200,Red,team,,Afreeca Freecs,,Kalista,Ezreal,Sejuani,Malzahar,Rengar,2385,0,7,9,14,7,9,1.0,0.0,0.0,0.0,0.0,,,,0.1761,0.4025,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,9.0,0.0,0.0,0.0,1.0,72900,1833.9623,,2642.5912,2480.8302,216,5.434,104,2.6164,63,384.0,9.6604,71547,45842,1153.2579,,67350.0,-0.0329018,,1361.0,214,180,0,39.6226,15535.0,18158.0,325.0,15469.0,18088.0,329.0,66.0,70.0,-4.0,2.0,4.0,1.0,1.0,2.0,2.0,24434.0,30119.0,574.0,24069.0,30162.0,562.0,365.0,-43.0,12.0,2.0,4.0,1.0,1.0,2.0,2.0
562,ESPORTSTMNT06/550356,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550356?gameHash=359805cb9574ce85&amp;tab=overview,LCK,2018,Spring,0,2018-01-17 10:51:47,3,8.01,100,Blue,team,,Afreeca Freecs,,Ryze,Kog'Maw,Braum,Tristana,Azir,2250,1,13,4,36,13,4,1.0,0.0,0.0,0.0,0.0,,,,0.3467,0.4533,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,11.0,5.0,1.0,1.0,4.0,1.0,57080,1522.1333,,2364.8533,3171.04,161,4.2933,103,2.7467,53,353.0,9.4133,76266,51938,1385.0133,,69453.0,0.0302552,,1103.0,237,169,13,35.7333,15087.0,19398.0,318.0,16384.0,19207.0,356.0,-1297.0,191.0,-38.0,0.0,0.0,1.0,1.0,1.0,0.0,23898.0,31141.0,531.0,24689.0,30530.0,577.0,-791.0,611.0,-46.0,1.0,1.0,1.0,1.0,1.0,1.0
2338,ESPORTSTMNT06/550765,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550765?gameHash=924b3f94daf2db95&amp;tab=overview,LCK,2018,Spring,0,2018-01-23 07:48:37,1,8.01,100,Blue,team,,Afreeca Freecs,,Nidalee,Ornn,Sejuani,Tahm Kench,Kog'Maw,2242,0,2,8,5,2,8,0.0,0.0,0.0,0.0,1.0,,,,0.0535,0.2676,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,4.0,51765,1385.3256,,2409.1793,3064.603,211,5.6467,113,3.0241,55,401.0,10.7315,61726,37480,1003.033,,60250.0,-0.197659,,1175.0,207,157,4,36.9848,15283.0,19420.0,327.0,16156.0,19820.0,391.0,-873.0,-400.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,23743.0,31659.0,549.0,25923.0,31926.0,633.0,-2180.0,-267.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0
2351,ESPORTSTMNT06/550768,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550768?gameHash=ad0339bf055a5859&amp;tab=overview,LCK,2018,Spring,0,2018-01-23 08:47:46,2,8.01,200,Red,team,,Afreeca Freecs,,Ezreal,Sejuani,Kog'Maw,Tristana,Xayah,2205,0,6,14,14,6,14,1.0,0.0,0.0,0.0,0.0,,,,0.1633,0.5442,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,4.0,53977,1468.7619,,2505.3061,2657.3605,223,6.068,109,2.966,65,358.0,9.7415,59640,35771,973.3605,,58500.0,-0.174585,,1146.0,125,112,0,34.585,14471.0,17803.0,300.0,15432.0,18884.0,365.0,-961.0,-1081.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,23526.0,29300.0,487.0,27166.0,31451.0,576.0,-3640.0,-2151.0,-89.0,3.0,3.0,6.0,6.0,12.0,3.0
2711,ESPORTSTMNT06/550954,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550954?gameHash=57010e60a533e065&amp;tab=overview,LCK,2018,Spring,0,2018-01-25 11:14:15,1,8.01,200,Red,team,,Afreeca Freecs,,Sejuani,Ryze,Malzahar,Zac,Jarvan IV,2853,1,3,1,4,3,1,0.0,0.0,0.0,0.0,1.0,,,,0.0631,0.0841,0.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,11.0,1.0,1.0,1.0,3.0,0.0,113982,2397.0978,,2348.5174,3042.8812,295,6.204,150,3.1546,52,649.0,13.6488,100802,70323,1478.9274,,98475.0,0.129293,,1753.0,405,239,57,45.3838,16285.0,20387.0,387.0,16250.0,19804.0,360.0,35.0,583.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,25747.0,32851.0,621.0,25170.0,31343.0,586.0,577.0,1508.0,35.0,1.0,2.0,0.0,0.0,0.0,1.0
2746,ESPORTSTMNT06/550969,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550969?gameHash=d19ea6e7c266439a&amp;tab=overview,LCK,2018,Spring,0,2018-01-25 12:57:28,2,8.01,100,Blue,team,,Afreeca Freecs,,Malzahar,Sejuani,Ryze,Zac,Rengar,4298,0,12,15,37,12,15,0.0,0.0,0.0,0.0,1.0,,,,0.1675,0.3769,1.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,3.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,11.0,7.0,1.0,1.0,9.0,1.0,186381,2601.8753,,3146.9148,4784.6161,484,6.7566,140,1.9544,76,914.0,12.7594,147262,102044,1424.5323,,134796.0,-0.0433083,,2112.0,533,286,108,36.9242,16792.0,19846.0,354.0,16058.0,19353.0,387.0,734.0,493.0,-33.0,1.0,2.0,0.0,0.0,0.0,1.0,26442.0,31992.0,568.0,24667.0,31381.0,621.0,1775.0,611.0,-53.0,3.0,9.0,0.0,0.0,0.0,3.0
2807,ESPORTSTMNT06/550970,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550970?gameHash=1f81412942c48dcf&amp;tab=overview,LCK,2018,Spring,0,2018-01-25 14:32:34,3,8.01,200,Red,team,,Afreeca Freecs,,Malzahar,Sejuani,Ryze,Gangplank,Jayce,1787,0,2,6,4,2,6,0.0,0.0,0.0,0.0,1.0,,,,0.0672,0.2686,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,11.0,0.0,0.0,1.0,3.0,27110,910.2406,,2114.2026,2018.0414,147,4.9356,52,1.7459,31,258.0,8.6626,53530,33925,1139.0599,,50250.0,-0.0881723,,1018.0,171,138,0,39.9217,16124.0,19785.0,381.0,15903.0,19853.0,376.0,221.0,-68.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,24625.0,31093.0,604.0,24096.0,31407.0,598.0,529.0,-314.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
3395,ESPORTSTMNT06/551140,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/551140?gameHash=45f2963ece2b12ff&amp;tab=overview,LCK,2018,Spring,0,2018-01-27 10:30:56,1,8.01,200,Red,team,,Afreeca Freecs,,Sejuani,Azir,Kalista,Camille,Taric,2084,1,11,5,33,11,5,0.0,0.0,0.0,0.0,0.0,,,,0.3167,0.4607,1.0,4.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,11.0,1.0,1.0,1.0,3.0,0.0,83886,2415.144,,1863.2821,2043.4261,201,5.7869,85,2.4472,48,396.0,11.4012,74882,52247,1504.2322,,73316.0,0.257509,,1145.0,305,160,53,41.7466,16765.0,20041.0,382.0,15783.0,18592.0,346.0,982.0,1449.0,36.0,1.0,2.0,1.0,1.0,1.0,1.0,26474.0,31804.0,623.0,24110.0,30074.0,553.0,2364.0,1730.0,70.0,1.0,2.0,2.0,2.0,2.0,1.0
3454,ESPORTSTMNT06/551155,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/551155?gameHash=7be6b9b9aebe2307&amp;tab=overview,LCK,2018,Spring,0,2018-01-27 11:49:39,2,8.01,100,Blue,team,,Afreeca Freecs,,Sejuani,Vladimir,Kalista,Camille,Jayce,3210,1,10,6,31,10,6,2.0,0.0,0.0,0.0,0.0,,,,0.1869,0.2991,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0,5.0,0.0,0.0,2.0,0.0,91607,1712.2804,,1532.8037,2385.9439,321,6.0,155,2.8972,70,639.0,11.9439,102331,68211,1274.972,,101183.0,0.0233767,,1713.0,287,203,13,37.3832,15449.0,17844.0,338.0,16513.0,18847.0,356.0,-1064.0,-1003.0,-18.0,0.0,0.0,2.0,2.0,4.0,0.0,25043.0,28428.0,535.0,27106.0,28841.0,545.0,-2063.0,-413.0,-10.0,0.0,0.0,3.0,3.0,6.0,0.0
