,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1751,TRLH1/1002440106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002440106?gameHash=d6441d4ec8f87534,NA LCS,2018,Spring,0,2018-01-21 02:16:56,1,8.01,200,Red,team,,Cloud9,,Ezreal,Kalista,Zoe,Kha'Zix,Jarvan IV,2076,1,12,8,34,12,8,1.0,0.0,0.0,0.0,0.0,,,,0.3468,0.578,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,3.0,0.0,1.0,1.0,0.0,67438,1949.0751,,2356.2717,2387.9769,168,4.8555,70,2.0231,39,338.0,9.7688,66913,44360,1282.0809,,55833.0,-0.0256723,,1059.0,185,123,9,35.9538,15005.0,17855.0,305.0,15890.0,18227.0,326.0,-885.0,-372.0,-21.0,1.0,1.0,2.0,2.0,2.0,1.0,22965.0,29192.0,508.0,25433.0,29505.0,538.0,-2468.0,-313.0,-30.0,1.0,1.0,3.0,3.0,4.0,1.0
2159,TRLH1/1002440150,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002440150?gameHash=74938e8b39d37fbc,NA LCS,2018,Spring,0,2018-01-22 01:00:51,1,8.01,200,Red,team,,Cloud9,,Ezreal,Kalista,Kog'Maw,Braum,Alistar,2297,1,16,9,47,16,9,2.0,0.0,0.0,0.0,0.0,,,,0.4179,0.653,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,2.0,1.0,1.0,2.0,0.0,111526,2913.1737,,3128.6199,2939.2947,177,4.6234,84,2.1942,41,392.0,10.2394,80844,56037,1463.744,,64750.0,0.0520053,,1301.0,236,156,33,40.148,15580.0,19284.0,361.0,15543.0,18827.0,346.0,37.0,457.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,26460.0,31353.0,544.0,23846.0,28968.0,517.0,2614.0,2385.0,27.0,5.0,10.0,2.0,2.0,3.0,5.0
3790,TRLH1/1002440193,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002440193?gameHash=e6bb75c66e412222,NA LCS,2018,Spring,0,2018-01-28 00:11:30,1,8.01,100,Blue,team,,Cloud9,,Azir,Braum,Ornn,Shen,Zac,2771,0,17,26,41,17,26,0.0,0.0,0.0,0.0,1.0,,,,0.3681,0.9311,1.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,9.0,1.0,1.0,0.0,2.0,124192,2689.1086,,3328.192,3721.5157,245,5.3049,91,1.9704,49,510.0,11.0429,86517,56875,1231.5049,,82375.0,-0.0332468,,1372.0,289,194,24,35.9654,16706.0,19016.0,346.0,15816.0,18069.0,315.0,890.0,947.0,31.0,3.0,5.0,2.0,2.0,6.0,3.0,26661.0,30245.0,558.0,23905.0,29064.0,513.0,2756.0,1181.0,45.0,5.0,10.0,3.0,3.0,7.0,5.0
4246,TRLH1/1002440242,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002440242?gameHash=ed56a97e4ff2ad50&amp;tab=overview,NA LCS,2018,Spring,0,2018-01-28 23:04:25,1,8.01,100,Blue,team,,Cloud9,,Azir,Braum,Zoe,Alistar,Ryze,2440,1,16,7,42,16,7,1.0,0.0,0.0,0.0,1.0,,,,0.3934,0.5656,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,11.0,0.0,1.0,1.0,4.0,0.0,96246,2366.7049,,3012.959,3492.5902,209,5.1393,89,2.1885,38,449.0,11.041,85496,59230,1456.4754,,75758.0,0.178002,,1235.0,314,168,67,38.0902,16686.0,19999.0,364.0,15693.0,18782.0,336.0,993.0,1217.0,28.0,2.0,4.0,1.0,1.0,2.0,2.0,26267.0,31598.0,568.0,24097.0,29291.0,520.0,2170.0,2307.0,48.0,4.0,5.0,3.0,3.0,6.0,4.0
6046,TRLH1/1002450017,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002450017?gameHash=f19ac1e050614691&amp;tab=overview,NA LCS,2018,Spring,0,2018-02-03 22:47:55,1,8.02,100,Blue,team,,Cloud9,,Cassiopeia,Galio,Kog'Maw,Braum,Jayce,2158,1,12,5,33,12,5,0.0,0.0,0.0,0.0,0.0,,,,0.3336,0.4727,1.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,1.0,0.0,72485,2015.3383,,2672.0019,2673.8647,171,4.7544,68,1.8906,40,318.0,8.8415,68733,45343,1260.6951,,59550.0,0.139009,,1117.0,220,137,25,37.1733,15374.0,19968.0,361.0,15398.0,19398.0,366.0,-24.0,570.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,24179.0,30758.0,552.0,23057.0,29628.0,543.0,1122.0,1130.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0
6563,TRLH1/1002450096,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002450096?gameHash=7757a3fbe358375f,NA LCS,2018,Spring,0,2018-02-05 00:46:34,1,8.02,200,Red,team,,Cloud9,,Zoe,Galio,Azir,Zac,Jarvan IV,2794,1,7,7,13,7,7,1.0,0.0,0.0,0.0,1.0,,,,0.1503,0.3006,1.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,10.0,2.0,1.0,1.0,3.0,0.0,84845,1822.0115,,3686.6285,4439.8926,231,4.9606,89,1.9112,53,509.0,10.9306,89587,59710,1282.2477,,77975.0,0.0859667,,1435.0,373,163,99,38.8261,16610.0,19970.0,365.0,15382.0,18952.0,335.0,1228.0,1018.0,30.0,2.0,4.0,0.0,0.0,0.0,2.0,25096.0,32284.0,604.0,23435.0,30401.0,544.0,1661.0,1883.0,60.0,2.0,4.0,0.0,0.0,0.0,2.0
8339,TRLH1/1002450145,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002450145?gameHash=baea2c0400087e9a&amp;tab=overview,NA LCS,2018,Spring,0,2018-02-10 23:03:26,1,8.02,200,Red,team,,Cloud9,,Azir,Ryze,Zoe,Taric,Tahm Kench,1810,1,12,2,22,12,2,1.0,0.0,0.0,0.0,1.0,,,,0.3978,0.4641,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,2.0,0.0,79215,2625.9116,,3108.1657,2649.9779,111,3.6796,46,1.5249,35,259.0,8.5856,62547,42707,1415.7017,,56833.0,0.24823,,954.0,228,142,35,39.1823,16513.0,20426.0,379.0,15638.0,19493.0,345.0,875.0,933.0,34.0,1.0,1.0,0.0,0.0,0.0,1.0,25014.0,33181.0,603.0,24334.0,31163.0,551.0,680.0,2018.0,52.0,2.0,1.0,1.0,1.0,1.0,2.0
8782,TRLH1/1002450187,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002450187?gameHash=1f4a375f66bc11aa,NA LCS,2018,Spring,0,2018-02-11 21:47:13,1,8.02,100,Blue,team,,Cloud9,,Galio,Cassiopeia,Xayah,Zac,Jarvan IV,2341,1,13,8,37,13,8,1.0,0.0,0.0,0.0,0.0,,,,0.3332,0.5382,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,8.0,4.0,1.0,1.0,1.0,0.0,91970,2357.1978,,3029.9872,3323.9641,135,3.4601,89,2.2811,45,315.0,8.0735,72303,47047,1205.818,,62225.0,-0.0457893,,1187.0,280,169,38,37.5993,15843.0,19625.0,377.0,15968.0,18952.0,332.0,-125.0,673.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,24888.0,31265.0,597.0,25748.0,30406.0,511.0,-860.0,859.0,86.0,1.0,2.0,2.0,2.0,7.0,1.0
9982,TRLH1/1002470023,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002470023?gameHash=4afa08eb1a21ed58,NA LCS,2018,Spring,0,2018-02-17 23:49:26,1,8.03,100,Blue,team,,Cloud9,,Galio,Ryze,Azir,Camille,Varus,1978,1,14,5,40,14,5,2.0,0.0,0.0,0.0,0.0,,,,0.4247,0.5763,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,11.0,2.0,1.0,1.0,3.0,0.0,69017,2093.5389,,2670.364,2599.2012,124,3.7614,45,1.365,37,269.0,8.1598,66529,44975,1364.2568,,60820.0,0.206721,,979.0,214,132,29,36.1881,16804.0,20357.0,367.0,15977.0,19012.0,336.0,827.0,1345.0,31.0,2.0,2.0,2.0,2.0,3.0,2.0,25752.0,31460.0,581.0,25083.0,31053.0,553.0,669.0,407.0,28.0,2.0,2.0,3.0,3.0,7.0,2.0
10307,TRLH1/1002470057,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002470057?gameHash=e8b0d61e06bf6915,NA LCS,2018,Spring,0,2018-02-18 22:02:40,1,8.03,200,Red,team,,Cloud9,,Zoe,Azir,Tristana,Taric,Braum,1988,0,6,16,16,6,16,0.0,0.0,0.0,0.0,0.0,,,,0.1811,0.664,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,9.0,1.0,0.0,0.0,1.0,76450,2307.3441,,2837.3541,2118.7123,157,4.7384,47,1.4185,39,273.0,8.2394,56807,35151,1060.8954,,55575.0,0.0242583,,1012.0,176,119,25,35.8551,15110.0,18717.0,340.0,15577.0,18865.0,314.0,-467.0,-148.0,26.0,0.0,0.0,1.0,1.0,1.0,0.0,24491.0,30079.0,532.0,24650.0,29774.0,498.0,-159.0,305.0,34.0,2.0,3.0,3.0,3.0,3.0,2.0
