,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1702,TRLH1/1002440062,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002440062?gameHash=a3b08c115923f00d,NA LCS,2018,Spring,0,2018-01-20 20:50:09,1,8.01,100,Blue,team,,Team Liquid,,Ornn,Zoe,Azir,Thresh,Kha'Zix,1687,1,11,1,36,11,1,1.0,0.0,0.0,0.0,1.0,,,,0.3912,0.4268,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,1.0,0.0,45826,1629.8518,,1814.7955,2226.2952,114,4.0545,32,1.1381,36,224.0,7.9668,59283,40698,1447.4689,,51933.0,0.160319,,869.0,196,124,32,37.8779,15970.0,18541.0,341.0,15755.0,18703.0,374.0,215.0,-162.0,-33.0,1.0,1.0,0.0,0.0,0.0,1.0,26505.0,31407.0,551.0,24118.0,29903.0,599.0,2387.0,1504.0,-48.0,4.0,10.0,0.0,0.0,0.0,4.0
2123,TRLH1/1002440127,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002440127?gameHash=361bcc2e848641d2,NA LCS,2018,Spring,0,2018-01-21 21:49:32,1,8.01,200,Red,team,,Team Liquid,,Ezreal,Zoe,Tahm Kench,Braum,Morgana,2208,1,13,6,45,13,6,3.0,0.0,0.0,0.0,0.0,,,,0.3533,0.5163,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,2.0,0.0,1.0,1.0,0.0,51861,1409.2663,,2256.8478,2604.5109,137,3.7228,118,3.2065,45,341.0,9.2663,72299,48399,1315.1902,,64625.0,0.129851,,1239.0,223,146,22,39.7283,15411.0,18919.0,355.0,15766.0,18112.0,346.0,-355.0,807.0,9.0,0.0,0.0,1.0,1.0,3.0,0.0,24793.0,29789.0,570.0,24178.0,28851.0,531.0,615.0,938.0,39.0,1.0,2.0,3.0,3.0,8.0,1.0
3803,TRLH1/1002440202,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002440202?gameHash=564bf4ca59969005&amp;tab=overview,NA LCS,2018,Spring,0,2018-01-28 01:24:28,1,8.01,200,Red,team,,Team Liquid,,Gangplank,Ornn,Zoe,Zac,Evelynn,2775,0,5,13,17,5,13,0.0,0.0,0.0,0.0,0.0,,,,0.1081,0.3892,0.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,11.0,0.0,0.0,0.0,5.0,75545,1633.4054,,2536.4324,3111.8486,275,5.9459,105,2.2703,66,518.0,11.2,85617,55934,1209.3838,,79510.0,-0.00739302,,1518.0,223,161,16,37.6432,16689.0,18415.0,341.0,16144.0,18379.0,328.0,545.0,36.0,13.0,0.0,0.0,1.0,1.0,3.0,0.0,24713.0,28539.0,542.0,24788.0,29746.0,544.0,-75.0,-1207.0,-2.0,0.0,0.0,3.0,3.0,4.0,0.0
4282,TRLH1/1002440282,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002440282?gameHash=de49732e5bf891d6&amp;tab=overview,NA LCS,2018,Spring,0,2018-01-29 02:18:47,1,8.01,100,Blue,team,,Team Liquid,,Ornn,Varus,Zoe,Kog'Maw,Ezreal,1657,1,12,2,30,12,2,1.0,0.0,0.0,0.0,1.0,,,,0.4345,0.5069,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,2.0,1.0,1.0,2.0,0.0,47370,1715.2686,,1754.9185,1712.2993,110,3.9831,53,1.9191,35,266.0,9.6319,60480,42201,1528.099,,49133.0,0.0967215,,935.0,167,99,30,39.9034,16663.0,18789.0,336.0,15648.0,18609.0,358.0,1015.0,180.0,-22.0,2.0,4.0,0.0,0.0,0.0,2.0,27104.0,31222.0,541.0,25162.0,29957.0,555.0,1942.0,1265.0,-14.0,4.0,10.0,2.0,2.0,2.0,4.0
6071,TRLH1/1002450040,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002450040?gameHash=4cf4ec7d66032df8&amp;tab=overview,NA LCS,2018,Spring,0,2018-02-04 01:07:13,1,8.02,200,Red,team,,Team Liquid,,Kog'Maw,Nunu & Willump,Zoe,Zac,Camille,1654,1,17,3,38,17,3,4.0,1.0,0.0,0.0,1.0,,,,0.6167,0.7255,1.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,1.0,1.0,2.0,0.0,52990,1922.2491,,2447.4849,2675.6953,106,3.8452,59,2.1403,38,249.0,9.0326,59446,41197,1494.4498,,54183.0,0.324628,,877.0,239,136,34,40.4837,15920.0,19902.0,351.0,14930.0,19245.0,332.0,990.0,657.0,19.0,1.0,1.0,0.0,0.0,0.0,1.0,29198.0,33878.0,551.0,22152.0,28181.0,477.0,7046.0,5697.0,74.0,9.0,16.0,1.0,1.0,3.0,9.0
6551,TRLH1/1002450088,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002450088?gameHash=917c2a13f2fa4174,NA LCS,2018,Spring,0,2018-02-04 23:55:06,1,8.02,200,Red,team,,Team Liquid,,Nunu & Willump,Camille,Rengar,Tahm Kench,Kha'Zix,1588,1,12,1,33,12,1,2.0,1.0,0.0,0.0,1.0,,,,0.4534,0.4912,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,1.0,1.0,1.0,0.0,46556,1759.0428,,2300.7053,2036.4106,134,5.063,65,2.4559,34,277.0,10.466,54565,36989,1397.5693,,44300.0,0.190358,,895.0,181,116,22,40.6549,15438.0,19816.0,364.0,15216.0,19560.0,352.0,222.0,256.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,26027.0,32141.0,548.0,22319.0,28771.0,510.0,3708.0,3370.0,38.0,5.0,12.0,1.0,1.0,3.0,5.0
8338,TRLH1/1002450145,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002450145?gameHash=baea2c0400087e9a&amp;tab=overview,NA LCS,2018,Spring,0,2018-02-10 23:03:26,1,8.02,100,Blue,team,,Team Liquid,,Camille,Sejuani,Rakan,Varus,Kalista,1810,0,2,12,5,2,12,0.0,0.0,0.0,0.0,0.0,,,,0.0663,0.4641,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,54726,1814.1215,,3311.7017,2219.337,110,3.6464,34,1.1271,32,213.0,7.0608,47347,27507,911.8343,,44283.0,-0.24823,,914.0,152,112,3,35.337,15638.0,19493.0,345.0,16513.0,20426.0,379.0,-875.0,-933.0,-34.0,0.0,0.0,1.0,1.0,1.0,0.0,24334.0,31163.0,551.0,25014.0,33181.0,603.0,-680.0,-2018.0,-52.0,1.0,1.0,2.0,2.0,1.0,1.0
8818,TRLH1/1002450212,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002450212?gameHash=c3579a03ad8f2fbc,NA LCS,2018,Spring,0,2018-02-12 00:42:46,1,8.02,100,Blue,team,,Team Liquid,,Lucian,Camille,Azir,Alistar,Shen,2575,0,7,15,19,7,15,0.0,0.0,0.0,0.0,1.0,,,,0.1631,0.5126,1.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,8.0,0.0,0.0,0.0,1.0,83627,1948.5903,,2899.3398,3418.6951,184,4.2874,67,1.5612,63,395.0,9.2039,73831,46188,1076.2252,,73525.0,-0.0466,,1315.0,243,163,21,36.3029,15563.0,18281.0,330.0,15040.0,18052.0,323.0,523.0,229.0,7.0,2.0,3.0,0.0,0.0,0.0,2.0,24680.0,29758.0,554.0,22966.0,29254.0,524.0,1714.0,504.0,30.0,2.0,3.0,0.0,0.0,0.0,2.0
9959,TRLH1/1002470009,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002470009?gameHash=cff40ff7500b8bd7,NA LCS,2018,Spring,0,2018-02-17 21:32:53,1,8.03,200,Red,team,,Team Liquid,,Gangplank,Skarner,Sejuani,Rengar,Tahm Kench,2562,1,8,7,11,8,7,1.0,0.0,0.0,0.0,0.0,,,,0.1874,0.3513,1.0,5.0,0.0,5.0,0.0,1.0,2.0,0.0,2.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,10.0,1.0,1.0,1.0,2.0,0.0,69245,1621.6628,,2359.5082,2421.1475,251,5.8782,94,2.2014,47,498.0,11.6628,81204,53694,1257.4707,,72121.0,0.0788493,,1364.0,325,202,19,39.555,15618.0,20041.0,371.0,15584.0,19303.0,363.0,34.0,738.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,24302.0,30528.0,583.0,23463.0,30796.0,582.0,839.0,-268.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10295,TRLH1/1002470053,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002470053?gameHash=22e2cf8e96c7811d,NA LCS,2018,Spring,0,2018-02-18 20:50:25,1,8.03,200,Red,team,,Team Liquid,,Gangplank,Zoe,Camille,Tahm Kench,Viktor,2917,0,10,18,31,10,18,0.0,0.0,0.0,0.0,1.0,,,,0.2057,0.5759,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,11.0,0.0,0.0,0.0,4.0,89184,1834.4326,,2755.0017,4286.205,263,5.4097,104,2.1392,74,456.0,9.3795,83942,52811,1086.2736,,79663.0,-0.0855188,,1528.0,221,168,9,35.9753,15266.0,18552.0,354.0,15312.0,18827.0,353.0,-46.0,-275.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24352.0,29355.0,543.0,23172.0,29817.0,545.0,1180.0,-462.0,-2.0,1.0,3.0,1.0,1.0,2.0,1.0
