,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1055,TRLH3/1002360057,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360057?gameHash=d3cd5577578bc05b&amp;tab=overview,EU LCS,2018,Spring,0,2018-01-19 18:07:58,1,8.01,200,Red,team,,Team Vitality,,Alistar,Evelynn,Rengar,Zoe,Azir,1985,1,17,3,48,17,3,2.0,1.0,1.0,0.0,1.0,,,,0.5139,0.6045,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,3.0,0.0,1.0,1.0,0.0,49658,1500.9975,,1850.7809,2129.864,198,5.9849,89,2.6902,38,350.0,10.5793,65596,43971,1329.0982,,57520.0,0.118503,,1094.0,218,134,32,39.6574,17191.0,19009.0,352.0,14983.0,17900.0,321.0,2208.0,1109.0,31.0,4.0,5.0,1.0,1.0,1.0,4.0,26218.0,30082.0,568.0,23652.0,28554.0,500.0,2566.0,1528.0,68.0,4.0,5.0,2.0,2.0,3.0,4.0
1547,TRLH3/1002350143,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002350143?gameHash=e20724378f71f2d6,EU LCS,2018,Spring,0,2018-01-20 15:45:38,1,8.01,200,Red,team,,Team Vitality,,Alistar,Ornn,Gnar,Braum,Taric,2438,1,10,7,27,10,7,2.0,0.0,0.0,0.0,0.0,,,,0.2461,0.4184,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,100423,2471.4438,,2146.1444,2197.6292,209,5.1436,72,1.7719,51,402.0,9.8934,74702,48456,1192.5185,,68108.0,-0.0111985,,1194.0,225,172,2,34.9221,15332.0,17224.0,320.0,16303.0,19526.0,345.0,-971.0,-2302.0,-25.0,0.0,0.0,2.0,2.0,4.0,0.0,23682.0,29003.0,539.0,25479.0,30098.0,534.0,-1797.0,-1095.0,5.0,0.0,0.0,3.0,3.0,8.0,0.0
3179,TRLH3/1002360194,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360194?gameHash=908127c18e50cca8,EU LCS,2018,Spring,0,2018-01-26 20:21:43,1,8.01,200,Red,team,,Team Vitality,,Gnar,Ornn,Alistar,Shen,Cho'Gath,2460,1,12,5,15,12,5,1.0,0.0,0.0,0.0,1.0,,,,0.2927,0.4146,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,10.0,5.0,1.0,1.0,3.0,0.0,73917,1802.8537,,2430.1951,2495.8537,200,4.878,109,2.6585,67,398.0,9.7073,81458,54988,1341.1707,,76925.0,0.0637156,,1405.0,250,168,28,40.3659,16148.0,19185.0,342.0,15810.0,19223.0,361.0,338.0,-38.0,-19.0,2.0,3.0,0.0,0.0,0.0,2.0,25449.0,31408.0,557.0,25693.0,31160.0,580.0,-244.0,248.0,-23.0,4.0,7.0,1.0,1.0,2.0,4.0
3659,TRLH3/1002350261,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002350261?gameHash=a9abbea74324b54a,EU LCS,2018,Spring,0,2018-01-27 17:43:13,1,8.01,200,Red,team,,Team Vitality,,Ornn,Kalista,Camille,Gnar,Vladimir,1880,0,3,14,5,3,14,0.0,0.0,0.0,0.0,0.0,,,,0.0957,0.5426,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,8.0,1.0,1.0,1.0,1.0,45094,1439.1702,,2545.7872,2366.6489,117,3.734,50,1.5957,37,238.0,7.5957,54828,34274,1093.8511,,52543.0,-0.0870499,,944.0,207,132,16,36.734,16274.0,18538.0,339.0,15001.0,17589.0,312.0,1273.0,949.0,27.0,0.0,0.0,1.0,1.0,1.0,0.0,26662.0,30665.0,571.0,23722.0,28327.0,522.0,2940.0,2338.0,49.0,1.0,0.0,1.0,1.0,1.0,1.0
5411,TRLH4/1002060045,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002060045?gameHash=6cd34a8d10be38a9,EU LCS,2018,Spring,0,2018-02-02 19:08:37,1,8.02,200,Red,team,,Team Vitality,,Kog'Maw,Caitlyn,Tahm Kench,Evelynn,Ornn,2143,1,9,8,25,9,8,0.0,0.0,0.0,0.0,0.0,,,,0.252,0.476,0.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,11.0,1.0,1.0,1.0,5.0,0.0,64498,1805.8236,,3132.2072,2660.7746,142,3.9757,79,2.2119,48,339.0,9.4914,66800,43563,1219.6827,,64613.0,0.149861,,956.0,265,144,49,34.1857,14722.0,18341.0,325.0,15950.0,18874.0,341.0,-1228.0,-533.0,-16.0,0.0,0.0,2.0,2.0,3.0,0.0,24186.0,28863.0,515.0,24470.0,29603.0,548.0,-284.0,-740.0,-33.0,1.0,2.0,2.0,2.0,3.0,1.0
5879,TRLH3/1002400025,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002400025?gameHash=173c01e52fa587d4&amp;tab=overview,EU LCS,2018,Spring,0,2018-02-03 15:42:05,1,8.02,200,Red,team,,Team Vitality,,Tahm Kench,Ryze,Kalista,Vladimir,Ornn,1794,1,8,5,12,8,5,0.0,0.0,0.0,0.0,1.0,,,,0.2676,0.4348,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,2.0,1.0,1.0,1.0,0.0,59011,1973.612,,2214.0468,1510.9365,182,6.087,50,1.6722,34,315.0,10.5351,56760,37083,1240.2341,,51558.0,0.122427,,941.0,202,129,18,38.2274,16098.0,19152.0,320.0,14827.0,18526.0,322.0,1271.0,626.0,-2.0,3.0,5.0,1.0,1.0,0.0,3.0,25061.0,30130.0,519.0,22481.0,29554.0,523.0,2580.0,576.0,-4.0,4.0,8.0,1.0,1.0,0.0,4.0
7655,TRLH3/1002400099,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002400099?gameHash=d1b3c609b781d989&amp;tab=overview,EU LCS,2018,Spring,0,2018-02-09 17:56:37,1,8.02,200,Red,team,,Team Vitality,,Camille,Kalista,Tahm Kench,Blitzcrank,Xayah,4135,1,14,6,34,14,6,2.0,0.0,0.0,0.0,0.0,,,,0.2031,0.2902,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,10.0,9.0,1.0,1.0,2.0,8.0,147294,2137.2769,,2903.6663,3440.6046,354,5.1366,147,2.133,65,785.0,11.3906,132329,88774,1288.1354,,138993.0,0.296997,,2290.0,344,239,27,38.2201,15275.0,17994.0,319.0,15238.0,18605.0,345.0,37.0,-611.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,23090.0,28599.0,520.0,23317.0,29807.0,564.0,-227.0,-1208.0,-44.0,0.0,0.0,0.0,0.0,0.0,0.0
8159,TRLH3/1002390110,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002390110?gameHash=be38fc9a28ec122a&amp;tab=overview,EU LCS,2018,Spring,0,2018-02-10 15:48:47,1,8.02,200,Red,team,,Team Vitality,,Camille,Tahm Kench,Zac,Gnar,Ornn,2385,1,14,8,20,14,8,2.0,0.0,0.0,0.0,1.0,,,,0.3522,0.5535,1.0,5.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,11.0,0.0,1.0,1.0,7.0,0.0,87432,2199.5472,,2545.6352,1741.7358,167,4.2013,63,1.5849,48,408.0,10.2642,82381,56676,1425.8113,,82001.0,0.258965,,1161.0,309,164,60,36.9811,18219.0,19197.0,341.0,14532.0,18035.0,324.0,3687.0,1162.0,17.0,2.0,2.0,0.0,0.0,0.0,2.0,26450.0,30102.0,553.0,21913.0,28700.0,519.0,4537.0,1402.0,34.0,2.0,2.0,0.0,0.0,0.0,2.0
9455,TRLH3/1002410054,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410054?gameHash=74829c6d5d9a3fbd,EU LCS,2018,Spring,0,2018-02-16 19:50:32,1,8.03,200,Red,team,,Team Vitality,,Tahm Kench,Braum,Varus,Malzahar,LeBlanc,2041,0,0,11,0,0,11,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.3234,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,67026,1970.3871,,2783.8413,1907.6825,155,4.5566,63,1.852,39,299.0,8.7898,51503,29307,861.5483,,49875.0,-0.207032,,1043.0,192,132,12,36.3057,14722.0,18448.0,324.0,14661.0,18862.0,322.0,61.0,-414.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22344.0,29277.0,530.0,23370.0,31028.0,542.0,-1026.0,-1751.0,-12.0,0.0,0.0,1.0,1.0,3.0,0.0
9766,TRLH3/1002420066,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002420066?gameHash=bc6a90d73f034f54,EU LCS,2018,Spring,0,2018-02-17 16:55:24,1,8.03,100,Blue,team,,Team Vitality,,Zac,Xayah,Thresh,Gnar,Vladimir,1981,0,8,10,20,8,10,1.0,0.0,0.0,0.0,0.0,,,,0.2423,0.5452,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,11.0,0.0,0.0,0.0,3.0,62019,1878.4149,,2650.2373,2056.7491,170,5.1489,52,1.575,40,305.0,9.2378,59484,37900,1147.9051,,58856.0,0.0342346,,1024.0,197,131,10,36.9813,14652.0,16590.0,292.0,16565.0,19440.0,330.0,-1913.0,-2850.0,-38.0,0.0,0.0,1.0,1.0,3.0,0.0,23526.0,27686.0,498.0,26353.0,30793.0,541.0,-2827.0,-3107.0,-43.0,0.0,0.0,2.0,2.0,4.0,0.0
