,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
4343,ESPORTSTMNT02/992680,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992680?gameHash=cc5f2236a04155c9&amp;tab=overview,LCS,2019,Spring,0,2019-01-27 00:59:15,1,9.01,200,Red,team,,Golden Guardians,,Cassiopeia,Aatrox,Rakan,Alistar,Tahm Kench,1953,0,6,17,16,6,17,1.0,1.0,0.0,0.0,0.0,,,,0.1843,0.7066,1.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,11.0,1.0,1.0,0.0,3.0,68544,2105.8065,,3253.149,2425.9908,98,3.0108,32,0.9831,35,196.0,6.0215,55602,34303,1053.8556,,52025.0,-0.104908,,946.0,159,123,4,33.9478,16628.0,20214.0,376.0,15539.0,19691.0,341.0,1089.0,523.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,24475.0,31484.0,570.0,24557.0,30721.0,530.0,-82.0,763.0,40.0,0.0,0.0,2.0,2.0,7.0,0.0
4775,ESPORTSTMNT02/992903,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992903?gameHash=ebca62b9526ace0e&amp;tab=overview,LCS,2019,Spring,0,2019-01-27 23:37:10,1,9.01,200,Red,team,,Golden Guardians,,Cassiopeia,Aatrox,Akali,Morgana,Thresh,2158,0,9,15,15,9,15,1.0,0.0,0.0,0.0,1.0,,,,0.2502,0.6673,0.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,2.0,69636,1936.126,,2654.5134,3613.5125,128,3.5589,45,1.2512,49,242.0,6.7285,58110,34720,965.3383,,56925.0,-0.134982,,915.0,180,132,10,30.4449,15908.0,19928.0,320.0,17003.0,20664.0,385.0,-1095.0,-736.0,-65.0,2.0,2.0,1.0,1.0,1.0,2.0,25187.0,32759.0,499.0,26845.0,31978.0,592.0,-1658.0,781.0,-93.0,5.0,6.0,2.0,2.0,2.0,5.0
6947,ESPORTSTMNT01/1061576,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1061576?gameHash=f45d529b2ee1174a,LCS,2019,Spring,0,2019-02-02 22:45:51,1,9.02,200,Red,team,,Golden Guardians,,Cassiopeia,Akali,Aatrox,Ryze,Ornn,1844,0,4,12,7,4,12,0.0,0.0,0.0,0.0,1.0,,,,0.1302,0.5206,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,3.0,40596,1320.9111,,2367.6247,2370.6508,91,2.961,21,0.6833,34,173.0,5.6291,50016,29829,970.5748,,44285.0,-0.18662,,843.0,159,108,10,32.603,16040.0,18547.0,338.0,16146.0,18785.0,336.0,-106.0,-238.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,25370.0,29446.0,530.0,26054.0,31098.0,546.0,-684.0,-1652.0,-16.0,2.0,3.0,3.0,3.0,5.0,2.0
7222,ESPORTSTMNT01/1051785,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1051785?gameHash=db5481cdf7a61884,LCS,2019,Spring,0,2019-02-03 19:41:37,1,9.02,100,Blue,team,,Golden Guardians,,Lucian,Sion,LeBlanc,Alistar,Zilean,2017,0,10,17,26,10,17,0.0,0.0,0.0,0.0,1.0,,,,0.2975,0.8032,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,11.0,0.0,0.0,0.0,3.0,59268,1763.054,,2772.94,2782.3104,91,2.707,48,1.4279,37,214.0,6.3659,53776,31825,946.703,,49685.0,-0.1999,,861.0,132,105,4,29.5389,15310.0,18488.0,321.0,15546.0,19082.0,343.0,-236.0,-594.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,24589.0,29269.0,481.0,24405.0,30048.0,511.0,184.0,-779.0,-30.0,2.0,4.0,2.0,2.0,5.0,2.0
8915,ESPORTSTMNT01/1053261,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053261?gameHash=2a6286c8d80be2bc,LCS,2019,Spring,0,2019-02-10 02:21:14,1,9.02,200,Red,team,,Golden Guardians,,Akali,Cassiopeia,Lucian,Olaf,Zoe,1964,1,12,2,31,12,2,1.0,0.0,0.0,0.0,0.0,,,,0.3666,0.4277,0.0,4.0,1.0,4.0,1.0,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,5.0,0.0,0.0,2.0,0.0,72064,2201.5479,,2509.0631,2981.0591,101,3.0855,52,1.5886,34,227.0,6.9348,60774,39363,1202.5356,,50200.0,0.0347571,,923.0,188,130,9,33.9409,16124.0,19639.0,380.0,15489.0,19338.0,351.0,635.0,301.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,24041.0,30156.0,561.0,24553.0,28911.0,502.0,-512.0,1245.0,59.0,1.0,4.0,2.0,2.0,5.0,1.0
9155,ESPORTSTMNT01/1053435,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053435?gameHash=43ae92e486f3e509,LCS,2019,Spring,0,2019-02-10 22:42:39,1,9.02,200,Red,team,,Golden Guardians,,Akali,Cassiopeia,Lucian,Kai'Sa,Rakan,2700,1,29,14,72,29,14,4.0,2.0,0.0,0.0,0.0,,,,0.6444,0.9556,0.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,7.0,8.0,0.0,0.0,1.0,0.0,124918,2775.9556,,3901.4222,5011.5111,146,3.2444,67,1.4889,55,373.0,8.2889,88220,59302,1317.8222,,76575.0,0.0131449,,1133.0,261,180,29,30.9778,16258.0,18453.0,341.0,16560.0,18580.0,330.0,-302.0,-127.0,11.0,1.0,2.0,2.0,2.0,5.0,1.0,25437.0,28380.0,523.0,27341.0,29823.0,500.0,-1904.0,-1443.0,23.0,2.0,4.0,5.0,5.0,16.0,2.0
11602,ESPORTSTMNT02/1012155,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1012155?gameHash=a0046b7a1ad2471f,LCS,2019,Spring,0,2019-02-16 22:52:44,1,9.03,100,Blue,team,,Golden Guardians,,Ezreal,Olaf,Thresh,Yasuo,LeBlanc,1888,0,8,16,18,8,16,1.0,0.0,0.0,0.0,1.0,,,,0.2542,0.7627,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,1.0,1.0,0.0,1.0,49431,1570.9004,,3251.0275,3003.0508,97,3.0826,47,1.4936,36,208.0,6.6102,52161,31525,1001.8538,,49635.0,0.0152253,,864.0,169,131,11,32.8284,16015.0,18967.0,338.0,14889.0,18747.0,313.0,1126.0,220.0,25.0,2.0,4.0,1.0,1.0,2.0,2.0,24089.0,30057.0,547.0,22814.0,30156.0,520.0,1275.0,-99.0,27.0,2.0,4.0,1.0,1.0,2.0,2.0
12106,ESPORTSTMNT02/1012459,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1012459?gameHash=7492696dcdab33c0,LCS,2019,Spring,0,2019-02-17 20:39:10,1,9.03,100,Blue,team,,Golden Guardians,,Ezreal,Olaf,Sion,Alistar,LeBlanc,2290,1,9,1,22,9,1,2.0,0.0,0.0,0.0,0.0,,,,0.2358,0.262,1.0,5.0,0.0,5.0,0.0,1.0,0.0,3.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,10.0,1.0,1.0,1.0,2.0,0.0,59318,1554.1834,,1880.8297,2977.6769,148,3.8777,72,1.8865,50,363.0,9.5109,70164,45428,1190.2533,,65300.0,0.163595,,1041.0,235,109,49,33.4323,15279.0,18853.0,345.0,15342.0,18289.0,319.0,-63.0,564.0,26.0,0.0,0.0,1.0,1.0,1.0,0.0,24507.0,31067.0,555.0,22863.0,28670.0,500.0,1644.0,2397.0,55.0,1.0,0.0,1.0,1.0,1.0,1.0
14734,ESPORTSTMNT02/1014846,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1014846?gameHash=9cf6d845ca59db21,LCS,2019,Spring,0,2019-02-23 23:54:11,1,9.03,100,Blue,team,,Golden Guardians,,Galio,Kalista,Thresh,Olaf,Jayce,2101,0,5,16,14,5,16,0.0,0.0,0.0,0.0,0.0,,,,0.1428,0.5997,0.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,11.0,0.0,0.0,0.0,3.0,81066,2315.069,,2282.8558,2260.5236,137,3.9124,51,1.4564,43,260.0,7.425,57289,34481,984.7025,,55150.0,-0.112723,,1019.0,171,110,13,33.9838,15330.0,18516.0,332.0,17423.0,19945.0,353.0,-2093.0,-1429.0,-21.0,1.0,2.0,4.0,4.0,6.0,1.0,25290.0,30351.0,546.0,26479.0,30899.0,538.0,-1189.0,-548.0,8.0,2.0,4.0,6.0,6.0,9.0,2.0
15347,ESPORTSTMNT02/1015158,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015158?gameHash=ec2427cb22f4eb4e,LCS,2019,Spring,0,2019-02-24 19:44:44,1,9.03,200,Red,team,,Golden Guardians,,Lucian,Cassiopeia,Nocturne,Yorick,Zoe,2244,1,14,8,28,14,8,1.0,0.0,0.0,0.0,1.0,,,,0.3743,0.5882,1.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,3.0,0.0,82779,2213.3422,,2380.1337,3277.0588,137,3.6631,55,1.4706,37,305.0,8.1551,69865,45598,1219.1979,,62550.0,0.0787982,,1053.0,232,124,41,34.3583,15953.0,18311.0,319.0,16050.0,18711.0,314.0,-97.0,-400.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,23621.0,29046.0,516.0,24719.0,29923.0,522.0,-1098.0,-877.0,-6.0,3.0,5.0,4.0,4.0,6.0,3.0
