,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
4307,ESPORTSTMNT02/992641,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992641?gameHash=19f754ef4c0360d7&amp;tab=overview,LCS,2019,Spring,0,2019-01-26 22:48:54,1,9.01,200,Red,team,,TSM,,Cassiopeia,Aatrox,Lissandra,Rakan,Braum,2099,1,12,5,32,12,5,1.0,1.0,0.0,0.0,1.0,,,,0.343,0.4859,0.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,11.0,2.0,1.0,1.0,4.0,0.0,66871,1911.5102,,2912.9586,3367.9752,120,3.4302,48,1.3721,50,253.0,7.232,65841,43053,1230.6717,,58000.0,0.0590193,,919.0,219,147,12,32.5298,15342.0,19150.0,330.0,16386.0,19699.0,361.0,-1044.0,-549.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,25239.0,31991.0,515.0,24679.0,29977.0,550.0,560.0,2014.0,-35.0,5.0,17.0,0.0,0.0,0.0,5.0
4751,ESPORTSTMNT02/992889,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992889?gameHash=6239af7c6dd08664&amp;tab=overview,LCS,2019,Spring,0,2019-01-27 22:40:52,1,9.01,200,Red,team,,TSM,,Galio,Cassiopeia,Lissandra,Braum,Xin Zhao,1985,0,7,11,10,7,11,1.0,0.0,0.0,0.0,1.0,,,,0.2116,0.5441,0.0,3.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,10.0,0.0,0.0,0.0,2.0,41410,1251.6877,,2715.1436,2278.4887,102,3.0831,48,1.4509,45,242.0,7.3149,56271,34646,1047.2343,,54320.0,-0.0573115,,977.0,209,139,6,35.8489,17000.0,20578.0,333.0,15473.0,18051.0,321.0,1527.0,2527.0,12.0,4.0,2.0,0.0,0.0,0.0,4.0,25861.0,31398.0,534.0,24544.0,30300.0,546.0,1317.0,1098.0,-12.0,4.0,2.0,0.0,0.0,0.0,4.0
6923,ESPORTSTMNT01/1061556,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1061556?gameHash=354f84440c7f35fb,LCS,2019,Spring,0,2019-02-02 21:38:05,1,9.02,200,Red,team,,TSM,,Akali,Urgot,Cassiopeia,Syndra,Zoe,2296,1,25,18,49,25,18,3.0,0.0,0.0,0.0,0.0,,,,0.6533,1.1237,0.0,5.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,11.0,3.0,1.0,1.0,2.0,0.0,132606,3465.3136,,3045.2875,2492.4303,124,3.2404,49,1.2805,58,281.0,7.3432,75925,51128,1336.0976,,68258.0,0.108144,,939.0,214,123,27,30.1307,16356.0,18083.0,332.0,16876.0,19405.0,331.0,-520.0,-1322.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,25820.0,29296.0,485.0,26520.0,29924.0,502.0,-700.0,-628.0,-17.0,6.0,8.0,6.0,6.0,6.0,6.0
7294,ESPORTSTMNT01/1051838,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1051838?gameHash=6aa66b344e598ec4,LCS,2019,Spring,0,2019-02-03 22:46:36,1,9.02,100,Blue,team,,TSM,,Lissandra,Irelia,Jayce,LeBlanc,Gragas,2232,0,8,17,16,8,17,0.0,0.0,0.0,0.0,0.0,,,,0.2151,0.672,1.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,0.0,0.0,0.0,3.0,71751,1928.7903,,2565.1882,2360.0269,116,3.1183,48,1.2903,57,263.0,7.0699,61832,37688,1013.1183,,58540.0,-0.0773463,,1009.0,198,132,8,32.4462,16108.0,18562.0,357.0,15156.0,18548.0,324.0,952.0,14.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,23992.0,28821.0,554.0,25376.0,30987.0,531.0,-1384.0,-2166.0,23.0,0.0,0.0,3.0,3.0,3.0,0.0
8890,ESPORTSTMNT01/1053240,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053240?gameHash=2eecf5019dfffbe7,LCS,2019,Spring,0,2019-02-10 00:03:11,1,9.02,100,Blue,team,,TSM,,Zoe,Irelia,Cassiopeia,Alistar,Yorick,2702,0,10,19,30,10,19,1.0,0.0,0.0,0.0,0.0,,,,0.2221,0.644,1.0,3.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,11.0,1.0,1.0,0.0,3.0,103409,2296.2768,,4241.0585,4908.1643,156,3.4641,70,1.5544,70,319.0,7.0836,70317,41379,918.8527,,66525.0,-0.134831,,1080.0,218,153,14,28.8231,14934.0,18852.0,324.0,16042.0,18525.0,320.0,-1108.0,327.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,24273.0,30995.0,518.0,23512.0,28674.0,491.0,761.0,2321.0,27.0,2.0,6.0,1.0,1.0,2.0,2.0
9154,ESPORTSTMNT01/1053435,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053435?gameHash=43ae92e486f3e509,LCS,2019,Spring,0,2019-02-10 22:42:39,1,9.02,100,Blue,team,,TSM,,Draven,Nocturne,Jayce,Kha'Zix,Braum,2700,0,14,29,39,14,29,3.0,0.0,0.0,0.0,1.0,,,,0.3111,0.9556,1.0,2.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,8.0,7.0,1.0,1.0,0.0,1.0,127099,2824.4222,,3428.9556,4224.4667,145,3.2222,55,1.2222,69,337.0,7.4889,78482,49564,1101.4222,,75575.0,-0.0131449,,1090.0,265,175,13,30.1111,16560.0,18580.0,330.0,16258.0,18453.0,341.0,302.0,127.0,-11.0,2.0,5.0,1.0,1.0,2.0,2.0,27341.0,29823.0,500.0,25437.0,28380.0,523.0,1904.0,1443.0,-23.0,5.0,16.0,2.0,2.0,4.0,5.0
11578,ESPORTSTMNT02/1012136,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1012136?gameHash=f8672dd96b791431,LCS,2019,Spring,0,2019-02-16 21:44:42,1,9.03,100,Blue,team,,TSM,,Irelia,Nocturne,Yorick,Draven,LeBlanc,2625,1,15,9,50,15,9,2.0,0.0,0.0,0.0,0.0,,,,0.3429,0.5486,0.0,4.0,2.0,3.0,2.0,0.0,1.0,0.0,2.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,5.0,0.0,0.0,1.0,0.0,95662,2186.56,,2573.44,2697.6,158,3.6114,60,1.3714,68,319.0,7.2914,72074,43921,1003.9086,,65170.0,-0.0291827,,1017.0,229,135,25,28.48,14665.0,18798.0,331.0,14654.0,18345.0,325.0,11.0,453.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,21775.0,28141.0,499.0,22386.0,29059.0,514.0,-611.0,-918.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
12131,ESPORTSTMNT02/1012483,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1012483?gameHash=307e59ee744eda73,LCS,2019,Spring,0,2019-02-17 21:42:30,1,9.03,200,Red,team,,TSM,,Lucian,Urgot,Nocturne,Olaf,Gragas,2175,1,14,4,26,14,4,1.0,0.0,0.0,0.0,1.0,,,,0.3862,0.4966,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,3.0,1.0,1.0,3.0,0.0,58770,1621.2414,,2289.4069,2128.331,112,3.0897,57,1.5724,44,278.0,7.669,67747,44184,1218.869,,63033.0,0.178604,,1053.0,220,133,39,35.1172,15877.0,18858.0,318.0,15663.0,18849.0,317.0,214.0,9.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,25583.0,30169.0,519.0,24130.0,29731.0,513.0,1453.0,438.0,6.0,4.0,6.0,3.0,3.0,6.0,4.0
14771,ESPORTSTMNT02/1014859,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1014859?gameHash=5e92b6c16d6c6a91,LCS,2019,Spring,0,2019-02-24 01:54:50,1,9.03,200,Red,team,,TSM,,Lucian,Nocturne,Tahm Kench,Zoe,Orianna,1496,1,7,3,7,7,3,0.0,0.0,0.0,0.0,1.0,,,,0.2807,0.4011,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,1.0,1.0,2.0,0.0,34329,1376.8316,,1995.4412,1587.7941,69,2.7674,28,1.123,26,166.0,6.6578,48914,32277,1294.5321,,42100.0,0.19428,,733.0,192,95,39,37.0989,17203.0,19262.0,336.0,14671.0,18847.0,320.0,2532.0,415.0,16.0,4.0,5.0,0.0,0.0,0.0,4.0,29125.0,31601.0,551.0,21498.0,28326.0,496.0,7627.0,3275.0,55.0,6.0,7.0,0.0,0.0,0.0,6.0
15418,ESPORTSTMNT02/1015197,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015197?gameHash=15679e4a45be2492,LCS,2019,Spring,0,2019-02-24 22:51:18,1,9.03,100,Blue,team,,TSM,,Irelia,Yasuo,Thresh,Malphite,Yorick,2341,1,4,3,13,4,3,0.0,0.0,0.0,0.0,0.0,,,,0.1025,0.1794,1.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,11.0,4.0,1.0,1.0,3.0,0.0,63527,1628.2016,,2239.1713,2491.6019,131,3.3575,55,1.4097,54,295.0,7.5609,69808,44552,1141.871,,67290.0,0.0645379,,1143.0,246,173,9,35.6002,14689.0,18541.0,331.0,16561.0,19594.0,337.0,-1872.0,-1053.0,-6.0,0.0,0.0,3.0,3.0,3.0,0.0,22327.0,28723.0,528.0,24053.0,30324.0,530.0,-1726.0,-1601.0,-2.0,0.0,0.0,3.0,3.0,3.0,0.0
