,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
839,ESPORTSTMNT02/980572,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980572?gameHash=1c62c682c9b961ea&amp;tab=overview,LEC,2019,Spring,0,2019-01-18 19:07:02,1,9.01,200,Red,team,,Excel Esports,,Karthus,Cassiopeia,Lucian,Ryze,Lissandra,2290,0,6,16,16,6,16,0.0,0.0,0.0,0.0,0.0,,,,0.1572,0.5764,1.0,4.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,10.0,1.0,1.0,0.0,2.0,65887,1726.2969,,2512.7686,3347.5808,129,3.3799,68,1.7817,62,298.0,7.8079,60845,36109,946.0873,,58880.0,-0.0463689,,991.0,221,140,18,31.7555,15578.0,18782.0,292.0,14971.0,17729.0,302.0,607.0,1053.0,-10.0,3.0,8.0,1.0,1.0,1.0,3.0,24097.0,30405.0,489.0,22785.0,28874.0,476.0,1312.0,1531.0,13.0,3.0,8.0,2.0,2.0,2.0,3.0
1366,ESPORTSTMNT02/980693,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT02/980693?gameHash=9ae7b7fa0ca02595&amp;tab=overview,LEC,2019,Spring,0,2019-01-19 16:38:02,1,9.01,100,Blue,team,,Excel Esports,,Irelia,Rakan,Viktor,Braum,Alistar,1652,1,12,3,29,12,3,2.0,0.0,0.0,0.0,0.0,,,,0.4358,0.5448,1.0,4.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,46416,1685.8111,,2636.9128,2183.1719,91,3.3051,38,1.3801,36,212.0,7.6998,52355,34127,1239.4794,,43575.0,0.0380006,,780.0,179,104,29,34.8305,14836.0,18945.0,317.0,15973.0,18814.0,354.0,-1137.0,131.0,-37.0,0.0,0.0,0.0,0.0,0.0,0.0,25096.0,30664.0,480.0,24069.0,29054.0,505.0,1027.0,1610.0,-25.0,4.0,10.0,2.0,2.0,5.0,4.0
3647,ESPORTSTMNT05/1080616,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT05/1080616?gameHash=da9e9bbed7659820&amp;tab=overview,LEC,2019,Spring,0,2019-01-25 19:00:03,1,9.01,200,Red,team,,Excel Esports,,Cassiopeia,Aatrox,Zoe,Vayne,Irelia,2678,0,20,15,57,20,15,2.0,1.0,0.0,0.0,0.0,,,,0.4481,0.7842,1.0,4.0,2.0,4.0,1.0,2.0,2.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,7.0,1.0,1.0,0.0,2.0,92701,2076.9455,,2825.2651,3749.6863,148,3.3159,73,1.6355,62,318.0,7.1247,74570,45876,1027.8417,,72595.0,0.0064953,,1023.0,237,161,6,28.23,14682.0,19006.0,309.0,16481.0,19527.0,338.0,-1799.0,-521.0,-29.0,0.0,0.0,1.0,1.0,1.0,0.0,23336.0,31020.0,463.0,24375.0,29434.0,508.0,-1039.0,1586.0,-45.0,4.0,12.0,2.0,2.0,4.0,4.0
4187,ESPORTSTMNT05/1070799,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070799?gameHash=ea86b9eece71eb57&amp;tab=overview,LEC,2019,Spring,0,2019-01-26 16:55:53,1,9.01,200,Red,team,,Excel Esports,,Cassiopeia,Aatrox,Lucian,LeBlanc,Xin Zhao,1714,0,1,8,2,1,8,0.0,0.0,0.0,0.0,0.0,,,,0.035,0.3151,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,42648,1492.9288,,1874.0373,1724.2824,87,3.0455,19,0.6651,34,141.0,4.9358,42025,23164,810.8751,,40585.0,-0.168444,,753.0,176,140,12,32.5204,14666.0,19149.0,328.0,16515.0,19177.0,348.0,-1849.0,-28.0,-20.0,0.0,0.0,1.0,1.0,1.0,0.0,22099.0,29757.0,513.0,26756.0,31334.0,555.0,-4657.0,-1577.0,-42.0,0.0,0.0,2.0,2.0,4.0,0.0
6430,ESPORTSTMNT04/890269,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/890269?gameHash=8ce9c7d836e205c9&amp;tab=overview,LEC,2019,Spring,0,2019-02-01 19:45:08,1,9.02,100,Blue,team,,Excel Esports,,Draven,Jayce,Akali,LeBlanc,Galio,2077,1,12,3,20,12,3,1.0,0.0,0.0,0.0,1.0,,,,0.3467,0.4333,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,4.0,1.0,1.0,3.0,0.0,49108,1418.623,,2085.7872,2711.6707,120,3.4665,47,1.3577,44,248.0,7.1642,66230,43667,1261.4444,,59225.0,0.0482803,,931.0,220,140,36,33.2499,15422.0,17502.0,312.0,15390.0,18401.0,328.0,32.0,-899.0,-16.0,1.0,1.0,1.0,1.0,0.0,1.0,25463.0,29190.0,515.0,24871.0,29725.0,532.0,592.0,-535.0,-17.0,2.0,2.0,1.0,1.0,0.0,2.0
6826,ESPORTSTMNT04/890353,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT04/890353?gameHash=f5f110807e2e88b1&amp;tab=overview,LEC,2019,Spring,0,2019-02-02 16:51:03,1,9.02,100,Blue,team,,Excel Esports,,Lissandra,Lucian,Akali,Jayce,LeBlanc,1791,0,6,9,11,6,9,0.0,0.0,0.0,0.0,0.0,,,,0.201,0.5025,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,1.0,0.0,0.0,3.0,30817,1032.3953,,2331.7253,1918.1575,109,3.6516,42,1.407,35,214.0,7.1692,47367,27721,928.6767,,42700.0,-0.18516,,807.0,126,96,0,31.2563,15009.0,18265.0,273.0,16586.0,18585.0,339.0,-1577.0,-320.0,-66.0,3.0,4.0,2.0,2.0,2.0,3.0,23822.0,29166.0,457.0,26637.0,30544.0,564.0,-2815.0,-1378.0,-107.0,4.0,5.0,2.0,2.0,2.0,4.0
8399,ESPORTSTMNT04/890870,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT04/890870?gameHash=8318945245e13f46&amp;tab=overview,LEC,2019,Spring,0,2019-02-08 19:49:52,1,9.02,200,Red,team,,Excel Esports,,Akali,Cassiopeia,Vayne,Lissandra,Ivern,1684,0,0,4,0,0,4,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.1425,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,3.0,16486,587.3872,,1941.1283,1584.5131,91,3.2423,21,0.7482,41,159.0,5.6651,42136,23581,840.1781,,39750.0,-0.135881,,760.0,121,95,10,31.3895,14754.0,17653.0,300.0,15474.0,18732.0,317.0,-720.0,-1079.0,-17.0,0.0,0.0,1.0,1.0,2.0,0.0,22152.0,27982.0,483.0,25017.0,30292.0,514.0,-2865.0,-2310.0,-31.0,0.0,0.0,2.0,2.0,3.0,0.0
8795,ESPORTSTMNT04/881015,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/881015?gameHash=ff4b2acc897193b2&amp;tab=overview,LEC,2019,Spring,0,2019-02-09 18:55:51,1,9.02,200,Red,team,,Excel Esports,,Cassiopeia,Draven,Thresh,Alistar,LeBlanc,1978,0,6,12,9,6,12,0.0,0.0,0.0,0.0,1.0,,,,0.182,0.546,1.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,11.0,1.0,1.0,0.0,2.0,31224,947.1385,,2292.9828,2467.6138,114,3.458,43,1.3043,47,226.0,6.8554,56246,34692,1052.3357,,53395.0,-0.0897098,,935.0,175,115,19,33.6704,15278.0,18604.0,315.0,14412.0,17238.0,302.0,866.0,1366.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,24241.0,29299.0,491.0,23334.0,28392.0,478.0,907.0,907.0,13.0,2.0,2.0,3.0,3.0,6.0,2.0
10859,ESPORTSTMNT05/1100283,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT05/1100283?gameHash=81c583b67e89426a&amp;tab=overview,LEC,2019,Spring,0,2019-02-15 17:46:28,1,9.03,200,Red,team,,Excel Esports,,Yasuo,Draven,Jayce,Lissandra,Ryze,1765,0,5,17,8,5,17,0.0,0.0,0.0,0.0,0.0,,,,0.17,0.7479,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,34889,1186.0283,,2433.7904,1800.3399,120,4.0793,31,1.0538,46,203.0,6.9008,46435,27054,919.6827,,44033.0,-0.105822,,825.0,149,121,0,33.1105,15063.0,18394.0,348.0,16461.0,19239.0,349.0,-1398.0,-845.0,-1.0,0.0,0.0,2.0,2.0,3.0,0.0,23153.0,28861.0,526.0,25580.0,31774.0,538.0,-2427.0,-2913.0,-12.0,2.0,3.0,6.0,6.0,9.0,2.0
11459,ESPORTSTMNT05/1100427,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1100427?gameHash=c60efc293d003b20&amp;tab=overview,LEC,2019,Spring,0,2019-02-16 16:39:52,1,9.03,200,Red,team,,Excel Esports,,Karthus,Urgot,Kennen,Syndra,Lissandra,2530,0,11,11,29,11,11,1.0,0.0,0.0,0.0,0.0,,,,0.2609,0.5217,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,11.0,0.0,0.0,0.0,3.0,66347,1573.4466,,2297.2411,2176.7905,157,3.7233,65,1.5415,67,290.0,6.8775,65807,38623,915.9605,,66050.0,-0.0866857,,1047.0,205,169,4,29.6917,15454.0,18553.0,339.0,15750.0,18811.0,329.0,-296.0,-258.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,24420.0,29337.0,505.0,23927.0,28753.0,512.0,493.0,584.0,-7.0,5.0,10.0,2.0,2.0,3.0,5.0
