,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
851,ESPORTSTMNT02/980590,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980590?gameHash=3693617638d986c7&amp;tab=overview,LEC,2019,Spring,0,2019-01-18 20:35:28,1,9.01,200,Red,team,,FC Schalke 04 Esports,,Galio,Cassiopeia,Draven,Rakan,Alistar,1896,1,12,8,26,12,8,1.0,0.0,0.0,0.0,1.0,,,,0.3797,0.6329,1.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,3.0,0.0,1.0,1.0,0.0,56425,1785.6013,,2319.6519,1568.1329,112,3.5443,40,1.2658,41,228.0,7.2152,58429,37712,1193.4177,,50105.0,-0.0342308,,821.0,196,122,22,32.1835,16456.0,19628.0,332.0,15724.0,19198.0,326.0,732.0,430.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,25055.0,31288.0,529.0,24987.0,30891.0,530.0,68.0,397.0,-1.0,3.0,4.0,2.0,2.0,2.0,3.0
1343,ESPORTSTMNT02/980683,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT02/980683?gameHash=b768958d08a63e93&amp;tab=overview,LEC,2019,Spring,0,2019-01-19 15:22:03,1,9.01,200,Red,team,,FC Schalke 04 Esports,,Cassiopeia,Rakan,Jayce,Sion,Sejuani,1448,0,5,22,8,5,22,0.0,0.0,0.0,0.0,0.0,,,,0.2072,1.1188,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,37383,1549.0193,,3235.2348,2332.0856,65,2.6934,20,0.8287,23,126.0,5.221,37015,20867,864.6547,,34650.0,-0.27451,,567.0,126,85,18,28.7155,15190.0,18765.0,307.0,17596.0,21258.0,356.0,-2406.0,-2493.0,-49.0,1.0,1.0,3.0,3.0,4.0,1.0,23951.0,29911.0,483.0,29121.0,34417.0,559.0,-5170.0,-4506.0,-76.0,2.0,1.0,8.0,8.0,12.0,2.0
3658,ESPORTSTMNT05/1080623,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT05/1080623?gameHash=215e8e02cadeb046&amp;tab=overview,LEC,2019,Spring,0,2019-01-25 20:18:08,1,9.01,100,Blue,team,,FC Schalke 04 Esports,,Xin Zhao,Rakan,Cassiopeia,Nocturne,Kha'Zix,2433,1,18,8,51,18,8,2.0,1.0,1.0,0.0,1.0,,,,0.4439,0.6165,0.0,4.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,10.0,2.0,0.0,1.0,2.0,0.0,108239,2669.2725,,2638.545,1742.8113,141,3.4772,73,1.8002,56,358.0,8.8286,79698,53503,1319.4328,,71273.0,0.179886,,1043.0,290,179,36,32.873,15280.0,18553.0,330.0,15888.0,19167.0,351.0,-608.0,-614.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,25661.0,30634.0,538.0,24867.0,29617.0,520.0,794.0,1017.0,18.0,1.0,2.0,2.0,2.0,4.0,1.0
4162,ESPORTSTMNT05/1070772,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070772?gameHash=d07c71369a4e3b5c&amp;tab=overview,LEC,2019,Spring,0,2019-01-26 15:28:02,1,9.01,100,Blue,team,,FC Schalke 04 Esports,,Rakan,Xin Zhao,Karthus,Jayce,Olaf,2303,1,23,7,50,23,7,3.0,1.0,0.0,0.0,1.0,,,,0.5992,0.7816,1.0,5.0,0.0,5.0,0.0,2.0,0.0,0.0,3.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,11.0,1.0,1.0,1.0,4.0,0.0,73919,1925.8098,,3259.9826,2995.4928,138,3.5953,73,1.9019,53,379.0,9.8741,79030,54161,1411.0551,,64200.0,0.0184712,,1032.0,251,130,45,33.426,16538.0,18747.0,283.0,14612.0,17703.0,305.0,1926.0,1044.0,-22.0,4.0,6.0,0.0,0.0,0.0,4.0,27017.0,31916.0,483.0,23280.0,29860.0,517.0,3737.0,2056.0,-34.0,7.0,11.0,0.0,0.0,0.0,7.0
6395,ESPORTSTMNT04/890242,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/890242?gameHash=a6438d8c7cad45f0&amp;tab=overview,LEC,2019,Spring,0,2019-02-01 17:32:53,1,9.02,200,Red,team,,FC Schalke 04 Esports,,Cassiopeia,Karthus,Urgot,Kai'Sa,Vayne,2120,1,16,7,39,16,7,4.0,0.0,0.0,0.0,0.0,,,,0.4528,0.6509,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,11.0,2.0,1.0,1.0,5.0,0.0,91695,2595.1415,,2306.5189,1975.2453,103,2.9151,45,1.2736,35,266.0,7.5283,73908,50906,1440.7358,,63170.0,0.0831856,,1060.0,252,153,34,37.1321,16768.0,19056.0,337.0,16107.0,19072.0,311.0,661.0,-16.0,26.0,2.0,3.0,2.0,2.0,2.0,2.0,25949.0,30155.0,536.0,24116.0,30128.0,507.0,1833.0,27.0,29.0,3.0,4.0,2.0,2.0,2.0,3.0
6827,ESPORTSTMNT04/890353,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT04/890353?gameHash=f5f110807e2e88b1&amp;tab=overview,LEC,2019,Spring,0,2019-02-02 16:51:03,1,9.02,200,Red,team,,FC Schalke 04 Esports,,Cassiopeia,Urgot,Sion,Yasuo,Irelia,1791,1,9,6,15,9,6,0.0,0.0,0.0,0.0,1.0,,,,0.3015,0.5025,1.0,4.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,11.0,1.0,0.0,1.0,3.0,0.0,47367,1586.8342,,2255.7119,1783.5846,106,3.5511,50,1.675,47,228.0,7.6382,64108,44462,1489.5142,,51413.0,0.18516,,974.0,235,121,47,40.5025,16586.0,18585.0,339.0,15009.0,18265.0,273.0,1577.0,320.0,66.0,2.0,2.0,3.0,3.0,4.0,2.0,26637.0,30544.0,564.0,23822.0,29166.0,457.0,2815.0,1378.0,107.0,2.0,2.0,4.0,4.0,5.0,2.0
8338,ESPORTSTMNT04/890823,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT04/890823?gameHash=8f09f34917b3444d&amp;tab=overview,LEC,2019,Spring,0,2019-02-08 16:24:47,1,9.02,100,Blue,team,,FC Schalke 04 Esports,,Draven,Kai'Sa,Urgot,Sion,Nocturne,1568,1,15,4,30,15,4,3.0,0.0,0.0,0.0,0.0,,,,0.574,0.727,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,2.0,0.0,1.0,3.0,0.0,52204,1997.602,,1776.6582,1552.3087,77,2.9464,37,1.4158,32,188.0,7.1939,54689,37317,1427.9464,,43370.0,0.180904,,822.0,153,103,12,37.3087,15777.0,18485.0,332.0,16348.0,19218.0,324.0,-571.0,-733.0,8.0,0.0,0.0,2.0,2.0,2.0,0.0,26424.0,32095.0,540.0,25190.0,28943.0,493.0,1234.0,3152.0,47.0,5.0,11.0,3.0,3.0,3.0,5.0
8734,ESPORTSTMNT04/880970,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880970?gameHash=8ea642eb7bf51602&amp;tab=overview,LEC,2019,Spring,0,2019-02-09 15:18:35,1,9.02,100,Blue,team,,FC Schalke 04 Esports,,Draven,Cassiopeia,Urgot,Syndra,Zoe,1801,0,2,13,3,2,13,0.0,0.0,0.0,0.0,0.0,,,,0.0666,0.4997,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,11.0,0.0,0.0,0.0,3.0,34590,1152.3598,,2179.789,1643.8534,103,3.4314,36,1.1993,36,201.0,6.6963,49723,29975,998.6119,,46458.0,-0.10507,,893.0,159,122,4,35.0472,15747.0,18592.0,354.0,15766.0,19110.0,355.0,-19.0,-518.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,24051.0,28793.0,536.0,24064.0,29763.0,519.0,-13.0,-970.0,17.0,0.0,0.0,3.0,3.0,2.0,0.0
10883,ESPORTSTMNT05/1100307,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT05/1100307?gameHash=1cc40f7de2c40e5c&amp;tab=overview,LEC,2019,Spring,0,2019-02-15 19:40:59,1,9.03,200,Red,team,,FC Schalke 04 Esports,,Sylas,Lucian,Alistar,Karthus,Nocturne,2048,1,8,3,21,8,3,1.0,0.0,0.0,0.0,1.0,,,,0.2344,0.3223,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,11.0,1.0,1.0,1.0,3.0,0.0,63604,1863.3984,,2058.2227,1974.7266,112,3.2813,58,1.6992,48,273.0,7.998,65322,43054,1261.3477,,57325.0,0.102069,,976.0,230,108,46,35.332,15768.0,18440.0,328.0,14477.0,17803.0,305.0,1291.0,637.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0,24723.0,29868.0,538.0,22677.0,29019.0,509.0,2046.0,849.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0
11494,ESPORTSTMNT05/1100437,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1100437?gameHash=23b6222372ca568e&amp;tab=overview,LEC,2019,Spring,0,2019-02-16 17:52:24,1,9.03,100,Blue,team,,FC Schalke 04 Esports,,Draven,Olaf,LeBlanc,Morgana,Gragas,1663,0,6,18,12,6,18,0.0,0.0,0.0,0.0,0.0,,,,0.2165,0.8659,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,39574,1427.8052,,2799.543,2324.3055,87,3.1389,43,1.5514,34,161.0,5.8088,42258,23917,862.9104,,39675.0,-0.232247,,761.0,123,98,0,31.8942,14714.0,17549.0,291.0,16576.0,19224.0,340.0,-1862.0,-1675.0,-49.0,2.0,2.0,4.0,4.0,4.0,2.0,22434.0,28785.0,497.0,26723.0,31319.0,550.0,-4289.0,-2534.0,-53.0,2.0,2.0,6.0,6.0,8.0,2.0
