,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
863,ESPORTSTMNT02/990708,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990708?gameHash=590131306fb4ed14&amp;tab=overview,LEC,2019,Spring,0,2019-01-18 21:39:22,1,9.01,200,Red,team,,Misfits Gaming,,Cassiopeia,Aatrox,,Ezreal,Caitlyn,1473,1,12,3,30,12,3,2.0,1.0,0.0,0.0,1.0,,,,0.4888,0.611,1.0,4.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,1.0,1.0,1.0,0.0,44806,1825.0916,,1913.5642,2196.0489,80,3.2587,31,1.2627,36,179.0,7.2912,49990,33587,1368.1059,,38900.0,0.189237,,658.0,150,67,38,32.9124,15992.0,18799.0,316.0,14843.0,18476.0,329.0,1149.0,323.0,-13.0,2.0,3.0,0.0,0.0,0.0,2.0,25591.0,29534.0,490.0,22538.0,28486.0,497.0,3053.0,1048.0,-7.0,3.0,4.0,1.0,1.0,2.0,3.0
1414,ESPORTSTMNT02/980715,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT02/980715?gameHash=789db76e3dd33dd2&amp;tab=overview,LEC,2019,Spring,0,2019-01-19 18:52:42,1,9.01,100,Blue,team,,Misfits Gaming,,Ezreal,Xin Zhao,Viktor,Xayah,Kai'Sa,1369,1,21,4,42,21,4,4.0,0.0,0.0,0.0,1.0,,,,0.9204,1.0957,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,1.0,3.0,0.0,45151,1978.8605,,2338.5537,1900.4091,64,2.805,17,0.7451,36,133.0,5.8291,48487,33145,1452.6662,,42875.0,0.323061,,607.0,102,44,26,31.0738,18787.0,17803.0,315.0,13625.0,15695.0,247.0,5162.0,2108.0,68.0,6.0,11.0,1.0,1.0,1.0,6.0,31622.0,30960.0,497.0,21514.0,26270.0,403.0,10108.0,4690.0,94.0,14.0,23.0,2.0,2.0,4.0,14.0
3671,ESPORTSTMNT05/1080636,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT05/1080636?gameHash=d3d7792903ef86fb&amp;tab=overview,LEC,2019,Spring,0,2019-01-25 21:39:51,1,9.01,200,Red,team,,Misfits Gaming,,Aatrox,Cassiopeia,Irelia,Ezreal,Morgana,1872,1,18,8,47,18,8,2.0,0.0,0.0,0.0,1.0,,,,0.5769,0.8333,1.0,5.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,10.0,1.0,1.0,1.0,2.0,0.0,67140,2151.9231,,3287.3077,3815.5128,106,3.3974,41,1.3141,55,245.0,7.8526,62795,42323,1356.5064,,55500.0,0.19216,,842.0,190,107,25,33.0769,16589.0,18825.0,324.0,15510.0,18905.0,333.0,1079.0,-80.0,-9.0,3.0,5.0,0.0,0.0,0.0,3.0,25710.0,31176.0,527.0,24013.0,29736.0,531.0,1697.0,1440.0,-4.0,5.0,6.0,1.0,1.0,2.0,5.0
4246,ESPORTSTMNT05/1070856,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070856?gameHash=bd00b7a8292cc105&amp;tab=overview,LEC,2019,Spring,0,2019-01-26 20:04:20,1,9.01,100,Blue,team,,Misfits Gaming,,Jayce,Cassiopeia,Irelia,Morgana,Thresh,1593,0,6,18,11,6,18,0.0,0.0,0.0,0.0,1.0,,,,0.226,0.904,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,0.0,0.0,0.0,3.0,38518,1450.7721,,3318.0038,2189.6422,81,3.0508,21,0.791,34,146.0,5.4991,41951,24324,916.1582,,38500.0,-0.15237,,661.0,149,102,8,30.5085,16479.0,19411.0,317.0,16315.0,19029.0,318.0,164.0,382.0,-1.0,3.0,5.0,2.0,2.0,3.0,3.0,25669.0,30212.0,501.0,25801.0,30321.0,501.0,-132.0,-109.0,0.0,4.0,7.0,4.0,4.0,5.0,4.0
6431,ESPORTSTMNT04/890269,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/890269?gameHash=8ce9c7d836e205c9&amp;tab=overview,LEC,2019,Spring,0,2019-02-01 19:45:08,1,9.02,200,Red,team,,Misfits Gaming,,Cassiopeia,Aatrox,Lucian,Lissandra,Olaf,2077,0,3,12,6,3,12,1.0,0.0,0.0,0.0,0.0,,,,0.0867,0.4333,1.0,3.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,11.0,0.0,0.0,0.0,3.0,45387,1311.1314,,2267.5494,2010.9677,111,3.2065,48,1.3866,53,238.0,6.8753,57456,34893,1007.9827,,56433.0,-0.0482803,,995.0,181,117,9,33.9721,15390.0,18401.0,328.0,15422.0,17502.0,312.0,-32.0,899.0,16.0,1.0,0.0,1.0,1.0,1.0,1.0,24871.0,29725.0,532.0,25463.0,29190.0,515.0,-592.0,535.0,17.0,1.0,0.0,2.0,2.0,2.0,1.0
6898,ESPORTSTMNT04/890377,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT04/890377?gameHash=6a1d2b18e44e1815&amp;tab=overview,LEC,2019,Spring,0,2019-02-02 20:06:46,1,9.02,100,Blue,team,,Misfits Gaming,,Cassiopeia,Thresh,Lissandra,Syndra,Swain,2023,1,17,2,41,17,2,1.0,1.0,0.0,0.0,1.0,,,,0.5042,0.5635,1.0,5.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,11.0,0.0,1.0,1.0,3.0,0.0,67197,1992.9906,,2354.3549,2324.5774,120,3.5591,42,1.2457,45,253.0,7.5037,66980,44967,1333.6728,,58945.0,0.204272,,882.0,245,103,69,33.4256,15851.0,18484.0,330.0,13640.0,17828.0,273.0,2211.0,656.0,57.0,1.0,0.0,0.0,0.0,0.0,1.0,26074.0,29282.0,516.0,21082.0,28030.0,442.0,4992.0,1252.0,74.0,3.0,4.0,0.0,0.0,0.0,3.0
8339,ESPORTSTMNT04/890823,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT04/890823?gameHash=8f09f34917b3444d&amp;tab=overview,LEC,2019,Spring,0,2019-02-08 16:24:47,1,9.02,200,Red,team,,Misfits Gaming,,Thresh,Lucian,Gragas,Olaf,Camille,1568,0,4,15,6,4,15,0.0,0.0,0.0,0.0,1.0,,,,0.1531,0.727,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,1.0,0.0,0.0,3.0,22442,858.75,,2763.9796,2025.6505,76,2.9082,19,0.727,34,128.0,4.898,41380,24008,918.6735,,36175.0,-0.180904,,703.0,129,93,2,31.8367,16348.0,19218.0,324.0,15777.0,18485.0,332.0,571.0,733.0,-8.0,2.0,2.0,0.0,0.0,0.0,2.0,25190.0,28943.0,493.0,26424.0,32095.0,540.0,-1234.0,-3152.0,-47.0,3.0,3.0,5.0,5.0,11.0,3.0
8783,ESPORTSTMNT04/881008,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/881008?gameHash=41e98536476b249b&amp;tab=overview,LEC,2019,Spring,0,2019-02-09 17:44:14,1,9.02,200,Red,team,,Misfits Gaming,,Cassiopeia,Lucian,Urgot,Ezreal,Viktor,2709,0,11,17,20,11,17,2.0,1.0,0.0,0.0,0.0,,,,0.2436,0.6202,0.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,8.0,7.0,1.0,0.0,2.0,1.0,92184,2041.7276,,2829.0365,3102.7021,172,3.8095,64,1.4175,73,340.0,7.5305,84246,55236,1223.3887,,82085.0,0.0882119,,1206.0,275,187,29,32.8018,15966.0,18722.0,351.0,16819.0,19627.0,368.0,-853.0,-905.0,-17.0,0.0,0.0,1.0,1.0,2.0,0.0,24558.0,28751.0,506.0,26475.0,31344.0,562.0,-1917.0,-2593.0,-56.0,2.0,3.0,5.0,5.0,9.0,2.0
10894,ESPORTSTMNT05/1100320,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT05/1100320?gameHash=f4192595bc2ca5e5&amp;tab=overview,LEC,2019,Spring,0,2019-02-15 20:44:32,1,9.03,100,Blue,team,,Misfits Gaming,,Sylas,Cassiopeia,Jayce,Karma,Ivern,1719,0,4,14,11,4,14,0.0,0.0,0.0,0.0,0.0,,,,0.1396,0.6283,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,3.0,31804,1110.0873,,2192.1815,2194.8691,88,3.0716,41,1.4311,37,161.0,5.6195,43326,24414,852.1466,,40595.0,-0.221526,,810.0,128,109,0,32.74,14862.0,18197.0,324.0,17315.0,19638.0,349.0,-2453.0,-1441.0,-25.0,1.0,1.0,4.0,4.0,5.0,1.0,22108.0,28552.0,509.0,28064.0,31427.0,560.0,-5956.0,-2875.0,-51.0,1.0,1.0,5.0,5.0,6.0,1.0
11530,ESPORTSTMNT05/1100450,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1100450?gameHash=6c305bca52278633&amp;tab=overview,LEC,2019,Spring,0,2019-02-16 18:46:26,1,9.03,100,Blue,team,,Misfits Gaming,,Sylas,Cassiopeia,Olaf,LeBlanc,Yasuo,1631,0,4,9,9,4,9,0.0,0.0,0.0,0.0,0.0,,,,0.1471,0.4782,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,1.0,1.0,0.0,1.0,28004,1030.1901,,2533.4273,2486.8915,88,3.2373,24,0.8829,40,163.0,5.9963,43295,25281,930.0184,,41100.0,-0.0534704,,742.0,151,116,3,32.851,15063.0,18819.0,337.0,15920.0,18931.0,348.0,-857.0,-112.0,-11.0,0.0,0.0,1.0,1.0,1.0,0.0,23522.0,29042.0,526.0,24535.0,30748.0,535.0,-1013.0,-1706.0,-9.0,0.0,0.0,3.0,3.0,4.0,0.0
13943,ESPORTSTMNT05/1090969,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT05/1090969?gameHash=3d64be9ef7cfde1a&amp;tab=overview,LEC,2019,Spring,0,2019-02-22 19:32:20,1,9.03,200,Red,team,,Misfits Gaming,,Karthus,Urgot,Jayce,Olaf,Nocturne,2532,1,18,11,40,18,11,1.0,0.0,0.0,0.0,1.0,,,,0.4265,0.6872,1.0,4.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,11.0,1.0,1.0,1.0,4.0,0.0,97645,2313.8626,,3529.9526,4057.0142,132,3.128,44,1.0427,57,318.0,7.5355,80329,53125,1258.8863,,77408.0,0.0997979,,1081.0,283,172,24,32.3223,15077.0,18905.0,345.0,14757.0,18629.0,331.0,320.0,276.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,24176.0,29313.0,518.0,22091.0,27845.0,500.0,2085.0,1468.0,18.0,3.0,4.0,1.0,1.0,3.0,3.0
14603,ESPORTSTMNT05/1101076,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1101076?gameHash=8b5cbc0d2f82494f&amp;tab=overview,LEC,2019,Spring,0,2019-02-23 17:43:37,1,9.03,200,Red,team,,Misfits Gaming,,Yasuo,Cassiopeia,Lucian,Ezreal,LeBlanc,2577,1,12,9,35,12,9,0.0,0.0,0.0,0.0,1.0,,,,0.2794,0.4889,1.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,10.0,5.0,1.0,1.0,3.0,2.0,71925,1674.6217,,2040.5122,3106.9616,147,3.4226,60,1.397,55,336.0,7.8231,81372,53709,1250.5006,,77985.0,0.116239,,1199.0,264,170,28,34.0629,15503.0,18305.0,330.0,15453.0,18601.0,324.0,50.0,-296.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,24210.0,28775.0,511.0,26418.0,31413.0,546.0,-2208.0,-2638.0,-35.0,2.0,3.0,3.0,3.0,4.0,2.0
17831,ESPORTSTMNT06/960189,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/960189?gameHash=01fdcb1be4e7b18c&amp;tab=overview,LEC,2019,Spring,0,2019-03-01 18:40:56,1,9.04,200,Red,team,,Misfits Gaming,,Zoe,Jayce,Draven,Elise,LeBlanc,1933,0,6,13,13,6,13,0.0,0.0,0.0,0.0,0.0,,,,0.1862,0.5898,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,1.0,0.0,0.0,1.0,45502,1412.3745,,2278.7894,1919.5654,113,3.5075,51,1.583,44,222.0,6.8908,50806,29711,922.2245,,47900.0,-0.0821781,,814.0,183,142,4,30.9467,14813.0,17224.0,299.0,16322.0,18737.0,344.0,-1509.0,-1513.0,-45.0,0.0,0.0,2.0,2.0,2.0,0.0,23918.0,29871.0,493.0,25855.0,29927.0,542.0,-1937.0,-56.0,-49.0,3.0,6.0,4.0,4.0,5.0,3.0
18694,ESPORTSTMNT06/960288,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/960288?gameHash=04c54facbb98c07e,LEC,2019,Spring,0,2019-03-02 18:35:48,1,9.04,100,Blue,team,,Misfits Gaming,,Zoe,Ryze,Zilean,Olaf,Renekton,2440,1,21,22,42,21,22,2.0,1.0,0.0,0.0,0.0,,,,0.5164,1.0574,1.0,5.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,10.0,5.0,0.0,1.0,2.0,1.0,84202,2070.541,,2860.8689,2542.6475,161,3.959,58,1.4262,53,336.0,8.2623,80525,54259,1334.2377,,75287.0,0.0582591,,977.0,295,163,48,31.2787,16518.0,19270.0,325.0,16775.0,18686.0,322.0,-257.0,584.0,3.0,2.0,2.0,4.0,4.0,5.0,2.0,25259.0,30044.0,517.0,26061.0,28835.0,504.0,-802.0,1209.0,13.0,2.0,2.0,6.0,6.0,10.0,2.0
21959,ESPORTSTMNT06/970764,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/970764?gameHash=34af171c8f35756c,LEC,2019,Spring,0,2019-03-08 20:52:51,1,9.04,200,Red,team,,Misfits Gaming,,Tristana,Elise,Lee Sin,Nocturne,Jayce,2100,0,3,17,7,3,17,0.0,0.0,0.0,0.0,0.0,,,,0.0857,0.5714,1.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,9.0,1.0,0.0,0.0,1.0,56844,1624.1143,,3070.5429,3414.6286,151,4.3143,46,1.3143,63,269.0,7.6857,57101,34303,980.0857,,55200.0,-0.163062,,1040.0,198,136,8,35.3714,15570.0,18566.0,342.0,16192.0,19445.0,316.0,-622.0,-879.0,26.0,1.0,1.0,3.0,3.0,3.0,1.0,24385.0,29515.0,558.0,24994.0,30673.0,534.0,-609.0,-1158.0,24.0,1.0,1.0,3.0,3.0,3.0,1.0
22642,ESPORTSTMNT06/960823,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/960823?gameHash=b89cdea53f4e5c3c,LEC,2019,Spring,0,2019-03-09 15:21:01,1,9.04,100,Blue,team,,Misfits Gaming,,Jayce,Thresh,Lissandra,Ryze,Yorick,1754,0,3,17,5,3,17,0.0,0.0,0.0,0.0,0.0,,,,0.1026,0.6842,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,27891,954.0821,,2924.2303,1760.0798,100,3.4208,50,1.7104,48,184.0,6.2942,45042,25773,881.6306,,43205.0,-0.198478,,865.0,139,111,4,34.3444,15110.0,18721.0,355.0,16436.0,19814.0,360.0,-1326.0,-1093.0,-5.0,0.0,0.0,1.0,1.0,1.0,0.0,23528.0,30123.0,547.0,25224.0,30088.0,545.0,-1696.0,35.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0
25858,ESPORTSTMNT04/910229,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/910229?gameHash=ba5908f8f1988d07,LEC,2019,Spring,0,2019-03-15 16:33:12,1,9.05,100,Blue,team,,Misfits Gaming,,Ryze,Karthus,Jayce,Jax,Renekton,2445,0,8,17,15,8,17,0.0,0.0,0.0,0.0,1.0,,,,0.1963,0.6135,1.0,3.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,11.0,1.0,1.0,2.0,3.0,78437,1924.8344,,2965.5951,2453.6933,142,3.4847,63,1.546,68,309.0,7.5828,66244,39927,979.8037,,63516.0,-0.103165,,1044.0,234,136,34,31.362,15754.0,18729.0,328.0,14363.0,18276.0,313.0,1391.0,453.0,15.0,1.0,2.0,0.0,0.0,0.0,1.0,24701.0,29674.0,517.0,22383.0,28931.0,503.0,2318.0,743.0,14.0,2.0,3.0,1.0,1.0,0.0,2.0
