,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
4655,ESPORTSTMNT01/1302651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302651?gameHash=555c7cd73dff952d,LCK,2020,Spring,0,2020-02-05 11:33:06,1,10.02,200,Red,team,,Gen.G,,Olaf,Sett,Elise,Rumble,Blitzcrank,1748,0,2,11,6,2,11,0.0,0.0,0.0,0.0,1.0,,,,0.0686,0.4462,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,9.0,1.0,1.0,0.0,1.0,39327,1349.897,,1978.1808,1827.3913,105,3.6041,39,1.3387,49,197.0,6.762,43176,23968,822.7002,,41685.0,-0.0546027,,743.0,160,108,12,30.9954,15351.0,16905.0,304.0,14545.0,17867.0,309.0,806.0,-962.0,-5.0,2.0,6.0,1.0,1.0,2.0,2.0,23247.0,28460.0,516.0,23149.0,28761.0,498.0,98.0,-301.0,18.0,2.0,6.0,3.0,3.0,7.0,2.0
4666,ESPORTSTMNT01/1292960,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292960?gameHash=e3ce73c142354517,LCK,2020,Spring,0,2020-02-05 13:10:34,2,10.02,100,Blue,team,,Gen.G,,Olaf,Aphelios,Jarvan IV,Aatrox,Mordekaiser,1609,1,8,0,25,8,0,1.0,0.0,0.0,0.0,1.0,,,,0.2983,0.2983,1.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,2.0,1.0,1.0,2.0,0.0,31993,1193.0267,,1662.5482,2159.8135,98,3.6544,38,1.417,42,211.0,7.8682,49933,32143,1198.6203,,42785.0,0.110416,,763.0,203,97,50,36.0224,15251.0,18644.0,360.0,14639.0,18090.0,318.0,612.0,554.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,24823.0,29435.0,565.0,22647.0,28072.0,507.0,2176.0,1363.0,58.0,1.0,1.0,0.0,0.0,0.0,1.0
4679,ESPORTSTMNT01/1292974,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292974?gameHash=ab79b8f6f354bc0b,LCK,2020,Spring,0,2020-02-05 13:54:23,3,10.02,200,Red,team,,Gen.G,,Aphelios,Ornn,Jarvan IV,Xayah,Leona,1878,1,12,5,25,12,5,2.0,1.0,0.0,0.0,1.0,,,,0.3834,0.5431,1.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,2.0,0.0,49621,1585.3355,,2324.7604,2764.0256,120,3.8339,55,1.7572,42,212.0,6.7732,56780,36246,1158.0192,,52225.0,0.154319,,812.0,214,133,28,32.7796,15426.0,19059.0,315.0,14587.0,17851.0,328.0,839.0,1208.0,-13.0,2.0,2.0,0.0,0.0,0.0,2.0,24082.0,30070.0,508.0,23147.0,29536.0,527.0,935.0,534.0,-19.0,2.0,2.0,1.0,1.0,1.0,2.0
6034,ESPORTSTMNT01/1304122,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304122?gameHash=bf7e80351592ce98,LCK,2020,Spring,0,2020-02-08 10:09:13,1,10.02,100,Blue,team,,Gen.G,,Taliyah,Soraka,Mordekaiser,Qiyana,Tryndamere,1669,1,8,0,21,8,0,2.0,1.0,1.0,0.0,1.0,,,,0.2876,0.2876,1.0,4.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,3.0,1.0,1.0,3.0,0.0,27345,983.0437,,1524.0144,1857.3397,87,3.1276,49,1.7615,34,214.0,7.6932,52442,34040,1223.7268,,48495.0,0.181511,,827.0,195,94,38,36.7406,15711.0,18569.0,365.0,14307.0,17236.0,317.0,1404.0,1333.0,48.0,1.0,2.0,0.0,0.0,0.0,1.0,24754.0,29577.0,571.0,22801.0,28629.0,543.0,1953.0,948.0,28.0,1.0,2.0,0.0,0.0,0.0,1.0
6083,ESPORTSTMNT01/1294417,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294417?gameHash=746905a629b8f374,LCK,2020,Spring,0,2020-02-08 11:38:24,2,10.02,200,Red,team,,Gen.G,,Taliyah,Akali,Soraka,Rumble,Galio,2362,1,13,7,31,13,7,2.0,1.0,0.0,0.0,1.0,,,,0.3302,0.508,0.0,4.0,2.0,4.0,2.0,3.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,3.0,1.0,1.0,2.0,0.0,68865,1749.3226,,2162.2862,2217.9678,160,4.0644,76,1.9306,62,363.0,9.221,69944,44474,1129.7375,,63200.0,0.0405198,,977.0,280,173,25,31.9306,15095.0,18489.0,319.0,14492.0,17574.0,325.0,603.0,915.0,-6.0,1.0,1.0,0.0,0.0,0.0,1.0,24554.0,29195.0,517.0,22770.0,26939.0,505.0,1784.0,2256.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0
8627,ESPORTSTMNT01/1306047,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306047?gameHash=3ec6080ed834fb7f,LCK,2020,Spring,0,2020-02-14 05:50:06,1,10.02,200,Red,team,,Gen.G,,Akali,Mordekaiser,Syndra,Lee Sin,Renekton,1948,1,7,0,12,7,0,2.0,1.0,0.0,0.0,1.0,,,,0.2156,0.2156,0.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,3.0,1.0,1.0,1.0,0.0,36121,1112.5565,,2198.193,2524.5893,126,3.8809,59,1.8172,55,263.0,8.1006,57016,35768,1101.6838,,51985.0,0.084925,,934.0,219,155,8,35.5133,15285.0,18860.0,366.0,15363.0,19074.0,366.0,-78.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23610.0,29502.0,553.0,23164.0,28590.0,553.0,446.0,912.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
8698,ESPORTSTMNT01/1306112,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306112?gameHash=065166ff0bf27a01,LCK,2020,Spring,0,2020-02-14 08:45:52,2,10.02,100,Blue,team,,Gen.G,,Mordekaiser,Aatrox,Syndra,Kled,Lucian,1746,1,19,5,40,19,5,3.0,0.0,0.0,0.0,0.0,,,,0.6529,0.8247,0.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,2.0,1.0,1.0,1.0,0.0,57252,1967.4227,,2696.0481,2522.0619,101,3.4708,58,1.9931,45,233.0,8.0069,56748,37561,1290.756,,50800.0,0.1489,,759.0,188,99,38,32.543,16043.0,18534.0,326.0,16192.0,18492.0,316.0,-149.0,42.0,10.0,3.0,4.0,4.0,4.0,5.0,3.0,28485.0,31602.0,498.0,23875.0,27480.0,486.0,4610.0,4122.0,12.0,11.0,22.0,5.0,5.0,7.0,11.0
9563,ESPORTSTMNT01/1296689,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1296689?gameHash=2a54ba40de91870b,LCK,2020,Spring,0,2020-02-16 10:35:30,1,10.02,200,Red,team,,Gen.G,,Rek'Sai,Sett,Soraka,LeBlanc,Rumble,2620,0,4,12,6,4,12,0.0,0.0,0.0,0.0,1.0,,,,0.0916,0.3664,1.0,1.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,54122,1239.4351,,2274.7557,2231.9542,171,3.916,105,2.4046,80,366.0,8.3817,67749,39647,907.9466,,64960.0,-0.0283037,,1132.0,271,193,22,32.1298,15254.0,18658.0,343.0,15142.0,18609.0,352.0,112.0,49.0,-9.0,1.0,1.0,0.0,0.0,0.0,1.0,22802.0,28330.0,518.0,22970.0,29441.0,545.0,-168.0,-1111.0,-27.0,1.0,1.0,1.0,1.0,0.0,1.0
9658,ESPORTSTMNT01/1296707,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1296707?gameHash=413bccde098d6c8d,LCK,2020,Spring,0,2020-02-16 12:02:51,2,10.02,100,Blue,team,,Gen.G,,Gragas,Rek'Sai,Soraka,Renekton,Nautilus,1861,1,8,1,24,8,1,2.0,0.0,0.0,0.0,1.0,,,,0.2579,0.2902,1.0,3.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,42247,1362.0742,,1529.5648,1750.7362,107,3.4498,65,2.0956,47,272.0,8.7695,56886,36526,1177.6249,,51200.0,0.131668,,951.0,220,117,43,37.7539,15853.0,19138.0,367.0,14059.0,17732.0,292.0,1794.0,1406.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,25101.0,29877.0,572.0,21539.0,28200.0,484.0,3562.0,1677.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
9743,ESPORTSTMNT01/1296710,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1296710?gameHash=6780ab653e07123a,LCK,2020,Spring,0,2020-02-16 12:54:27,3,10.02,200,Red,team,,Gen.G,,Soraka,Sett,Aphelios,Viktor,Nautilus,2322,0,4,9,8,4,9,0.0,0.0,0.0,0.0,1.0,,,,0.1034,0.3359,0.0,2.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,56888,1469.9742,,2178.2946,2858.1912,186,4.8062,84,2.1705,69,349.0,9.0181,63363,38301,989.6899,,62283.0,0.0232756,,1082.0,279,228,5,35.168,15625.0,18849.0,340.0,15085.0,18896.0,357.0,540.0,-47.0,-17.0,1.0,1.0,0.0,0.0,0.0,1.0,24251.0,30797.0,552.0,25160.0,30524.0,560.0,-909.0,273.0,-8.0,2.0,3.0,2.0,2.0,5.0,2.0
