,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
4654,ESPORTSTMNT01/1302651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302651?gameHash=555c7cd73dff952d,LCK,2020,Spring,0,2020-02-05 11:33:06,1,10.02,100,Blue,team,,KT Rolster,,Irelia,Gragas,Akali,Nautilus,LeBlanc,1748,1,11,2,33,11,2,1.0,0.0,0.0,0.0,0.0,,,,0.3776,0.4462,1.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,3.0,0.0,0.0,1.0,0.0,42145,1446.6247,,2419.7712,2589.1648,101,3.4668,51,1.7506,47,234.0,8.032,52942,33734,1157.9176,,44025.0,0.0546027,,757.0,175,106,19,31.9908,14545.0,17867.0,309.0,15351.0,16905.0,304.0,-806.0,962.0,5.0,1.0,2.0,2.0,2.0,6.0,1.0,23149.0,28761.0,498.0,23247.0,28460.0,516.0,-98.0,301.0,-18.0,3.0,7.0,2.0,2.0,6.0,3.0
4667,ESPORTSTMNT01/1292960,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292960?gameHash=e3ce73c142354517,LCK,2020,Spring,0,2020-02-05 13:10:34,2,10.02,200,Red,team,,KT Rolster,,Akali,Sett,Elise,Xayah,Varus,1609,0,0,8,0,0,8,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.2983,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,2.0,20077,748.6762,,2094.2573,1692.1193,92,3.4307,37,1.3797,44,193.0,7.197,40106,22316,832.169,,38308.0,-0.110416,,726.0,159,106,14,33.0019,14639.0,18090.0,318.0,15251.0,18644.0,360.0,-612.0,-554.0,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,22647.0,28072.0,507.0,24823.0,29435.0,565.0,-2176.0,-1363.0,-58.0,0.0,0.0,1.0,1.0,1.0,0.0
4678,ESPORTSTMNT01/1292974,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292974?gameHash=ab79b8f6f354bc0b,LCK,2020,Spring,0,2020-02-05 13:54:23,3,10.02,100,Blue,team,,KT Rolster,,Akali,Kalista,Zoe,LeBlanc,Nautilus,1878,0,5,12,8,5,12,0.0,0.0,0.0,0.0,0.0,,,,0.1597,0.5431,0.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,2.0,46413,1482.8435,,2647.6677,2034.9521,125,3.9936,54,1.7252,45,252.0,8.0511,47845,27311,872.5559,,44743.0,-0.154319,,804.0,181,121,5,31.4696,14587.0,17851.0,328.0,15426.0,19059.0,315.0,-839.0,-1208.0,13.0,0.0,0.0,2.0,2.0,2.0,0.0,23147.0,29536.0,527.0,24082.0,30070.0,508.0,-935.0,-534.0,19.0,1.0,1.0,2.0,2.0,2.0,1.0
5567,ESPORTSTMNT01/1293929,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293929?gameHash=f4b6f53e68bbbc86,LCK,2020,Spring,0,2020-02-07 11:00:47,1,10.02,200,Red,team,,KT Rolster,,Akali,Irelia,Lucian,Miss Fortune,Xayah,2068,1,16,7,28,16,7,2.0,0.0,0.0,0.0,1.0,,,,0.4642,0.6673,0.0,4.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,2.0,1.0,1.0,2.0,0.0,64499,1871.3443,,2380.1257,2208.3075,146,4.236,77,2.234,59,289.0,8.3849,63313,40841,1184.942,,54250.0,0.0825336,,923.0,232,150,11,33.5106,15774.0,19436.0,344.0,14805.0,19195.0,338.0,969.0,241.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,25031.0,30440.0,512.0,22679.0,29116.0,513.0,2352.0,1324.0,-1.0,6.0,11.0,2.0,2.0,5.0,6.0
5590,ESPORTSTMNT01/1293950,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293950?gameHash=e2f3a99412844d36,LCK,2020,Spring,0,2020-02-07 12:27:11,2,10.02,100,Blue,team,,KT Rolster,,Irelia,Akali,Lucian,Thresh,Morgana,2030,0,2,20,3,2,20,0.0,0.0,0.0,0.0,1.0,,,,0.0591,0.6502,1.0,1.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,11.0,1.0,0.0,0.0,2.0,51626,1525.8916,,2614.1084,2645.2315,127,3.7537,53,1.5665,51,278.0,8.2167,50478,28394,839.2315,,49010.0,-0.188337,,880.0,187,143,7,31.5369,15611.0,18198.0,326.0,15428.0,18088.0,334.0,183.0,110.0,-8.0,2.0,3.0,1.0,1.0,1.0,2.0,22599.0,27594.0,498.0,26027.0,30480.0,535.0,-3428.0,-2886.0,-37.0,2.0,3.0,6.0,6.0,10.0,2.0
5615,ESPORTSTMNT01/1293964,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293964?gameHash=10bd6ec239231196,LCK,2020,Spring,0,2020-02-07 13:25:47,3,10.02,200,Red,team,,KT Rolster,,Akali,Lucian,Lee Sin,Thresh,Ornn,2192,0,5,13,10,5,13,0.0,0.0,0.0,0.0,1.0,,,,0.1369,0.4927,1.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,10.0,0.0,0.0,0.0,3.0,49975,1367.9288,,2331.5693,2600.7755,199,5.4471,67,1.8339,67,344.0,9.4161,59313,35577,973.823,,58408.0,-0.0544124,,1018.0,192,148,10,33.1204,15403.0,18226.0,315.0,14677.0,18206.0,332.0,726.0,20.0,-17.0,2.0,3.0,0.0,0.0,0.0,2.0,23110.0,28661.0,514.0,23674.0,29350.0,543.0,-564.0,-689.0,-29.0,2.0,3.0,2.0,2.0,5.0,2.0
8194,ESPORTSTMNT01/1305843,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1305843?gameHash=52b32c3f3ad75fb4,LCK,2020,Spring,0,2020-02-13 07:52:14,1,10.02,100,Blue,team,,KT Rolster,,Rek'Sai,Gragas,Karthus,LeBlanc,Sejuani,1918,0,3,12,7,3,12,0.0,0.0,0.0,0.0,0.0,,,,0.0938,0.4692,1.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,3.0,38596,1207.3827,,2510.7404,2212.5235,104,3.2534,43,1.3452,46,225.0,7.0386,49632,28690,897.4974,,48260.0,-0.140001,,869.0,191,130,4,33.1595,15172.0,18986.0,354.0,15285.0,18594.0,341.0,-113.0,392.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,22896.0,28805.0,527.0,24242.0,29963.0,549.0,-1346.0,-1158.0,-22.0,1.0,2.0,2.0,2.0,4.0,1.0
8207,ESPORTSTMNT01/1305850,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1305850?gameHash=375ab9898dfd8092,LCK,2020,Spring,0,2020-02-13 08:43:01,2,10.02,200,Red,team,,KT Rolster,,Aphelios,Sett,Akali,Rek'Sai,Diana,1613,0,3,9,6,3,9,0.0,0.0,0.0,0.0,1.0,,,,0.1116,0.4464,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,10.0,1.0,0.0,0.0,2.0,34775,1293.5524,,2439.7644,1638.3013,104,3.8686,51,1.8971,43,200.0,7.4396,40689,22858,850.2666,,39660.0,-0.176132,,729.0,126,94,4,31.8041,14992.0,17500.0,318.0,15974.0,18998.0,332.0,-982.0,-1498.0,-14.0,1.0,1.0,2.0,2.0,2.0,1.0,22869.0,27370.0,503.0,26592.0,31856.0,549.0,-3723.0,-4486.0,-46.0,1.0,1.0,6.0,6.0,5.0,1.0
9527,ESPORTSTMNT01/1296638,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1296638?gameHash=2c8f95497cc7ff14,LCK,2020,Spring,0,2020-02-16 06:06:01,1,10.02,200,Red,team,,KT Rolster,,Akali,Sett,Syndra,Varus,Xayah,1717,0,2,17,5,2,17,0.0,0.0,0.0,0.0,0.0,,,,0.0699,0.6639,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,29993,1048.0955,,2738.4391,1796.191,127,4.438,43,1.5026,53,212.0,7.4083,43020,24129,843.18,,40400.0,-0.223785,,794.0,162,132,0,33.4071,15569.0,18931.0,364.0,16054.0,18827.0,359.0,-485.0,104.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,23741.0,30505.0,563.0,26522.0,32026.0,597.0,-2781.0,-1521.0,-34.0,1.0,2.0,3.0,3.0,5.0,1.0
9538,ESPORTSTMNT01/1296656,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1296656?gameHash=0c3cb1103d1f16fb,LCK,2020,Spring,0,2020-02-16 08:40:41,2,10.02,100,Blue,team,,KT Rolster,,Rek'Sai,Syndra,Akali,Leona,Mordekaiser,1982,0,7,13,14,7,13,0.0,0.0,0.0,0.0,1.0,,,,0.2119,0.6054,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,9.0,1.0,1.0,0.0,1.0,36174,1095.0757,,2628.1937,2982.1695,108,3.2694,53,1.6044,50,267.0,8.0827,52976,31382,950.0101,,49958.0,-0.0703374,,831.0,162,107,12,30.0605,14720.0,17753.0,318.0,14723.0,17879.0,328.0,-3.0,-126.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,22995.0,29471.0,523.0,24248.0,29251.0,557.0,-1253.0,220.0,-34.0,1.0,1.0,0.0,0.0,0.0,1.0
