,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
11,ESPORTSTMNT03/1241318,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,KeSPA,2020,,0,2020-01-03 07:33:26,1,9.24,200,Red,team,,T1,,Lucian,Akali,Lee Sin,Olaf,Jarvan IV,2220,0,11,17,25,11,17,0.0,0.0,0.0,0.0,1.0,,,,0.2973,0.7568,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,8.0,1.0,1.0,0.0,1.0,48685,1315.8108,,2934.9459,3135.6486,172,4.6486,91,2.4595,69,318.0,8.5946,62709,38687,1045.5946,,62025.0,-0.00402253,,1021.0,271,193,5,34.9189,14498.0,17982.0,322.0,14615.0,17845.0,330.0,-117.0,137.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,22778.0,28884.0,519.0,21953.0,27219.0,507.0,825.0,1665.0,12.0,1.0,2.0,0.0,0.0,0.0,1.0
22,ESPORTSTMNT03/1241322,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,KeSPA,2020,,0,2020-01-03 09:00:58,2,9.24,100,Blue,team,,T1,,Syndra,LeBlanc,Rumble,Braum,Leona,2227,0,5,21,16,5,21,1.0,0.0,0.0,0.0,0.0,,,,0.1347,0.7005,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,9.0,1.0,0.0,0.0,1.0,72963,1965.7746,,2324.1042,2729.5016,144,3.8797,95,2.5595,58,254.0,6.8433,57283,33190,894.2075,,56575.0,-0.122771,,1011.0,183,151,1,32.1688,14180.0,16947.0,300.0,16194.0,19096.0,334.0,-2014.0,-2149.0,-34.0,0.0,0.0,3.0,3.0,3.0,0.0,21714.0,26869.0,501.0,27198.0,31702.0,557.0,-5484.0,-4833.0,-56.0,0.0,0.0,6.0,6.0,7.0,0.0
34,ESPORTSTMNT03/1241324,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,KeSPA,2020,,0,2020-01-03 10:05:17,3,9.24,100,Blue,team,,T1,,LeBlanc,Rumble,Lee Sin,Gragas,Olaf,1711,1,21,4,34,21,4,4.0,1.0,1.0,0.0,0.0,,,,0.7364,0.8767,1.0,4.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,2.0,0.0,50728,1778.8895,,2032.8112,2500.4676,111,3.8925,49,1.7183,42,262.0,9.1876,58078,39248,1376.3179,,50660.0,0.225957,,806.0,242,126,42,36.7504,15531.0,19034.0,365.0,14849.0,18419.0,340.0,682.0,615.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,24882.0,30349.0,584.0,22316.0,28252.0,531.0,2566.0,2097.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
46,ESPORTSTMNT03/1241328,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241328?gameHash=f4aeafb0f17b08c3,KeSPA,2020,,0,2020-01-03 10:57:28,4,9.24,100,Blue,team,,T1,,Rumble,Varus,LeBlanc,Aatrox,Syndra,1999,0,4,17,8,4,17,0.0,0.0,0.0,0.0,0.0,,,,0.1201,0.6303,1.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,35364,1061.4507,,2155.918,2295.1876,143,4.2921,57,1.7109,51,248.0,7.4437,50749,28981,869.8649,,48400.0,-0.170132,,813.0,206,150,12,30.5853,14313.0,16950.0,308.0,15892.0,17808.0,329.0,-1579.0,-858.0,-21.0,0.0,0.0,2.0,2.0,4.0,0.0,22329.0,26093.0,465.0,24800.0,29157.0,535.0,-2471.0,-3064.0,-70.0,2.0,3.0,5.0,5.0,9.0,2.0
4618,ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2020-02-05 06:34:49,1,10.02,100,Blue,team,,T1,,Syndra,Taliyah,Lucian,LeBlanc,Thresh,2441,0,14,20,24,14,20,2.0,1.0,0.0,0.0,0.0,,,,0.3441,0.8357,0.0,3.0,3.0,3.0,3.0,1.0,0.0,2.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,8.0,1.0,1.0,1.0,1.0,76993,1892.4949,,2803.5313,3518.2958,192,4.7194,78,1.9172,67,393.0,9.66,71879,45603,1120.9259,,67950.0,-0.0247093,,1100.0,296,204,3,34.3138,15541.0,19418.0,368.0,15597.0,18760.0,346.0,-56.0,658.0,22.0,0.0,0.0,1.0,1.0,1.0,0.0,24661.0,31445.0,576.0,23452.0,29209.0,557.0,1209.0,2236.0,19.0,2.0,3.0,1.0,1.0,1.0,2.0
4631,ESPORTSTMNT01/1302628,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302628?gameHash=0ab39ec364a3ff5b,LCK,2020,Spring,0,2020-02-05 09:00:00,2,10.02,200,Red,team,,T1,,Taliyah,Akali,Lucian,Jarvan IV,Syndra,2870,1,18,10,42,18,10,2.0,0.0,0.0,0.0,1.0,,,,0.3763,0.5854,0.0,4.0,3.0,4.0,2.0,0.0,0.0,3.0,1.0,,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,9.0,7.0,0.0,0.0,1.0,0.0,129396,2705.1429,,2573.8328,3363.3449,206,4.3066,109,2.2787,58,506.0,10.5784,86655,56003,1170.7944,,80495.0,0.0262676,,1273.0,339,228,21,33.7003,15654.0,18817.0,341.0,15762.0,19417.0,358.0,-108.0,-600.0,-17.0,1.0,1.0,1.0,1.0,1.0,1.0,24285.0,30853.0,559.0,24740.0,30318.0,570.0,-455.0,535.0,-11.0,2.0,1.0,1.0,1.0,1.0,2.0
4642,ESPORTSTMNT01/1302635,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302635?gameHash=5625553825f5994e,LCK,2020,Spring,0,2020-02-05 10:14:43,3,10.02,100,Blue,team,,T1,,Mordekaiser,Lucian,Taliyah,Syndra,Ryze,2837,1,9,7,23,9,7,0.0,0.0,0.0,0.0,1.0,,,,0.1903,0.3384,0.0,5.0,2.0,4.0,2.0,0.0,1.0,3.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,11.0,6.0,1.0,1.0,3.0,0.0,49873,1054.7691,,1662.8058,2598.6112,243,5.1392,107,2.263,74,537.0,11.3571,86098,55783,1179.7603,,83598.0,0.0346582,,1303.0,435,234,103,36.7571,16474.0,18448.0,334.0,15138.0,18048.0,333.0,1336.0,400.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,26333.0,29801.0,522.0,23574.0,28520.0,507.0,2759.0,1281.0,15.0,4.0,9.0,3.0,3.0,8.0,4.0
5471,ESPORTSTMNT01/1293885,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293885?gameHash=1ffaffd98da7e806,LCK,2020,Spring,0,2020-02-07 07:23:45,1,10.02,200,Red,team,,T1,,Akali,Elise,Pantheon,Lee Sin,Gragas,2245,0,6,20,11,6,20,1.0,0.0,0.0,0.0,0.0,,,,0.1604,0.6949,1.0,2.0,4.0,2.0,4.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,9.0,1.0,0.0,0.0,1.0,46843,1251.9287,,2889.2205,3103.9109,132,3.5278,88,2.3519,48,304.0,8.1247,60051,35774,956.098,,60230.0,-0.0809304,,1057.0,261,200,2,35.2249,14925.0,17778.0,306.0,17942.0,19352.0,326.0,-3017.0,-1574.0,-20.0,1.0,2.0,5.0,5.0,5.0,1.0,23492.0,29003.0,511.0,27791.0,30808.0,527.0,-4299.0,-1805.0,-16.0,3.0,3.0,7.0,7.0,10.0,3.0
5506,ESPORTSTMNT01/1293899,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293899?gameHash=aa93723cded96f3b,LCK,2020,Spring,0,2020-02-07 08:57:46,2,10.02,100,Blue,team,,T1,,Diana,Pantheon,Rumble,Lucian,Renekton,1750,1,7,4,14,7,4,1.0,1.0,0.0,0.0,0.0,,,,0.24,0.3771,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,6.0,1.0,1.0,2.0,0.0,26141,896.2629,,2011.3714,1869.5657,119,4.08,39,1.3371,46,232.0,7.9543,51117,31889,1093.3371,,47103.0,0.0344012,,739.0,213,144,17,32.64,14835.0,17534.0,326.0,14379.0,17427.0,312.0,456.0,107.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,23087.0,27704.0,506.0,22303.0,26861.0,483.0,784.0,843.0,23.0,2.0,3.0,1.0,1.0,3.0,2.0
5531,ESPORTSTMNT01/1293909,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293909?gameHash=245dbdf428788434,LCK,2020,Spring,0,2020-02-07 09:40:54,3,10.02,200,Red,team,,T1,,Pantheon,Sett,Rumble,Blitzcrank,Lucian,2582,0,10,16,25,10,16,1.0,0.0,0.0,0.0,1.0,,,,0.2324,0.6042,0.0,2.0,4.0,2.0,4.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,8.0,0.0,0.0,0.0,1.0,111900,2600.3098,,2916.9481,2934.2603,187,4.3455,77,1.7893,66,444.0,10.3176,71956,44242,1028.0868,,69120.0,0.0689965,,1013.0,347,226,30,31.6034,15808.0,18891.0,342.0,15047.0,19359.0,340.0,761.0,-468.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,25872.0,30181.0,557.0,24637.0,27820.0,474.0,1235.0,2361.0,83.0,2.0,3.0,2.0,2.0,5.0,2.0
