,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1570,ESPORTSTMNT02/1270576,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270576?gameHash=a054564b4232b1fc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 22:32:55,1,10.01,100,Blue,team,,Counter Logic Gaming,,Irelia,Qiyana,Gangplank,Aphelios,Varus,2413,0,4,15,14,4,15,0.0,0.0,0.0,0.0,1.0,,,,0.0995,0.4724,1.0,3.0,3.0,3.0,3.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,11.0,0.0,0.0,0.0,1.0,65068,1617.9362,,2790.0124,3136.1376,167,4.1525,73,1.8152,77,292.0,7.2607,58186,32195,800.5387,,56120.0,-0.124958,,906.0,243,190,8,28.5702,15125.0,17039.0,304.0,14764.0,16889.0,307.0,361.0,150.0,-3.0,2.0,6.0,1.0,1.0,2.0,2.0,23196.0,26241.0,486.0,24778.0,29394.0,522.0,-1582.0,-3153.0,-36.0,2.0,6.0,4.0,4.0,9.0,2.0
1751,ESPORTSTMNT02/1270874,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270874?gameHash=d22ded3c46abb9b8,LCS,2020,Spring,0,2020-01-26 22:57:50,1,10.01,200,Red,team,,Counter Logic Gaming,,Akali,Riven,Lee Sin,Thresh,Orianna,1889,0,6,19,16,6,19,0.0,0.0,0.0,0.0,0.0,,,,0.1906,0.7941,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,34919,1109.1265,,2263.0386,1927.1784,118,3.748,36,1.1435,46,240.0,7.6231,49463,28817,915.3097,,46933.0,-0.105784,,809.0,193,159,0,31.8264,14751.0,18020.0,337.0,16629.0,18539.0,317.0,-1878.0,-519.0,20.0,0.0,0.0,2.0,2.0,2.0,0.0,22658.0,27806.0,495.0,25821.0,30265.0,491.0,-3163.0,-2459.0,4.0,2.0,7.0,7.0,7.0,12.0,2.0
3430,ESPORTSTMNT01/1291406,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1291406?gameHash=5220923eb35c42c6,LCS,2020,Spring,0,2020-02-01 21:36:35,1,10.02,100,Blue,team,,Counter Logic Gaming,,Elise,Senna,Gangplank,Syndra,Gragas,2186,0,9,14,18,9,14,1.0,1.0,0.0,0.0,1.0,,,,0.247,0.6313,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,11.0,0.0,0.0,0.0,4.0,46725,1282.4794,,1972.5343,2171.1711,152,4.172,62,1.7017,59,248.0,6.807,60998,37323,1024.419,,59350.0,0.0139979,,998.0,218,161,13,33.376,14724.0,18139.0,335.0,14565.0,18507.0,329.0,159.0,-368.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22948.0,28430.0,515.0,23792.0,29804.0,515.0,-844.0,-1374.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0
4103,ESPORTSTMNT01/1292354,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292354?gameHash=79845cdf9a6e88db,LCS,2020,Spring,0,2020-02-04 02:11:50,1,10.02,200,Red,team,,Counter Logic Gaming,,Akali,Rumble,Sett,Gragas,Elise,1803,0,7,12,18,7,12,0.0,0.0,0.0,0.0,1.0,,,,0.2329,0.6323,1.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,10.0,0.0,0.0,0.0,2.0,42367,1409.8835,,2681.6306,2255.8403,93,3.0948,28,0.9318,44,163.0,5.4243,46476,26707,888.7521,,44685.0,-0.0732996,,738.0,160,102,19,29.8835,14214.0,18475.0,307.0,15533.0,18747.0,354.0,-1319.0,-272.0,-47.0,0.0,0.0,0.0,0.0,0.0,0.0,23178.0,28680.0,485.0,23485.0,28943.0,546.0,-307.0,-263.0,-61.0,1.0,2.0,1.0,1.0,3.0,1.0
6323,ESPORTSTMNT01/1304356,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304356?gameHash=fc584c5143087c0b,LCS,2020,Spring,0,2020-02-08 21:30:18,1,10.02,200,Red,team,,Counter Logic Gaming,,Akali,Tahm Kench,LeBlanc,Lee Sin,Gragas,2181,1,23,11,71,23,11,4.0,2.0,0.0,0.0,0.0,,,,0.6327,0.9354,0.0,4.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,9.0,5.0,0.0,0.0,1.0,0.0,85732,2358.5144,,2929.9862,3696.7263,116,3.1912,64,1.7607,53,256.0,7.0426,66409,42785,1177.0289,,58525.0,0.0682953,,846.0,173,110,8,28.033,14770.0,18505.0,340.0,15107.0,18949.0,337.0,-337.0,-444.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,23501.0,27683.0,492.0,23581.0,28492.0,504.0,-80.0,-809.0,-12.0,2.0,4.0,3.0,3.0,6.0,2.0
7198,ESPORTSTMNT01/1295402,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1295402?gameHash=560c984fc1ba1168,LCS,2020,Spring,0,2020-02-11 02:07:52,1,10.02,100,Blue,team,,Counter Logic Gaming,,Gragas,Rek'Sai,Sett,Qiyana,Rakan,2438,0,9,8,21,9,8,1.0,0.0,0.0,0.0,1.0,,,,0.2215,0.4184,1.0,4.0,2.0,4.0,2.0,0.0,0.0,1.0,3.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,7.0,1.0,1.0,0.0,1.0,54411,1339.073,,2374.3806,3283.7572,146,3.5931,79,1.9442,55,333.0,8.1952,67771,41525,1021.9442,,61550.0,0.0299295,,1063.0,291,181,47,33.3224,15497.0,18985.0,347.0,14638.0,17601.0,329.0,859.0,1384.0,18.0,1.0,1.0,0.0,0.0,0.0,1.0,23690.0,29664.0,546.0,23182.0,28548.0,510.0,508.0,1116.0,36.0,2.0,3.0,3.0,3.0,3.0,2.0
9478,ESPORTSTMNT02/1281307,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281307?gameHash=3270b681b90ee794&amp;tab=overview,LCS,2020,Spring,0,2020-02-15 23:35:59,1,10.03,100,Blue,team,,Counter Logic Gaming,,Qiyana,Lee Sin,Aphelios,Zoe,Elise,1617,0,9,15,21,9,15,1.0,0.0,0.0,0.0,0.0,,,,0.334,0.8905,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,47871,1776.2894,,2578.4787,1726.9017,78,2.8942,34,1.2616,40,161.0,5.974,42731,24860,922.449,,41408.0,-0.0423601,,662.0,153,106,7,30.2412,15091.0,18248.0,299.0,15242.0,17992.0,323.0,-151.0,256.0,-24.0,2.0,2.0,1.0,1.0,1.0,2.0,22935.0,29037.0,492.0,23275.0,29583.0,534.0,-340.0,-546.0,-42.0,2.0,2.0,2.0,2.0,2.0,2.0
10054,ESPORTSTMNT02/1281549,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281549?gameHash=619121e0c8b1a5bb&amp;tab=overview,LCS,2020,Spring,0,2020-02-16 20:41:06,1,10.03,100,Blue,team,,Counter Logic Gaming,,Xayah,Ornn,Miss Fortune,LeBlanc,Qiyana,1406,0,1,15,1,1,15,0.0,0.0,0.0,0.0,1.0,,,,0.0427,0.6828,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,22532,961.5363,,2447.7525,2049.9858,70,2.9872,22,0.9388,25,139.0,5.9317,32627,16908,721.5363,,31120.0,-0.271831,,549.0,136,83,13,29.2319,15187.0,18358.0,319.0,15685.0,19095.0,326.0,-498.0,-737.0,-7.0,1.0,1.0,2.0,2.0,2.0,1.0,22301.0,28269.0,488.0,24754.0,30161.0,516.0,-2453.0,-1892.0,-28.0,1.0,1.0,3.0,3.0,2.0,1.0
12671,ESPORTSTMNT02/1294482,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1294482?gameHash=edd94a211f54bb4a,LCS,2020,Spring,0,2020-02-22 22:45:15,1,10.03,200,Red,team,,Counter Logic Gaming,,Senna,Aphelios,Elise,Qiyana,Zoe,1590,0,7,14,22,7,14,1.0,0.0,0.0,0.0,0.0,,,,0.2642,0.7925,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,34471,1300.7925,,2642.3019,1898.3396,79,2.9811,16,0.6038,30,142.0,5.3585,41038,23442,884.6038,,39905.0,-0.0823662,,654.0,171,138,0,31.1321,14770.0,18878.0,330.0,15569.0,19307.0,342.0,-799.0,-429.0,-12.0,0.0,0.0,1.0,1.0,2.0,0.0,22370.0,28700.0,519.0,26262.0,31427.0,541.0,-3892.0,-2727.0,-22.0,0.0,0.0,4.0,4.0,11.0,0.0
13199,ESPORTSTMNT02/1294954,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1294954?gameHash=2f3df3a57727a752&amp;tab=overview,LCS,2020,Spring,0,2020-02-23 22:43:55,1,10.03,200,Red,team,,Counter Logic Gaming,,Yuumi,Aphelios,Ornn,Rumble,Zoe,2166,0,10,17,23,10,17,0.0,0.0,0.0,0.0,0.0,,,,0.277,0.7479,1.0,2.0,4.0,2.0,4.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,10.0,1.0,1.0,0.0,1.0,51770,1434.072,,2757.4792,2687.9501,121,3.3518,40,1.108,61,224.0,6.205,59659,36188,1002.4377,,58305.0,-0.0624901,,953.0,218,150,4,32.4377,15461.0,18591.0,331.0,15641.0,18010.0,300.0,-180.0,581.0,31.0,2.0,1.0,3.0,3.0,5.0,2.0,23947.0,29726.0,523.0,23800.0,28734.0,500.0,147.0,992.0,23.0,4.0,5.0,3.0,3.0,5.0,4.0
