,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1270,ESPORTSTMNT05/1390161,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,100,Blue,team,,G2 Esports,,Irelia,Rumble,Pantheon,LeBlanc,Thresh,2059,1,21,14,53,21,14,2.0,1.0,0.0,0.0,0.0,,,,0.6119,1.0199,0.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,3.0,1.0,1.0,1.0,0.0,90207,2628.6644,,2680.6508,2304.2156,153,4.4585,59,1.7193,45,321.0,9.3541,62116,39736,1157.9213,,57285.0,0.0759196,,776.0,241,157,20,29.6357,14115.0,17161.0,306.0,15644.0,18622.0,289.0,-1529.0,-1461.0,17.0,0.0,0.0,4.0,4.0,4.0,0.0,22366.0,28399.0,503.0,24911.0,28981.0,462.0,-2545.0,-582.0,41.0,1.0,2.0,5.0,5.0,5.0,1.0
1547,ESPORTSTMNT05/1390263,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390263?gameHash=11c29bbfef59b453&amp;tab=overview,LEC,2020,Spring,0,2020-01-25 19:26:39,1,10.01,200,Red,team,,G2 Esports,,Akali,Pantheon,Aphelios,Thresh,Nautilus,1853,1,23,8,62,23,8,3.0,1.0,0.0,0.0,0.0,,,,0.7447,1.0038,1.0,4.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,9.0,3.0,1.0,1.0,2.0,0.0,87947,2847.7172,,2699.2876,2971.6352,108,3.497,47,1.5219,45,244.0,7.9007,60941,40662,1316.6325,,54700.0,0.14984,,771.0,258,138,50,33.3189,15500.0,18823.0,348.0,15336.0,17045.0,308.0,164.0,1778.0,40.0,1.0,2.0,2.0,2.0,4.0,1.0,24322.0,29520.0,524.0,25044.0,28734.0,517.0,-722.0,786.0,7.0,4.0,9.0,4.0,4.0,8.0,4.0
3011,ESPORTSTMNT04/1120150,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120150?gameHash=ab21332050c53eac,LEC,2020,Spring,0,2020-01-31 18:44:20,1,10.02,200,Red,team,,G2 Esports,,Akali,Sett,Pantheon,Cassiopeia,Aatrox,1381,1,15,1,34,15,1,3.0,1.0,0.0,0.0,1.0,,,,0.6517,0.6951,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,44813,1946.9804,,2082.9689,1237.7118,71,3.0847,27,1.1731,33,165.0,7.1687,42997,27533,1196.2201,,38175.0,0.208243,,585.0,158,82,26,32.281,16033.0,18901.0,322.0,13888.0,16742.0,269.0,2145.0,2159.0,53.0,3.0,5.0,1.0,1.0,1.0,3.0,26850.0,30956.0,511.0,21347.0,25737.0,436.0,5503.0,5219.0,75.0,8.0,12.0,1.0,1.0,1.0,8.0
3418,ESPORTSTMNT04/1130221,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130221?gameHash=a8580ee66ffbb525,LEC,2020,Spring,0,2020-02-01 19:44:58,1,10.02,100,Blue,team,,G2 Esports,,Jarvan IV,Gragas,Qiyana,Lissandra,Ryze,2137,1,21,9,68,21,9,3.0,0.0,0.0,0.0,1.0,,,,0.5896,0.8423,1.0,4.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,4.0,1.0,1.0,1.0,0.0,84853,2382.3959,,3350.482,2575.4516,135,3.7904,71,1.9934,51,326.0,9.153,62832,39657,1113.4394,,54475.0,0.00211329,,806.0,218,138,28,28.7506,13909.0,17029.0,286.0,13869.0,17787.0,296.0,40.0,-758.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,21934.0,27070.0,450.0,21126.0,27365.0,471.0,808.0,-295.0,-21.0,2.0,7.0,0.0,0.0,0.0,2.0
5735,ESPORTSTMNT04/1120649,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120649?gameHash=aab6f321110ef3ed,LEC,2020,Spring,0,2020-02-07 20:29:48,1,10.02,200,Red,team,,G2 Esports,,Akali,Jarvan IV,Olaf,Irelia,Braum,2325,1,20,15,57,20,15,2.0,0.0,0.0,0.0,1.0,,,,0.5161,0.9032,0.0,5.0,1.0,4.0,1.0,0.0,1.0,3.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,4.0,1.0,0.0,1.0,0.0,88669,2288.2323,,3308.8258,3862.4258,153,3.9484,74,1.9097,51,363.0,9.3677,66650,41557,1072.4387,,58558.0,-0.0329532,,905.0,232,158,10,29.3419,14980.0,17809.0,308.0,14251.0,17843.0,306.0,729.0,-34.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,22722.0,28181.0,509.0,23723.0,28733.0,502.0,-1001.0,-552.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0
6310,ESPORTSTMNT04/1130709,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130709?gameHash=1491ee8228ad66ec,LEC,2020,Spring,0,2020-02-08 19:48:41,1,10.02,100,Blue,team,,G2 Esports,,Sett,Ornn,Gragas,Cassiopeia,Thresh,1898,1,25,9,54,25,9,1.0,0.0,0.0,0.0,1.0,,,,0.7903,1.0748,0.0,2.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,71686,2266.1538,,2889.863,2216.8072,124,3.9199,46,1.4542,40,297.0,9.3888,62638,41900,1324.5522,,51675.0,0.0910894,,810.0,231,136,22,32.9083,15522.0,16058.0,275.0,13989.0,15925.0,273.0,1533.0,133.0,2.0,4.0,8.0,1.0,1.0,1.0,4.0,24410.0,27010.0,476.0,23035.0,26925.0,442.0,1375.0,85.0,34.0,6.0,12.0,5.0,5.0,6.0,6.0
8902,ESPORTSTMNT05/1410145,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1410145?gameHash=0582c5c58cd34176,LEC,2020,Spring,0,2020-02-14 20:38:50,1,10.03,100,Blue,team,,G2 Esports,,Pantheon,Yuumi,Jarvan IV,Elise,Gangplank,1773,0,11,23,20,11,23,1.0,0.0,0.0,0.0,1.0,,,,0.3723,1.1168,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,11.0,0.0,0.0,0.0,2.0,43576,1474.6531,,2580.9475,2136.819,119,4.0271,45,1.5228,36,222.0,7.5127,48905,29442,996.3452,,44710.0,-0.153681,,639.0,167,108,26,27.2758,15894.0,17655.0,252.0,16583.0,19449.0,325.0,-689.0,-1794.0,-73.0,4.0,5.0,6.0,5.0,7.0,4.0,26610.0,29491.0,395.0,27697.0,31330.0,503.0,-1087.0,-1839.0,-108.0,9.0,16.0,12.0,11.0,14.0,9.0
9382,ESPORTSTMNT05/1400217,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400217?gameHash=637fd0f809f5be8e,LEC,2020,Spring,0,2020-02-15 17:38:52,1,10.03,100,Blue,team,,G2 Esports,,Xayah,Jarvan IV,Miss Fortune,Braum,Thresh,2521,0,8,27,20,8,27,0.0,0.0,0.0,0.0,0.0,,,,0.1904,0.833,0.0,2.0,4.0,2.0,4.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,9.0,10.0,1.0,1.0,3.0,3.0,82855,1971.9556,,3615.5891,4798.691,179,4.2602,64,1.5232,62,336.0,7.9968,73592,46500,1106.7037,,72550.0,-0.0249501,,1140.0,281,170,39,33.8199,14289.0,17307.0,312.0,15489.0,17799.0,306.0,-1200.0,-492.0,6.0,0.0,0.0,3.0,3.0,3.0,0.0,24772.0,29044.0,526.0,24094.0,29184.0,512.0,678.0,-140.0,14.0,1.0,2.0,4.0,4.0,5.0,1.0
12094,ESPORTSTMNT05/1410740,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1410740?gameHash=478a69ee1777ea1a,LEC,2020,Spring,0,2020-02-21 18:37:24,1,10.03,100,Blue,team,,G2 Esports,,Ezreal,Rakan,Jarvan IV,Yasuo,Braum,1779,1,23,8,52,23,8,2.0,0.0,0.0,0.0,1.0,,,,0.7757,1.0455,1.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,2.0,1.0,1.0,2.0,0.0,67595,2279.7639,,2895.8179,2742.9005,102,3.4401,46,1.5514,35,215.0,7.2513,58138,38614,1302.3272,,52825.0,0.0940489,,700.0,243,148,40,31.8044,15614.0,19680.0,315.0,16442.0,18250.0,344.0,-828.0,1430.0,-29.0,2.0,2.0,0.0,0.0,0.0,2.0,25238.0,31831.0,514.0,24482.0,28545.0,513.0,756.0,3286.0,1.0,6.0,11.0,2.0,2.0,3.0,6.0
12611,ESPORTSTMNT05/1400908,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400908?gameHash=2e5f7ac2e12c6fcb,LEC,2020,Spring,0,2020-02-22 18:58:11,1,10.03,200,Red,team,,G2 Esports,,Rakan,Soraka,Ornn,Ezreal,Aphelios,1898,0,7,19,15,7,19,0.0,0.0,0.0,0.0,1.0,,,,0.2213,0.8219,0.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,11.0,1.0,1.0,0.0,3.0,45065,1424.6048,,2923.0875,3118.7355,105,3.3193,34,1.0748,37,205.0,6.4805,51914,31176,985.5427,,50295.0,-0.106773,,803.0,206,147,16,31.8967,15101.0,17406.0,297.0,13627.0,15754.0,284.0,1474.0,1652.0,13.0,2.0,6.0,0.0,0.0,0.0,2.0,25337.0,28517.0,489.0,22335.0,26228.0,475.0,3002.0,2289.0,14.0,4.0,10.0,1.0,1.0,3.0,4.0
