,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1271,ESPORTSTMNT05/1390161,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,200,Red,team,,MAD Lions,,Akali,Yasuo,Diana,Kayle,Rakan,2059,0,14,21,24,14,21,0.0,0.0,0.0,0.0,1.0,,,,0.408,1.0199,1.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,8.0,0.0,0.0,0.0,1.0,59982,1747.897,,3313.6668,3377.0763,111,3.2346,56,1.6319,46,201.0,5.8572,55143,32763,954.7256,,53095.0,-0.0759196,,767.0,200,148,12,28.1787,15644.0,18622.0,289.0,14115.0,17161.0,306.0,1529.0,1461.0,-17.0,4.0,4.0,0.0,0.0,0.0,4.0,24911.0,28981.0,462.0,22366.0,28399.0,503.0,2545.0,582.0,-41.0,5.0,5.0,1.0,1.0,2.0,5.0
1451,ESPORTSTMNT05/1390233,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390233?gameHash=5f30125d96d86d60&amp;tab=overview,LEC,2020,Spring,0,2020-01-25 15:22:28,1,10.01,200,Red,team,,MAD Lions,,Akali,Qiyana,Senna,Lee Sin,Olaf,2127,1,14,9,33,14,9,2.0,0.0,0.0,0.0,1.0,,,,0.3949,0.6488,1.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,11.0,4.0,1.0,1.0,5.0,0.0,60428,1704.598,,2443.1312,2752.7786,120,3.385,58,1.6361,51,302.0,8.519,65519,42446,1197.3484,,58785.0,0.0487932,,911.0,211,143,9,31.6502,14386.0,17258.0,302.0,15312.0,17517.0,303.0,-926.0,-259.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,23673.0,28661.0,506.0,23974.0,28799.0,486.0,-301.0,-138.0,20.0,2.0,2.0,3.0,3.0,5.0,2.0
3023,ESPORTSTMNT04/1120155,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120155?gameHash=54dd5c01a9d8817e,LEC,2020,Spring,0,2020-01-31 19:33:05,1,10.02,200,Red,team,,MAD Lions,,Akali,Sett,Syndra,Yasuo,LeBlanc,2012,0,7,21,19,7,21,2.0,0.0,0.0,0.0,0.0,,,,0.2087,0.835,0.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,10.0,0.0,0.0,0.0,3.0,50772,1514.0755,,2773.5388,2715.1789,116,3.4592,48,1.4314,59,196.0,5.8449,54498,32598,972.1074,,53060.0,-0.105051,,917.0,212,148,29,33.668,14232.0,16747.0,318.0,16960.0,18079.0,310.0,-2728.0,-1332.0,8.0,0.0,0.0,5.0,5.0,4.0,0.0,23860.0,27623.0,505.0,26880.0,28262.0,492.0,-3020.0,-639.0,13.0,3.0,9.0,7.0,7.0,9.0,3.0
3347,ESPORTSTMNT04/1130196,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130196?gameHash=31553f5bb6ba4420,LEC,2020,Spring,0,2020-02-01 16:48:52,1,10.02,200,Red,team,,MAD Lions,,Akali,Xayah,Sett,Pantheon,Renekton,2682,1,15,15,30,15,15,2.0,2.0,0.0,0.0,0.0,,,,0.3356,0.6711,1.0,4.0,2.0,4.0,2.0,2.0,0.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,10.0,3.0,1.0,1.0,2.0,0.0,97795,2187.8076,,2154.3848,1886.9799,177,3.9597,101,2.2595,70,402.0,8.9933,77679,48945,1094.9664,,68385.0,-0.0290377,,1085.0,295,181,25,30.8725,15006.0,17993.0,328.0,15594.0,18375.0,319.0,-588.0,-382.0,9.0,1.0,1.0,2.0,2.0,3.0,1.0,24820.0,29689.0,540.0,23556.0,28724.0,502.0,1264.0,965.0,38.0,2.0,3.0,3.0,3.0,5.0,2.0
5674,ESPORTSTMNT04/1120607,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120607?gameHash=f4b702f689f87c90,LEC,2020,Spring,0,2020-02-07 16:23:03,1,10.02,100,Blue,team,,MAD Lions,,Jarvan IV,Gragas,Qiyana,Soraka,Renekton,1954,1,11,2,24,11,2,1.0,1.0,0.0,0.0,1.0,,,,0.3378,0.3992,0.0,4.0,1.0,4.0,1.0,0.0,3.0,1.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,3.0,0.0,67143,2061.7093,,2074.5752,2360.0819,134,4.1146,44,1.3511,45,268.0,8.2293,62172,40863,1254.7492,,54508.0,0.16424,,943.0,230,143,24,36.0184,15803.0,19217.0,344.0,14906.0,18225.0,345.0,897.0,992.0,-1.0,1.0,3.0,0.0,0.0,0.0,1.0,24314.0,30360.0,549.0,22682.0,29049.0,549.0,1632.0,1311.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0
6239,ESPORTSTMNT04/1130676,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130676?gameHash=f3e34e47140460ff,LEC,2020,Spring,0,2020-02-08 17:40:34,1,10.02,200,Red,team,,MAD Lions,,Akali,Olaf,Syndra,Aatrox,Rumble,2310,1,17,8,49,17,8,3.0,0.0,0.0,0.0,0.0,,,,0.4416,0.6494,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,10.0,7.0,0.0,0.0,2.0,0.0,85099,2210.3636,,2800.8831,2165.4805,132,3.4286,66,1.7143,54,308.0,8.0,67874,42934,1115.1688,,63460.0,0.0425176,,917.0,206,131,22,29.1688,14077.0,15343.0,263.0,16330.0,16648.0,268.0,-2253.0,-1305.0,-5.0,2.0,5.0,5.0,5.0,13.0,2.0,23306.0,27469.0,443.0,26950.0,26729.0,449.0,-3644.0,740.0,-6.0,5.0,11.0,6.0,6.0,14.0,5.0
8843,ESPORTSTMNT05/1410116,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1410116?gameHash=391ac1804a4196fc,LEC,2020,Spring,0,2020-02-14 16:19:08,1,10.03,200,Red,team,,MAD Lions,,Gragas,Syndra,Nautilus,Ryze,Elise,1727,0,3,14,7,3,14,0.0,0.0,0.0,0.0,0.0,,,,0.1042,0.5906,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,11.0,0.0,0.0,0.0,2.0,40307,1400.359,,2787.238,1711.8587,76,2.6404,37,1.2855,32,165.0,5.7325,45686,26693,927.377,,44125.0,-0.0997599,,752.0,158,97,23,31.6155,14702.0,18312.0,303.0,15420.0,18128.0,318.0,-718.0,184.0,-15.0,1.0,3.0,1.0,1.0,1.0,1.0,23984.0,29690.0,482.0,25363.0,27896.0,475.0,-1379.0,1794.0,7.0,3.0,7.0,3.0,3.0,5.0,3.0
9407,ESPORTSTMNT05/1400247,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400247?gameHash=86e4dc79396a85a2,LEC,2020,Spring,0,2020-02-15 19:47:59,1,10.03,200,Red,team,,MAD Lions,,Yuumi,Gragas,Karthus,Thresh,Pantheon,1844,1,24,8,57,24,8,3.0,1.0,0.0,0.0,0.0,,,,0.7809,1.0412,1.0,5.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,11.0,4.0,1.0,1.0,3.0,0.0,60387,1964.8698,,1963.2755,2677.9718,113,3.6768,33,1.0738,49,233.0,7.5813,62324,42137,1371.0521,,54663.0,0.0933452,,670.0,219,113,44,28.9262,17320.0,17749.0,313.0,15631.0,17564.0,320.0,1689.0,185.0,-7.0,3.0,6.0,1.0,1.0,2.0,3.0,26781.0,27307.0,485.0,26113.0,28549.0,496.0,668.0,-1242.0,-11.0,5.0,10.0,4.0,4.0,8.0,5.0
12058,ESPORTSTMNT05/1410715,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1410715?gameHash=fd215a2b02defa5d,LEC,2020,Spring,0,2020-02-21 16:34:16,1,10.03,100,Blue,team,,MAD Lions,,Xayah,Ornn,Gragas,Diana,Qiyana,1589,0,8,15,18,8,15,1.0,0.0,0.0,0.0,0.0,,,,0.3021,0.8685,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,11.0,0.0,0.0,0.0,4.0,41859,1580.579,,2702.7187,2381.158,87,3.2851,32,1.2083,38,170.0,6.4191,45934,28348,1070.4091,,43703.0,-0.0974086,,747.0,163,120,24,34.3612,14757.0,17710.0,318.0,17140.0,19575.0,328.0,-2383.0,-1865.0,-10.0,1.0,3.0,4.0,4.0,4.0,1.0,22544.0,27998.0,510.0,27077.0,29366.0,512.0,-4533.0,-1368.0,-2.0,1.0,3.0,4.0,4.0,4.0,1.0
12610,ESPORTSTMNT05/1400908,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400908?gameHash=2e5f7ac2e12c6fcb,LEC,2020,Spring,0,2020-02-22 18:58:11,1,10.03,100,Blue,team,,MAD Lions,,Gragas,Syndra,Qiyana,Diana,Thresh,1898,1,19,7,52,19,7,1.0,0.0,0.0,0.0,0.0,,,,0.6006,0.8219,1.0,3.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,4.0,0.0,0.0,3.0,0.0,66463,2101.0432,,2455.7956,2846.1117,97,3.0664,38,1.2013,37,214.0,6.765,60262,39524,1249.4415,,55968.0,0.106773,,793.0,188,121,13,31.0116,13627.0,15754.0,284.0,15101.0,17406.0,297.0,-1474.0,-1652.0,-13.0,0.0,0.0,2.0,2.0,6.0,0.0,22335.0,26228.0,475.0,25337.0,28517.0,489.0,-3002.0,-2289.0,-14.0,1.0,3.0,4.0,4.0,10.0,1.0
