,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1282,ESPORTSTMNT05/1390170,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390170?gameHash=686d45795a6ea625&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 17:40:56,1,10.01,100,Blue,team,,SK Gaming,,Lucian,Jarvan IV,Renekton,Ryze,Zoe,3049,1,9,10,21,9,10,0.0,0.0,0.0,0.0,1.0,,,,0.1771,0.3739,0.0,4.0,4.0,2.0,4.0,0.0,1.0,0.0,1.0,,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,9.0,5.0,1.0,1.0,2.0,0.0,92081,1812.0236,,2335.3755,3935.3427,173,3.4044,80,1.5743,61,450.0,8.8554,84951,52473,1032.5943,,83883.0,0.0520831,,1201.0,328,226,21,30.0886,15393.0,18302.0,326.0,15152.0,17932.0,330.0,241.0,370.0,-4.0,1.0,1.0,1.0,1.0,2.0,1.0,24251.0,29295.0,530.0,22726.0,27991.0,528.0,1525.0,1304.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0
1546,ESPORTSTMNT05/1390263,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390263?gameHash=11c29bbfef59b453&amp;tab=overview,LEC,2020,Spring,0,2020-01-25 19:26:39,1,10.01,100,Blue,team,,SK Gaming,,Lucian,Senna,Qiyana,LeBlanc,Diana,1853,0,8,23,16,8,23,1.0,0.0,0.0,0.0,1.0,,,,0.259,1.0038,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,2.0,46915,1519.1042,,3321.5003,3500.1727,103,3.3351,42,1.36,46,205.0,6.6379,48645,28366,918.4889,,47075.0,-0.14984,,786.0,132,103,5,29.7248,15336.0,17045.0,308.0,15500.0,18823.0,348.0,-164.0,-1778.0,-40.0,2.0,4.0,1.0,1.0,2.0,2.0,25044.0,28734.0,517.0,24322.0,29520.0,524.0,722.0,-786.0,-7.0,4.0,8.0,4.0,4.0,9.0,4.0
2998,ESPORTSTMNT04/1120145,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120145?gameHash=e191a9fe9ad91551,LEC,2020,Spring,0,2020-01-31 17:43:47,1,10.02,100,Blue,team,,SK Gaming,,Lucian,Syndra,Rumble,Cassiopeia,LeBlanc,2101,0,3,13,4,3,13,0.0,0.0,0.0,0.0,0.0,,,,0.0857,0.4569,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,9.0,1.0,0.0,0.0,1.0,39651,1132.3465,,2070.0143,2381.8943,126,3.5983,47,1.3422,44,246.0,7.0252,52951,30143,860.8187,,51200.0,-0.110004,,905.0,194,140,11,31.3851,14919.0,17900.0,320.0,14706.0,17658.0,313.0,213.0,242.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,22836.0,27683.0,498.0,25117.0,29058.0,495.0,-2281.0,-1375.0,3.0,1.0,1.0,4.0,4.0,5.0,1.0
3394,ESPORTSTMNT04/1130210,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130210?gameHash=91c7b22cded939ff,LEC,2020,Spring,0,2020-02-01 18:51:43,1,10.02,100,Blue,team,,SK Gaming,,Sett,Syndra,Aphelios,Tahm Kench,Aatrox,1751,0,8,18,26,8,18,0.0,0.0,0.0,0.0,0.0,,,,0.2741,0.8909,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,8.0,0.0,1.0,0.0,1.0,59325,2032.8384,,2685.8481,2022.2159,85,2.9126,33,1.1308,36,182.0,6.2364,46603,27365,937.6927,,44418.0,-0.0725119,,679.0,167,137,4,28.9891,15594.0,17741.0,311.0,14853.0,17827.0,310.0,741.0,-86.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,24497.0,27212.0,484.0,24187.0,28680.0,489.0,310.0,-1468.0,-5.0,2.0,3.0,4.0,4.0,9.0,2.0
5675,ESPORTSTMNT04/1120607,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120607?gameHash=f4b702f689f87c90,LEC,2020,Spring,0,2020-02-07 16:23:03,1,10.02,200,Red,team,,SK Gaming,,Akali,Syndra,Sett,Rakan,Thresh,1954,0,2,11,6,2,11,0.0,0.0,0.0,0.0,0.0,,,,0.0614,0.3992,1.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,36072,1107.6356,,2747.6561,2929.2221,107,3.2856,43,1.3204,41,213.0,6.5404,47941,26632,817.7687,,46235.0,-0.16424,,930.0,156,139,0,33.347,14906.0,18225.0,345.0,15803.0,19217.0,344.0,-897.0,-992.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,22682.0,29049.0,549.0,24314.0,30360.0,549.0,-1632.0,-1311.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
6191,ESPORTSTMNT04/1120705,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120705?gameHash=a6532b3af6accaf2,LEC,2020,Spring,0,2020-02-08 15:44:52,1,10.02,200,Red,team,,SK Gaming,,Akali,Sett,Gragas,Cassiopeia,Gangplank,1952,1,18,6,43,18,6,3.0,0.0,0.0,0.0,1.0,,,,0.5533,0.7377,1.0,4.0,1.0,4.0,1.0,0.0,2.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,10.0,2.0,1.0,1.0,2.0,0.0,56555,1738.3709,,2463.1045,3477.9713,90,2.7664,38,1.168,26,208.0,6.3934,61598,40310,1239.0369,,52725.0,0.0264233,,799.0,187,119,5,30.3074,15535.0,18224.0,320.0,15886.0,18506.0,337.0,-351.0,-282.0,-17.0,2.0,4.0,2.0,2.0,3.0,2.0,24158.0,30667.0,494.0,24286.0,28524.0,522.0,-128.0,2143.0,-28.0,5.0,9.0,3.0,3.0,5.0,5.0
8867,ESPORTSTMNT05/1410131,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1410131?gameHash=8e2bb4299668717e,LEC,2020,Spring,0,2020-02-14 18:07:17,1,10.03,200,Red,team,,SK Gaming,,Aphelios,Pantheon,Syndra,Soraka,Olaf,2015,0,6,15,16,6,15,0.0,0.0,0.0,0.0,0.0,,,,0.1787,0.6253,0.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,2.0,49539,1475.1067,,2710.5112,2753.598,114,3.3945,50,1.4888,45,231.0,6.8784,52843,30912,920.4566,,51968.0,-0.0762568,,868.0,239,194,1,32.9628,15166.0,17338.0,301.0,16170.0,16941.0,296.0,-1004.0,397.0,5.0,2.0,4.0,4.0,4.0,8.0,2.0,25264.0,30246.0,516.0,24957.0,27193.0,478.0,307.0,3053.0,38.0,5.0,13.0,4.0,4.0,8.0,5.0
9371,ESPORTSTMNT05/1400210,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400210?gameHash=317846a230cc8c9d,LEC,2020,Spring,0,2020-02-15 16:48:38,1,10.03,200,Red,team,,SK Gaming,,LeBlanc,Syndra,Olaf,Azir,Cassiopeia,1652,0,4,11,3,4,11,0.0,0.0,0.0,0.0,0.0,,,,0.1453,0.5448,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,32458,1178.862,,2220.908,1925.1574,87,3.1598,25,0.908,35,166.0,6.0291,41851,23623,857.9782,,39941.0,-0.146073,,772.0,120,95,0,32.3971,14847.0,17590.0,308.0,15760.0,18085.0,305.0,-913.0,-495.0,3.0,2.0,1.0,3.0,3.0,5.0,2.0,22348.0,28126.0,503.0,25626.0,30065.0,531.0,-3278.0,-1939.0,-28.0,2.0,1.0,4.0,4.0,8.0,2.0
12107,ESPORTSTMNT05/1410760,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1410760?gameHash=defd4f7aa1ac2a03,LEC,2020,Spring,0,2020-02-21 19:31:18,1,10.03,200,Red,team,,SK Gaming,,Aphelios,Gragas,Syndra,Lucian,Elise,2263,0,5,16,7,5,16,0.0,0.0,0.0,0.0,1.0,,,,0.1326,0.5568,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,11.0,0.0,0.0,0.0,3.0,72191,1914.0345,,3704.8078,3091.1798,119,3.1551,37,0.981,43,221.0,5.8595,58000,33539,889.2355,,54943.0,-0.141872,,998.0,201,163,1,31.7897,14178.0,17279.0,305.0,15283.0,18158.0,357.0,-1105.0,-879.0,-52.0,0.0,0.0,0.0,0.0,0.0,0.0,22048.0,27608.0,477.0,25157.0,29501.0,560.0,-3109.0,-1893.0,-83.0,1.0,1.0,1.0,1.0,2.0,1.0
12551,ESPORTSTMNT05/1400857,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400857?gameHash=55bcecaa11b79ce3,LEC,2020,Spring,0,2020-02-22 15:33:04,1,10.03,200,Red,team,,SK Gaming,,Aphelios,Soraka,Ornn,Olaf,LeBlanc,2465,0,8,20,18,8,20,0.0,0.0,0.0,0.0,0.0,,,,0.1947,0.6572,1.0,4.0,3.0,4.0,3.0,1.0,0.0,1.0,2.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,6.0,10.0,1.0,1.0,0.0,2.0,65121,1585.0953,,3003.2373,3586.0527,152,3.6998,78,1.8986,51,354.0,8.6166,70606,44085,1073.0629,,69775.0,0.00948946,,1109.0,281,185,15,33.8337,15370.0,18613.0,358.0,15874.0,18495.0,332.0,-504.0,118.0,26.0,0.0,0.0,2.0,2.0,6.0,0.0,24359.0,29983.0,554.0,25057.0,30644.0,537.0,-698.0,-661.0,17.0,2.0,4.0,4.0,4.0,10.0,2.0
