,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
10,ESPORTSTMNT03/1632489,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1632489?gameHash=8a0464cfacf2ff50,KeSPA,2021,,0,2021-01-02 07:40:39,1,10.25,100,Blue,team,,DWG KIA,,Aatrox,Kai'Sa,Pantheon,Aphelios,Lucian,1782,1,23,4,41,23,4,1.0,0.0,0.0,0.0,1.0,,,,0.7744,0.9091,1.0,4.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,1.0,1.0,2.0,0.0,73968,2490.5051,,2169.798,2690.7071,102,3.4343,45,1.5152,44,254.0,8.5522,61153,41599,1400.6397,,56350.0,0.257386,,786.0,310,152,76,36.9024,16291.0,20459.0,382.0,14498.0,18094.0,317.0,1793.0,2365.0,65.0,1.0,0.0,0.0,0.0,0.0,1.0,28027.0,33329.0,576.0,23009.0,29074.0,490.0,5018.0,4255.0,86.0,8.0,13.0,3.0,3.0,4.0,8.0
23,ESPORTSTMNT03/1632500,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1632500?gameHash=513143a6bdfbd220,KeSPA,2021,,0,2021-01-02 08:53:45,2,10.25,200,Red,team,,DWG KIA,,Aatrox,Pantheon,Samira,Ekko,Orianna,1753,1,18,7,43,18,7,3.0,0.0,0.0,0.0,0.0,,,,0.6161,0.8557,1.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,3.0,1.0,1.0,1.0,0.0,76657,2623.7422,,2916.8625,2651.4318,95,3.2516,36,1.2322,39,231.0,7.9064,55488,36229,1240.0114,,47125.0,0.0511425,,778.0,221,151,16,34.1928,14864.0,19039.0,348.0,15623.0,19210.0,340.0,-759.0,-171.0,8.0,0.0,0.0,1.0,1.0,3.0,0.0,24019.0,31723.0,566.0,24592.0,29844.0,517.0,-573.0,1879.0,49.0,2.0,5.0,3.0,3.0,9.0,2.0
35,ESPORTSTMNT03/1632502,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1632502?gameHash=8c52d3d24fb2d637,KeSPA,2021,,0,2021-01-02 09:50:49,3,10.25,200,Red,team,,DWG KIA,,Aatrox,Pantheon,Samira,Kai'Sa,Ornn,1777,1,20,11,46,20,11,2.0,0.0,0.0,0.0,0.0,,,,0.6753,1.0129,1.0,4.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,9.0,3.0,1.0,0.0,2.0,0.0,79060,2669.4429,,2729.9494,2705.2335,108,3.6466,41,1.3844,55,247.0,8.3399,57091,37588,1269.1503,,51325.0,0.138876,,717.0,238,138,36,32.2454,14970.0,16988.0,299.0,15043.0,16987.0,275.0,-73.0,1.0,24.0,2.0,4.0,3.0,3.0,3.0,2.0,23952.0,29267.0,514.0,23373.0,27624.0,474.0,579.0,1643.0,40.0,4.0,8.0,3.0,3.0,3.0,4.0
2230,ESPORTSTMNT01/1691071,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691071?gameHash=6fd99dcd159834fe,LCK,2021,Spring,0,2021-01-15 09:38:04,1,11.01,100,Blue,team,,DWG KIA,,Twisted Fate,Olaf,Pantheon,Graves,Jayce,1887,0,3,13,6,3,13,0.0,0.0,0.0,0.0,0.0,,,,0.0954,0.5087,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,11.0,0.0,0.0,0.0,3.0,31247,993.5453,,2665.8506,2286.9316,115,3.6566,45,1.4308,55,256.0,8.1399,50284,29659,943.0525,,49950.0,-0.0839127,,867.0,213,158,10,34.3402,14908.0,18274.0,327.0,15899.0,19715.0,350.0,-991.0,-1441.0,-23.0,0.0,0.0,1.0,1.0,1.0,0.0,23971.0,30895.0,550.0,24430.0,31054.0,573.0,-459.0,-159.0,-23.0,1.0,1.0,1.0,1.0,1.0,1.0
2315,ESPORTSTMNT01/1691105,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691105?gameHash=e7de9b7d94c6972a,LCK,2021,Spring,0,2021-01-15 11:21:32,2,11.01,200,Red,team,,DWG KIA,,Aphelios,Twisted Fate,Taliyah,Rell,Camille,2002,1,18,5,45,18,5,3.0,2.0,0.0,0.0,1.0,,,,0.5395,0.6893,1.0,4.0,1.0,4.0,1.0,1.0,0.0,3.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,2.0,0.0,75010,2248.0519,,2288.8711,1560.6593,132,3.956,64,1.9181,56,304.0,9.1109,65070,43272,1296.8631,,59950.0,0.167194,,856.0,297,184,50,34.5554,16362.0,18510.0,320.0,15209.0,17980.0,319.0,1153.0,530.0,1.0,3.0,12.0,1.0,1.0,2.0,3.0,25752.0,30339.0,548.0,23426.0,29907.0,545.0,2326.0,432.0,3.0,3.0,12.0,1.0,1.0,2.0,3.0
2362,ESPORTSTMNT01/1691118,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691118?gameHash=bd5a36f21b7bacca,LCK,2021,Spring,0,2021-01-15 12:21:44,3,11.01,100,Blue,team,,DWG KIA,,Twisted Fate,Aphelios,Pantheon,Graves,Jayce,2463,1,17,18,47,17,18,4.0,1.0,0.0,0.0,0.0,,,,0.4141,0.8526,1.0,5.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,10.0,5.0,1.0,0.0,3.0,0.0,80529,1961.7296,,2881.3398,2671.0597,167,4.0682,80,1.9488,64,391.0,9.525,80370,53869,1312.2777,,71050.0,-0.0168588,,1100.0,306,210,19,34.2509,15659.0,19382.0,378.0,16009.0,19659.0,347.0,-350.0,-277.0,31.0,0.0,0.0,1.0,1.0,1.0,0.0,24485.0,28868.0,548.0,25243.0,30800.0,529.0,-758.0,-1932.0,19.0,1.0,3.0,5.0,5.0,11.0,1.0
3359,ESPORTSTMNT01/1691645,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691645?gameHash=35200c9886fdd763,LCK,2021,Spring,0,2021-01-17 06:05:53,1,11.01,200,Red,team,,DWG KIA,,Aphelios,Rell,Camille,Olaf,Ornn,1685,1,18,5,48,18,5,2.0,0.0,0.0,0.0,1.0,,,,0.6409,0.819,1.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,2.0,0.0,78784,2805.365,,2807.5371,2006.3501,89,3.1691,51,1.816,37,229.0,8.1543,60312,41747,1486.5401,,53105.0,0.30791,,814.0,288,156,52,39.2404,15771.0,19457.0,374.0,14753.0,17972.0,329.0,1018.0,1485.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,28433.0,33219.0,596.0,22384.0,27606.0,495.0,6049.0,5613.0,101.0,5.0,8.0,1.0,1.0,3.0,5.0
3418,ESPORTSTMNT01/1691675,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691675?gameHash=27b07ed14f324def,LCK,2021,Spring,0,2021-01-17 08:36:38,2,11.01,100,Blue,team,,DWG KIA,,Rell,Aphelios,Akali,Yone,Jayce,1740,1,11,4,22,11,4,2.0,0.0,0.0,0.0,1.0,,,,0.3793,0.5172,0.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,1.0,1.0,1.0,3.0,0.0,68250,2353.4483,,2355.7241,1550.3793,88,3.0345,45,1.5517,42,232.0,8.0,58159,39033,1345.9655,,47925.0,0.148501,,822.0,276,153,37,37.8621,16351.0,19881.0,346.0,14082.0,17060.0,272.0,2269.0,2821.0,74.0,2.0,0.0,1.0,1.0,3.0,2.0,26629.0,30883.0,560.0,22474.0,29211.0,503.0,4155.0,1672.0,57.0,2.0,0.0,1.0,1.0,3.0,2.0
6694,ESPORTSTMNT01/1693596,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1693596?gameHash=d64348865f8a2f0c,LCK,2021,Spring,0,2021-01-21 10:36:05,1,11.01,100,Blue,team,,DWG KIA,,Thresh,Rell,Akali,Syndra,Ornn,2184,0,5,15,16,5,15,0.0,0.0,0.0,0.0,0.0,,,,0.1374,0.5495,1.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,8.0,0.0,0.0,0.0,1.0,65699,1804.9176,,2967.1978,2686.3462,147,4.0385,80,2.1978,66,276.0,7.5824,60892,37237,1022.9945,,58350.0,-0.0935266,,979.0,246,165,15,33.6538,15763.0,18748.0,362.0,15940.0,19582.0,356.0,-177.0,-834.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,26646.0,30469.0,576.0,24398.0,30800.0,544.0,2248.0,-331.0,32.0,1.0,1.0,3.0,3.0,6.0,1.0
6779,ESPORTSTMNT01/1693626,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1693626?gameHash=2a3dba466374782b,LCK,2021,Spring,0,2021-01-21 12:18:35,2,11.01,200,Red,team,,DWG KIA,,Thresh,Rell,Gragas,Orianna,Gnar,2011,0,8,16,23,8,16,1.0,0.0,0.0,0.0,0.0,,,,0.2387,0.7161,1.0,2.0,4.0,2.0,4.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,8.0,1.0,1.0,0.0,1.0,70044,2089.826,,3069.458,2668.2546,124,3.6997,61,1.82,56,268.0,7.996,56021,34131,1018.3292,,54920.0,-0.0136534,,821.0,255,170,25,32.1034,14920.0,17988.0,317.0,15800.0,19351.0,334.0,-880.0,-1363.0,-17.0,1.0,2.0,2.0,2.0,2.0,1.0,24574.0,29697.0,547.0,24873.0,32255.0,554.0,-299.0,-2558.0,-7.0,2.0,4.0,3.0,3.0,4.0,2.0
