,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1595,ESPORTSTMNT01/1690563,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1690563?gameHash=d4c803833c6e8644,LCK,2021,Spring,0,2021-01-13 10:04:28,1,11.01,200,Red,team,,Hanwha Life Esports,,Pantheon,Taliyah,Nidalee,Syndra,Twisted Fate,1849,0,0,12,0,0,12,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.3894,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,43562,1413.5857,,1905.7545,1280.6706,114,3.6993,47,1.5251,49,248.0,8.0476,45934,25696,833.8345,,43130.0,-0.208608,,871.0,198,147,4,34.689,15379.0,18721.0,361.0,15207.0,19468.0,343.0,172.0,-747.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,22831.0,28868.0,547.0,25274.0,31085.0,534.0,-2443.0,-2217.0,13.0,0.0,0.0,3.0,3.0,4.0,0.0
1690,ESPORTSTMNT01/1690580,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1690580?gameHash=9d098c346884254e,LCK,2021,Spring,0,2021-01-13 11:32:05,2,11.01,100,Blue,team,,Hanwha Life Esports,,Lucian,Akali,Aphelios,Maokai,Gnar,1787,1,17,8,39,17,8,2.0,2.0,0.0,0.0,0.0,,,,0.5708,0.8394,1.0,4.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,5.0,1.0,1.0,2.0,0.0,53683,1802.451,,2448.8528,1999.474,107,3.5926,57,1.9138,48,252.0,8.4611,56801,37196,1248.8864,,49500.0,-0.0259813,,799.0,186,129,4,33.0722,14705.0,17595.0,305.0,15539.0,18127.0,328.0,-834.0,-532.0,-23.0,2.0,1.0,1.0,1.0,1.0,2.0,23347.0,28802.0,493.0,23852.0,29227.0,533.0,-505.0,-425.0,-40.0,4.0,6.0,2.0,2.0,4.0,4.0
1739,ESPORTSTMNT01/1690585,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1690585?gameHash=c8661864a85ce53a,LCK,2021,Spring,0,2021-01-13 12:29:11,3,11.01,200,Red,team,,Hanwha Life Esports,,Pantheon,Aphelios,Yone,Alistar,Syndra,1801,0,16,24,35,16,24,2.0,0.0,0.0,0.0,0.0,,,,0.533,1.3326,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,67219,2239.3892,,2754.4364,2646.1632,102,3.3981,48,1.5991,46,227.0,7.5625,51051,31303,1042.854,,50530.0,-0.115747,,771.0,143,114,16,30.4498,16072.0,18478.0,317.0,16231.0,17781.0,314.0,-159.0,697.0,3.0,4.0,7.0,4.0,4.0,5.0,4.0,25893.0,29711.0,490.0,28730.0,29464.0,511.0,-2837.0,247.0,-21.0,9.0,14.0,8.0,8.0,10.0,9.0
2590,ESPORTSTMNT01/1691411,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691411?gameHash=78512c3dd1a3b026,LCK,2021,Spring,0,2021-01-16 09:46:23,1,11.01,100,Blue,team,,Hanwha Life Esports,,Lucian,Nidalee,Lulu,Orianna,Galio,1659,1,21,5,34,21,5,4.0,0.0,0.0,0.0,1.0,,,,0.7595,0.9403,1.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,3.0,0.0,1.0,2.0,0.0,66284,2397.2514,,2346.4014,1542.9295,102,3.689,49,1.7722,37,269.0,9.7288,57977,39677,1434.9729,,52858.0,0.245264,,764.0,214,137,16,35.3707,17312.0,20229.0,361.0,14643.0,17580.0,314.0,2669.0,2649.0,47.0,3.0,6.0,0.0,0.0,0.0,3.0,27464.0,30985.0,576.0,21999.0,27823.0,506.0,5465.0,3162.0,70.0,3.0,6.0,0.0,0.0,0.0,3.0
2687,ESPORTSTMNT01/1691433,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691433?gameHash=a491773a6c17f21b,LCK,2021,Spring,0,2021-01-16 11:22:11,2,11.01,200,Red,team,,Hanwha Life Esports,,Lucian,Nidalee,Pantheon,Azir,Lulu,1680,0,6,14,6,6,14,1.0,0.0,0.0,0.0,0.0,,,,0.2143,0.7143,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,9.0,0.0,0.0,0.0,1.0,37034,1322.6429,,2985.6071,1992.9643,93,3.3214,48,1.7143,42,186.0,6.6429,49070,30556,1091.2857,,45925.0,0.00491132,,868.0,189,129,17,37.75,15672.0,18890.0,362.0,15393.0,17713.0,316.0,279.0,1177.0,46.0,1.0,2.0,2.0,2.0,4.0,1.0,24497.0,31002.0,591.0,24364.0,28914.0,503.0,133.0,2088.0,88.0,2.0,2.0,4.0,4.0,8.0,2.0
2710,ESPORTSTMNT01/1691436,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691436?gameHash=8810d76daf71d26b,LCK,2021,Spring,0,2021-01-16 12:14:34,3,11.01,100,Blue,team,,Hanwha Life Esports,,Lucian,Aphelios,Graves,Renekton,Gragas,1984,1,23,10,53,23,10,4.0,0.0,0.0,0.0,0.0,,,,0.6956,0.998,0.0,4.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,8.0,5.0,0.0,0.0,1.0,0.0,67029,2027.0867,,3082.8024,3601.754,135,4.0827,86,2.6008,49,304.0,9.1935,62120,40505,1224.9496,,57575.0,0.0484768,,833.0,195,121,16,31.0887,16261.0,18054.0,311.0,16931.0,19322.0,327.0,-670.0,-1268.0,-16.0,4.0,11.0,5.0,5.0,6.0,4.0,25698.0,29370.0,520.0,25964.0,30596.0,528.0,-266.0,-1226.0,-8.0,5.0,12.0,5.0,5.0,6.0,5.0
7247,ESPORTSTMNT01/1693931,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1693931?gameHash=cc379113dddb594b,LCK,2021,Spring,0,2021-01-22 04:37:57,1,11.01,200,Red,team,,Hanwha Life Esports,,Renekton,Pantheon,Kai'Sa,Lucian,Gangplank,2001,0,14,18,23,14,18,0.0,0.0,0.0,0.0,1.0,,,,0.4198,0.9595,1.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,8.0,1.0,1.0,0.0,1.0,71924,2156.6417,,2997.991,2445.2174,138,4.1379,63,1.8891,47,306.0,9.1754,57361,35573,1066.6567,,54728.0,-0.00131473,,916.0,173,123,12,32.6537,16600.0,18892.0,333.0,14840.0,18963.0,343.0,1760.0,-71.0,-10.0,3.0,4.0,0.0,0.0,0.0,3.0,24334.0,28745.0,521.0,23882.0,30630.0,548.0,452.0,-1885.0,-27.0,3.0,4.0,2.0,2.0,2.0,3.0
7306,ESPORTSTMNT01/1694012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1694012?gameHash=716f2d52fe38de2e,LCK,2021,Spring,0,2021-01-22 08:44:23,2,11.01,100,Blue,team,,Hanwha Life Esports,,Samira,Akali,Quinn,Gnar,Viktor,2046,1,22,16,41,22,16,2.0,2.0,0.0,0.0,0.0,,,,0.6452,1.085,0.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,3.0,0.0,0.0,2.0,0.0,94483,2770.7625,,3711.9648,2524.2815,118,3.4604,59,1.7302,53,286.0,8.3871,68366,46119,1352.4633,,62875.0,0.0845421,,951.0,266,166,30,35.6891,15841.0,18778.0,356.0,15077.0,17775.0,324.0,764.0,1003.0,32.0,1.0,2.0,1.0,1.0,0.0,1.0,25771.0,30713.0,544.0,25488.0,29734.0,499.0,283.0,979.0,45.0,4.0,7.0,7.0,7.0,13.0,4.0
7355,ESPORTSTMNT01/1694041,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1694041?gameHash=30ba59855aea344c,LCK,2021,Spring,0,2021-01-22 09:48:00,3,11.01,200,Red,team,,Hanwha Life Esports,,Taliyah,Pantheon,Nidalee,Ornn,Quinn,1732,1,19,5,43,19,5,2.0,0.0,0.0,0.0,1.0,,,,0.6582,0.8314,1.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,0.0,1.0,1.0,1.0,0.0,63179,2188.649,,3015.9353,2357.2864,93,3.2217,56,1.94,41,250.0,8.6605,57571,38527,1334.6536,,50658.0,0.155591,,802.0,205,130,10,34.8845,16736.0,18798.0,342.0,15259.0,18011.0,332.0,1477.0,787.0,10.0,3.0,8.0,1.0,1.0,3.0,3.0,25910.0,29173.0,532.0,23057.0,28791.0,522.0,2853.0,382.0,10.0,5.0,11.0,2.0,2.0,3.0,5.0
8903,ESPORTSTMNT01/1720710,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1720710?gameHash=ab4b9af1b6391ad7,LCK,2021,Spring,0,2021-01-24 10:40:48,1,11.01,200,Red,team,,Hanwha Life Esports,,Renekton,Camille,Jarvan IV,Nautilus,Alistar,2031,0,11,12,29,11,12,1.0,0.0,0.0,0.0,0.0,,,,0.325,0.6795,1.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,50477,1491.1965,,2641.6839,2902.1861,135,3.9882,64,1.8907,56,264.0,7.7991,55007,32913,972.3191,,53200.0,-0.0697537,,943.0,181,126,8,33.2053,16312.0,19042.0,343.0,15930.0,18720.0,334.0,382.0,322.0,9.0,3.0,4.0,2.0,2.0,3.0,3.0,25183.0,30154.0,550.0,24093.0,30402.0,550.0,1090.0,-248.0,0.0,4.0,6.0,2.0,2.0,3.0,4.0
