,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
2422,ESPORTSTMNT03/1671978,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1671978?gameHash=1a0becde059f16ec,LCS,2021,Spring,1,2021-01-15 23:10:17,1,11.01,100,Blue,team,,100 Thieves,,Shen,Nidalee,Lillia,Jhin,Samira,1623,1,11,2,23,11,2,2.0,0.0,0.0,0.0,1.0,,,,0.4067,0.4436,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,3.0,0.0,47438,1753.7153,,2355.5268,1595.6747,100,3.6969,57,2.1072,37,253.0,9.353,53632,35699,1319.7412,,47860.0,0.301376,,762.0,183,96,48,34.9353,16687.0,18402.0,328.0,14561.0,17810.0,302.0,2126.0,592.0,26.0,3.0,6.0,1.0,1.0,2.0,4.0,26728.0,29057.0,535.0,22384.0,29003.0,506.0,4344.0,54.0,29.0,3.0,6.0,1.0,1.0,2.0,4.0
2891,ESPORTSTMNT03/1682356,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1682356?gameHash=eef2e1105dc29560,LCS,2021,Spring,1,2021-01-17 00:26:26,1,11.01,200,Red,team,,100 Thieves,,Olaf,Pantheon,Akali,Leona,Alistar,2692,0,25,29,56,25,29,1.0,0.0,0.0,0.0,1.0,,,,0.5572,1.1813,1.0,3.0,4.0,3.0,4.0,1.0,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,8.0,0.0,0.0,0.0,2.0,107876,2404.3685,,3762.3031,2621.1887,204,4.5468,66,1.471,80,382.0,8.5141,79379,50543,1126.5156,,76530.0,0.0183958,,1062.0,290,213,15,30.1337,16248.0,18525.0,337.0,15165.0,18623.0,347.0,1083.0,-98.0,-10.0,3.0,5.0,1.0,0.0,0.0,3.0,25710.0,29765.0,531.0,25639.0,32327.0,586.0,71.0,-2562.0,-55.0,5.0,7.0,4.0,3.0,4.0,5.0
3730,ESPORTSTMNT03/1672458,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1672458?gameHash=1efe65ab338ce395&amp;tab=overview,LCS,2021,Spring,1,2021-01-17 21:38:28,1,11.01,100,Blue,team,,100 Thieves,,Rell,Akali,Nidalee,Alistar,Orianna,1755,1,16,6,37,16,6,2.0,0.0,0.0,0.0,0.0,,,,0.547,0.7521,0.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,2.0,1.0,1.0,1.0,0.0,46396,1586.188,,2396.2735,2037.1282,103,3.5214,42,1.4359,43,237.0,8.1026,57493,38214,1306.4615,,48675.0,0.0176166,,788.0,219,141,9,34.4274,17466.0,19175.0,319.0,17151.0,19062.0,337.0,315.0,113.0,-18.0,6.0,13.0,5.0,5.0,7.0,6.0,27369.0,29861.0,490.0,25572.0,28905.0,511.0,1797.0,956.0,-21.0,9.0,20.0,6.0,6.0,10.0,9.0
7703,ESPORTSTMNT03/1683767,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1683767?gameHash=97426f7e2d673e47,LCS,2021,Spring,1,2021-01-22 23:42:46,1,11.01,200,Red,team,,100 Thieves,,Taliyah,Pantheon,Olaf,Gangplank,Gnar,1867,1,20,4,45,20,4,4.0,1.0,0.0,0.0,1.0,,,,0.6427,0.7713,1.0,4.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,4.0,1.0,1.0,2.0,0.0,66625,2141.1355,,3130.8945,2958.8645,114,3.6636,46,1.4783,42,261.0,8.3878,59264,38843,1248.3021,,51425.0,0.116255,,793.0,237,144,32,33.1012,15874.0,19841.0,351.0,14969.0,18475.0,328.0,905.0,1366.0,23.0,1.0,2.0,1.0,1.0,1.0,1.0,24128.0,30940.0,545.0,24936.0,30267.0,540.0,-808.0,673.0,5.0,3.0,6.0,2.0,2.0,3.0,3.0
8566,ESPORTSTMNT03/1673715,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1673715?gameHash=234546826c64108f&amp;tab=overview,LCS,2021,Spring,1,2021-01-23 20:44:07,1,11.01,100,Blue,team,,100 Thieves,,Graves,Rell,Gragas,Gnar,Shen,1467,1,13,5,32,13,5,1.0,0.0,0.0,0.0,1.0,,,,0.5317,0.7362,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,1.0,1.0,1.0,0.0,43295,1770.7566,,2826.135,1700.2863,95,3.8855,48,1.9632,30,218.0,8.9162,50425,34084,1394.0286,,41500.0,0.186368,,695.0,182,107,19,35.8691,16952.0,20006.0,353.0,14369.0,17415.0,319.0,2583.0,2591.0,34.0,2.0,6.0,0.0,0.0,0.0,2.0,27111.0,32385.0,571.0,22610.0,29672.0,524.0,4501.0,2713.0,47.0,3.0,8.0,1.0,1.0,2.0,3.0
8579,ESPORTSTMNT03/1673719,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1673719?gameHash=c137d056503b8762&amp;tab=overview,LCS,2021,Spring,1,2021-01-23 21:33:14,2,11.01,200,Red,team,,100 Thieves,,Taliyah,Pantheon,Olaf,Galio,Rell,2009,1,32,13,66,32,13,4.0,1.0,1.0,0.0,1.0,,,,0.9557,1.344,1.0,4.0,1.0,4.0,1.0,0.0,2.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,11.0,0.0,1.0,1.0,4.0,0.0,78369,2340.5376,,2662.7277,2426.3116,119,3.554,45,1.344,54,262.0,7.8248,72689,50819,1517.7402,,62068.0,0.1615,,816.0,245,129,46,31.6874,17900.0,17906.0,288.0,16552.0,17686.0,301.0,1348.0,220.0,-13.0,7.0,17.0,5.0,5.0,13.0,7.0,27441.0,28457.0,476.0,24984.0,28881.0,492.0,2457.0,-424.0,-16.0,7.0,17.0,6.0,6.0,14.0,7.0
13246,ESPORTSTMNT02/1681735,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1681735?gameHash=37059e33cb8616a1,LCS,2021,Spring,1,2021-01-29 22:28:31,1,11.02,100,Blue,team,,100 Thieves,,Lucian,Kai'Sa,Nocturne,Alistar,Vayne,1600,1,15,3,36,15,3,3.0,1.0,0.0,0.0,0.0,,,,0.5625,0.675,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,1.0,1.0,1.0,0.0,37432,1403.7,,2343.1125,2095.575,88,3.3,35,1.3125,45,199.0,7.4625,50457,32759,1228.4625,,43100.0,0.0675181,,663.0,193,111,21,32.1,15457.0,19289.0,330.0,15636.0,18826.0,339.0,-179.0,463.0,-9.0,2.0,2.0,1.0,1.0,2.0,2.0,25603.0,30205.0,534.0,24566.0,30297.0,547.0,1037.0,-92.0,-13.0,2.0,2.0,2.0,2.0,3.0,2.0
13271,ESPORTSTMNT02/1681753,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1681753?gameHash=f0d1f1efcf8460d3,LCS,2021,Spring,1,2021-01-29 23:34:05,2,11.02,200,Red,team,,100 Thieves,,Olaf,Pantheon,Taliyah,Gnar,Gangplank,1863,1,10,6,28,10,6,1.0,1.0,0.0,0.0,0.0,,,,0.3221,0.5153,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,44069,1419.2915,,2431.9807,1688.9533,105,3.3816,45,1.4493,41,248.0,7.9871,56463,36082,1162.0612,,47775.0,0.0220083,,826.0,235,153,16,34.1707,15111.0,17461.0,313.0,15178.0,16357.0,285.0,-67.0,1104.0,28.0,2.0,4.0,3.0,3.0,6.0,2.0,25296.0,28975.0,507.0,22986.0,26464.0,474.0,2310.0,2511.0,33.0,5.0,12.0,3.0,3.0,6.0,5.0
13283,ESPORTSTMNT02/1681778,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1681778?gameHash=0452708c43481c71,LCS,2021,Spring,1,2021-01-30 00:32:45,3,11.02,200,Red,team,,100 Thieves,,Pantheon,Olaf,Taliyah,Aphelios,Seraphine,2298,0,14,21,42,14,21,1.0,1.0,0.0,0.0,1.0,,,,0.3655,0.9138,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,9.0,0.0,1.0,0.0,2.0,89794,2344.4909,,4122.8198,3462.2193,134,3.4987,40,1.0444,54,242.0,6.3185,65854,41036,1071.436,,65175.0,0.0250903,,923.0,275,191,16,31.2794,15993.0,19007.0,341.0,15323.0,18737.0,320.0,670.0,270.0,21.0,1.0,2.0,0.0,0.0,0.0,1.0,25602.0,29463.0,530.0,25005.0,31053.0,519.0,597.0,-1590.0,11.0,2.0,3.0,3.0,3.0,6.0,2.0
13402,ESPORTSTMNT02/1681785,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1681785?gameHash=ade0e1a14c1746ad,LCS,2021,Spring,1,2021-01-30 01:36:52,4,11.02,100,Blue,team,,100 Thieves,,Yone,Kai'Sa,Lucian,Senna,Alistar,1923,0,5,14,12,5,14,0.0,0.0,0.0,0.0,0.0,,,,0.156,0.5928,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,10.0,1.0,1.0,0.0,1.0,36939,1152.5429,,2404.1498,1925.6474,104,3.2449,51,1.5913,46,222.0,6.9267,52352,31359,978.4399,,48333.0,-0.103491,,881.0,263,191,7,35.6942,15639.0,18055.0,341.0,16134.0,18271.0,311.0,-495.0,-216.0,30.0,1.0,2.0,3.0,3.0,6.0,1.0,24654.0,29888.0,544.0,24286.0,29098.0,517.0,368.0,790.0,27.0,2.0,5.0,3.0,3.0,6.0,2.0
